block_num,validator_id,total_gas_fee,total_mev_available
449,validator_12,97664634,2505
450,validator_14,137341737,19099
451,validator_14,335285784,40331
452,validator_11,84272118,2890
453,validator_17,191014798,17268
454,validator_12,213215760,2398
455,validator_0,389495527,5848
456,validator_11,386607138,8221
457,validator_13,768367557,20424
458,validator_18,214208402,5493
459,validator_0,287285083,5729
460,validator_2,83077196,28518
461,validator_19,95926834,42852
462,validator_0,78440041,105194
463,validator_12,110512854,26912
464,validator_7,168416888,3081
465,validator_13,124137937,94332
466,validator_9,206449260,10189
467,validator_6,101225975,21655
468,validator_16,166091917,97565
469,validator_1,599101864,22947
470,validator_18,426280654,138152
471,validator_5,496916225,14150
472,validator_9,133986343,11259
473,validator_14,188666163,27739
474,validator_10,311409194,10337
475,validator_2,155382628,2735
476,validator_17,107749337,4188
477,validator_12,97664634,2505
478,validator_14,137341737,19099
479,validator_14,335285784,40331
480,validator_11,84272118,2890
481,validator_17,191014798,17268
482,validator_12,213215760,2398
483,validator_0,389495527,5848
484,validator_11,386607138,8221
485,validator_13,768367557,20424
486,validator_18,214208402,5493
487,validator_0,287285083,5729
488,validator_2,83077196,28518
489,validator_19,95926834,42852
490,validator_0,78440041,105194
491,validator_12,110512854,26912
492,validator_7,168416888,3081
493,validator_13,124137937,94332
494,validator_9,206449260,10189
495,validator_6,101225975,21655
496,validator_16,166091917,97565
497,validator_1,599101864,22947
498,validator_18,426280654,138152
499,validator_5,496916225,14150
500,validator_9,133986343,11259
501,validator_14,188666163,27739
502,validator_10,311409194,10337
503,validator_2,155382628,2735
504,validator_17,107749337,4188
505,validator_12,97664634,2505
506,validator_14,137341737,19099
507,validator_14,335285784,40331
508,validator_11,84272118,2890
509,validator_17,191014798,17268
510,validator_12,213215760,2398
511,validator_0,389495527,5848
512,validator_11,386607138,8221
513,validator_13,768367557,20424
514,validator_18,214208402,5493
515,validator_0,287285083,5729
516,validator_2,83077196,28518
517,validator_19,95926834,42852
518,validator_0,78440041,105194
519,validator_12,110512854,26912
520,validator_7,168416888,3081
521,validator_13,124137937,94332
522,validator_9,206449260,10189
523,validator_6,101225975,21655
524,validator_16,166091917,97565
525,validator_1,599101864,22947
526,validator_18,426280654,138152
527,validator_5,496916225,14150
528,validator_9,133986343,11259
529,validator_14,188666163,27739
530,validator_10,311409194,10337
531,validator_2,155382628,2735
532,validator_17,107749337,4188
533,validator_12,97664634,2505
534,validator_14,137341737,19099
535,validator_14,335285784,40331
536,validator_11,84272118,2890
537,validator_17,191014798,17268
538,validator_12,213215760,2398
539,validator_0,389495527,5848
540,validator_11,386607138,8221
541,validator_13,768367557,20424
542,validator_18,214208402,5493
543,validator_0,287285083,5729
544,validator_2,83077196,28518
545,validator_19,95926834,42852
546,validator_0,78440041,105194
547,validator_12,110512854,26912
548,validator_7,168416888,3081
549,validator_13,124137937,94332
550,validator_9,206449260,10189
551,validator_6,101225975,21655
552,validator_16,166091917,97565
553,validator_1,599101864,22947
554,validator_18,426280654,138152
555,validator_5,496916225,14150
556,validator_9,133986343,11259
557,validator_14,188666163,27739
558,validator_10,311409194,10337
559,validator_2,155382628,2735
560,validator_17,107749337,4188
561,validator_12,97664634,2505
562,validator_14,137341737,19099
563,validator_14,335285784,40331
564,validator_11,84272118,2890
565,validator_17,191014798,17268
566,validator_12,213215760,2398
567,validator_0,389495527,5848
568,validator_11,386607138,8221
569,validator_13,768367557,20424
570,validator_18,214208402,5493
571,validator_0,287285083,5729
572,validator_2,83077196,28518
573,validator_19,95926834,42852
574,validator_0,78440041,105194
575,validator_12,110512854,26912
576,validator_7,168416888,3081
577,validator_13,124137937,94332
578,validator_9,206449260,10189
579,validator_6,101225975,21655
580,validator_16,166091917,97565
581,validator_1,599101864,22947
582,validator_18,426280654,138152
583,validator_5,496916225,14150
584,validator_9,133986343,11259
585,validator_14,188666163,27739
586,validator_10,311409194,10337
587,validator_2,155382628,2735
588,validator_9,181425016,40982
589,validator_11,559581384,115649
590,validator_16,195917707,106664
591,validator_4,155973380,25845
592,validator_2,466383493,13146
593,validator_9,109400962,98025
594,validator_14,146512383,5128
595,validator_6,121014551,13566
596,validator_15,727444272,12579
597,validator_12,117308469,6107
598,validator_4,155383506,6536
599,validator_18,69169419,1530
600,validator_3,117558411,4978
601,validator_11,247852992,3263
602,validator_15,175192728,9767
603,validator_2,118176966,7819
604,validator_4,98128629,5637
605,validator_4,111445121,2149
