block_num,builder_id,total_gas_fee,total_mev,included_txs
308,builder_11,149051003,526200,
309,builder_13,120850011,1953400,
310,builder_13,103517004,1707730,
311,builder_13,82865001,223760,
312,builder_2,154969007,7684700,
313,builder_13,367509993,344500,
314,builder_13,9859999,16400,
315,builder_11,15953001,0,
316,builder_13,189030988,17851100,
317,builder_13,86792001,524100,
318,builder_11,1379999,0,
319,builder_13,305204993,23044900,
320,builder_13,800000,34700,
321,builder_13,28679997,449400,
322,builder_13,67943989,0,
323,builder_13,42899998,383300,
324,builder_13,13159997,779000,
325,builder_13,178913990,10182900,
326,builder_13,91384000,1109900,
327,builder_13,40046999,300500,
328,builder_11,149051003,526200,
329,builder_13,120850011,1953400,
330,builder_13,103517004,1707730,
331,builder_13,82865001,223760,
332,builder_2,154969007,7684700,
333,builder_13,367509993,344500,
334,builder_13,9859999,16400,
335,builder_11,15953001,0,
336,builder_13,189030988,17851100,
337,builder_13,86792001,524100,
338,builder_11,1379999,0,
339,builder_13,305204993,23044900,
340,builder_13,800000,34700,
341,builder_13,28679997,449400,
342,builder_13,67943989,0,
343,builder_13,42899998,383300,
344,builder_13,13159997,779000,
345,builder_13,178913990,10182900,
346,builder_13,91384000,1109900,
347,builder_13,40046999,300500,
348,builder_11,149051003,526200,
349,builder_13,120850011,1953400,
350,builder_13,103517004,1707730,
351,builder_13,82865001,223760,
352,builder_2,154969007,7684700,
353,builder_13,367509993,344500,
354,builder_13,9859999,16400,
355,builder_11,15953001,0,
356,builder_13,189030988,17851100,
357,builder_13,86792001,524100,
358,builder_11,1379999,0,
359,builder_13,305204993,23044900,
360,builder_13,800000,34700,
361,builder_13,28679997,449400,
362,builder_13,67943989,0,
363,builder_13,42899998,383300,
364,builder_13,13159997,779000,
365,builder_13,178913990,10182900,
366,builder_13,91384000,1109900,
367,builder_13,40046999,300500,
368,builder_11,149051003,526200,
369,builder_13,120850011,1953400,
370,builder_13,103517004,1707730,
371,builder_13,82865001,223760,
372,builder_2,154969007,7684700,
373,builder_13,367509993,344500,
374,builder_13,9859999,16400,
375,builder_11,15953001,0,
376,builder_13,189030988,17851100,
377,builder_13,86792001,524100,
378,builder_11,1379999,0,
379,builder_13,305204993,23044900,
380,builder_13,800000,34700,
381,builder_13,28679997,449400,
382,builder_13,67943989,0,
383,builder_13,42899998,383300,
384,builder_13,13159997,779000,
385,builder_13,178913990,10182900,
386,builder_13,91384000,1109900,
387,builder_13,40046999,300500,
388,builder_11,149051003,526200,
389,builder_13,120850011,1953400,
390,builder_13,103517004,1707730,
391,builder_13,82865001,223760,
392,builder_2,154969007,7684700,
393,builder_13,367509993,344500,
394,builder_13,9859999,16400,
395,builder_11,15953001,0,
396,builder_13,189030988,17851100,
397,builder_13,86792001,524100,
398,builder_11,1379999,0,
399,builder_13,305204993,23044900,
400,builder_13,800000,34700,
401,builder_13,28679997,449400,
402,builder_13,67943989,0,
403,builder_13,42899998,383300,
404,builder_13,13159997,779000,
405,builder_13,178913990,10182900,
406,builder_13,91384000,1109900,
407,builder_13,40046999,300500,
408,builder_11,149051003,526200,
409,builder_13,120850011,1953400,
410,builder_13,103517004,1707730,
411,builder_13,82865001,223760,
412,builder_2,154969007,7684700,
413,builder_13,367509993,344500,
414,builder_13,9859999,16400,
415,builder_11,15953001,0,
416,builder_13,189030988,17851100,
417,builder_13,86792001,524100,
418,builder_11,1379999,0,
419,builder_13,305204993,23044900,
420,builder_13,800000,34700,
421,builder_13,28679997,449400,
422,builder_13,67943989,0,
423,builder_13,42899998,383300,
424,builder_13,13159997,779000,
425,builder_13,178913990,10182900,
426,builder_13,91384000,1109900,
427,builder_13,40046999,300500,
428,builder_11,149051003,526200,
429,builder_13,120850011,1953400,
430,builder_13,103517004,1707730,
431,builder_13,82865001,223760,
432,builder_2,154969007,7684700,
433,builder_13,367509993,344500,
434,builder_13,9859999,16400,
435,builder_11,15953001,0,
436,builder_13,189030988,17851100,
437,builder_13,86792001,524100,
