block_num,builder_id,total_gas_fee,total_mev
596,builder_6,84000,0
597,builder_6,185605992,4441700
598,builder_6,223959993,3743500
599,builder_6,167921997,13020280
600,builder_6,1886998,31700
601,builder_6,87680002,1481000
602,builder_6,18725998,155000
603,builder_6,212260006,2503530
604,builder_6,194240002,2287530
605,builder_6,102821998,402130
606,builder_6,255509993,1774330
607,builder_6,116907991,1808720
608,builder_6,480699993,2645480
609,builder_6,785071998,883420
610,builder_6,708173996,2290180
611,builder_6,644199006,2540720
612,builder_6,143538002,753220
613,builder_6,45506008,818200
614,builder_6,89483003,2626000
615,builder_7,1999999,139000
616,builder_6,84000,0
617,builder_6,185605992,4441700
618,builder_6,223959993,3743500
619,builder_6,167921997,13020280
620,builder_6,1886998,31700
621,builder_6,87680002,1481000
622,builder_6,18725998,155000
623,builder_6,212260006,2503530
624,builder_6,194240002,2287530
625,builder_6,102821998,402130
626,builder_6,255509993,1774330
627,builder_6,116907991,1808720
628,builder_6,480699993,2645480
629,builder_6,785071998,883420
630,builder_6,708173996,2290180
631,builder_6,644199006,2540720
632,builder_6,143538002,753220
633,builder_6,45506008,818200
634,builder_6,89483003,2626000
635,builder_7,1999999,139000
636,builder_6,84000,0
637,builder_6,185605992,4441700
638,builder_6,223959993,3743500
639,builder_6,167921997,13020280
640,builder_6,1886998,31700
641,builder_6,87680002,1481000
642,builder_6,18725998,155000
643,builder_6,212260006,2503530
644,builder_6,194240002,2287530
645,builder_6,102821998,402130
646,builder_6,255509993,1774330
647,builder_6,116907991,1808720
648,builder_6,480699993,2645480
649,builder_6,785071998,883420
650,builder_6,708173996,2290180
651,builder_6,644199006,2540720
652,builder_6,143538002,753220
653,builder_6,45506008,818200
654,builder_6,89483003,2626000
655,builder_7,1999999,139000
656,builder_6,84000,0
657,builder_6,185605992,4441700
658,builder_6,223959993,3743500
659,builder_6,167921997,13020280
660,builder_6,1886998,31700
661,builder_6,87680002,1481000
662,builder_6,18725998,155000
663,builder_6,212260006,2503530
664,builder_6,194240002,2287530
665,builder_6,102821998,402130
666,builder_6,255509993,1774330
667,builder_6,116907991,1808720
668,builder_6,480699993,2645480
669,builder_6,785071998,883420
670,builder_6,708173996,2290180
671,builder_6,644199006,2540720
672,builder_6,143538002,753220
673,builder_6,45506008,818200
674,builder_6,89483003,2626000
675,builder_7,1999999,139000
676,builder_6,84000,0
677,builder_6,185605992,4441700
678,builder_6,223959993,3743500
679,builder_6,167921997,13020280
680,builder_6,1886998,31700
681,builder_6,87680002,1481000
682,builder_6,18725998,155000
683,builder_6,212260006,2503530
684,builder_6,194240002,2287530
685,builder_6,102821998,402130
686,builder_6,255509993,1774330
687,builder_6,116907991,1808720
688,builder_6,480699993,2645480
689,builder_6,785071998,883420
690,builder_6,708173996,2290180
691,builder_6,644199006,2540720
692,builder_6,143538002,753220
693,builder_6,45506008,818200
694,builder_6,89483003,2626000
695,builder_7,1999999,139000
696,builder_6,84000,0
697,builder_6,185605992,4441700
698,builder_6,223959993,3743500
699,builder_6,167921997,13020280
700,builder_6,1886998,31700
701,builder_6,87680002,1481000
702,builder_6,18725998,155000
703,builder_6,212260006,2503530
704,builder_6,194240002,2287530
705,builder_6,102821998,402130
706,builder_6,255509993,1774330
707,builder_6,116907991,1808720
708,builder_6,480699993,2645480
709,builder_6,785071998,883420
710,builder_6,708173996,2290180
711,builder_6,644199006,2540720
712,builder_6,143538002,753220
713,builder_6,45506008,818200
714,builder_6,89483003,2626000
715,builder_7,1999999,139000
716,builder_6,84000,0
717,builder_6,185605992,4441700
718,builder_6,223959993,3743500
719,builder_6,167921997,13020280
720,builder_6,1886998,31700
721,builder_6,87680002,1481000
722,builder_6,18725998,155000
723,builder_6,212260006,2503530
724,builder_6,194240002,2287530
725,builder_6,102821998,402130
726,builder_6,255509993,1774330
727,builder_6,116907991,1808720
728,builder_6,480699993,2645480
729,builder_6,785071998,883420
730,builder_6,708173996,2290180
731,builder_6,644199006,2540720
732,builder_6,143538002,753220
733,builder_6,45506008,818200
734,builder_6,89483003,2626000
735,builder_7,1999999,139000
736,builder_6,84000,0
737,builder_6,185605992,4441700
738,builder_6,223959993,3743500
739,builder_6,167921997,13020280
740,builder_6,1886998,31700
741,builder_6,87680002,1481000
742,builder_6,18725998,155000
743,builder_6,212260006,2503530
744,builder_6,194240002,2287530
745,builder_6,102821998,402130
746,builder_6,255509993,1774330
747,builder_6,116907991,1808720
748,builder_6,480699993,2645480
749,builder_6,785071998,883420
750,builder_6,708173996,2290180
751,builder_6,644199006,2540720
752,builder_6,143538002,753220
753,builder_6,45506008,818200
754,builder_6,89483003,2626000
755,builder_7,1999999,139000
756,builder_6,84000,0
757,builder_6,185605992,4441700
758,builder_6,223959993,3743500
759,builder_6,167921997,13020280
760,builder_6,1886998,31700
761,builder_6,87680002,1481000
762,builder_6,18725998,155000
763,builder_6,212260006,2503530
764,builder_6,194240002,2287530
765,builder_6,102821998,402130
766,builder_6,255509993,1774330
767,builder_6,116907991,1808720
768,builder_6,480699993,2645480
769,builder_6,785071998,883420
770,builder_6,708173996,2290180
771,builder_6,644199006,2540720
772,builder_6,143538002,753220
773,builder_6,45506008,818200
774,builder_6,89483003,2626000
775,builder_7,1999999,139000
776,builder_6,84000,0
777,builder_6,185605992,4441700
778,builder_6,223959993,3743500
779,builder_6,167921997,13020280
780,builder_6,1140003,11200
781,builder_6,4869999,24700
782,builder_6,223918008,26787820
783,builder_6,188212999,673840
784,builder_6,22713999,7644200
785,builder_6,237094004,3238680
786,builder_6,160676006,1040600
787,builder_6,75924001,584700
788,builder_6,490430001,12133700
789,builder_6,319532997,5421720
790,builder_6,596250003,5409520
791,builder_6,443582998,1772600
792,builder_6,649044998,17994880
793,builder_6,1105910002,19376680
794,builder_6,146212996,1096640
795,builder_6,49827005,221700
796,builder_6,184906007,2449930
797,builder_6,273189989,2380730
798,builder_6,246882987,4457800
799,builder_6,109270005,8854090
800,builder_6,1140003,11200
801,builder_6,4869999,24700
802,builder_6,223918008,26787820
803,builder_6,188212999,673840
804,builder_6,22713999,7644200
805,builder_6,237094004,3238680
806,builder_6,160676006,1040600
807,builder_6,75924001,584700
808,builder_6,490430001,12133700
809,builder_6,319532997,5421720
810,builder_6,596250003,5409520
811,builder_6,443582998,1772600
812,builder_6,649044998,17994880
813,builder_6,1105910002,19376680
814,builder_6,146212996,1096640
815,builder_6,49827005,221700
816,builder_6,184906007,2449930
817,builder_6,273189989,2380730
818,builder_6,246882987,4457800
819,builder_6,109270005,8854090
820,builder_6,1140003,11200
821,builder_6,4869999,24700
822,builder_6,223918008,26787820
823,builder_6,188212999,673840
824,builder_6,22713999,7644200
825,builder_6,237094004,3238680
826,builder_6,160676006,1040600
827,builder_6,75924001,584700
828,builder_6,490430001,12133700
829,builder_6,319532997,5421720
830,builder_6,596250003,5409520
831,builder_6,443582998,1772600
832,builder_6,649044998,17994880
833,builder_6,1105910002,19376680
834,builder_6,146212996,1096640
835,builder_6,49827005,221700
836,builder_6,184906007,2449930
837,builder_6,273189989,2380730
838,builder_6,246882987,4457800
839,builder_6,109270005,8854090
840,builder_6,1140003,11200
841,builder_6,4869999,24700
842,builder_6,223918008,26787820
843,builder_6,188212999,673840
844,builder_6,22713999,7644200
845,builder_6,237094004,3238680
846,builder_6,160676006,1040600
847,builder_6,75924001,584700
848,builder_6,490430001,12133700
849,builder_6,319532997,5421720
850,builder_6,596250003,5409520
851,builder_6,443582998,1772600
852,builder_6,649044998,17994880
853,builder_6,1105910002,19376680
854,builder_6,146212996,1096640
855,builder_6,49827005,221700
856,builder_6,184906007,2449930
857,builder_6,273189989,2380730
858,builder_6,246882987,4457800
859,builder_6,109270005,8854090
860,builder_6,1140003,11200
861,builder_6,4869999,24700
862,builder_6,223918008,26787820
863,builder_6,188212999,673840
864,builder_6,22713999,7644200
865,builder_6,237094004,3238680
866,builder_6,160676006,1040600
867,builder_6,75924001,584700
868,builder_6,490430001,12133700
869,builder_6,319532997,5421720
870,builder_6,596250003,5409520
871,builder_6,443582998,1772600
872,builder_6,649044998,17994880
873,builder_6,1105910002,19376680
874,builder_6,146212996,1096640
875,builder_6,49827005,221700
876,builder_6,184906007,2449930
877,builder_6,273189989,2380730
878,builder_6,246882987,4457800
879,builder_6,109270005,8854090
880,builder_6,1140003,11200
881,builder_6,4869999,24700
882,builder_6,223918008,26787820
883,builder_6,188212999,673840
884,builder_6,22713999,7644200
885,builder_6,237094004,3238680
886,builder_6,160676006,1040600
887,builder_6,75924001,584700
888,builder_6,490430001,12133700
889,builder_6,319532997,5421720
890,builder_6,596250003,5409520
891,builder_6,443582998,1772600
892,builder_6,649044998,17994880
893,builder_6,1105910002,19376680
894,builder_6,146212996,1096640
895,builder_6,49827005,221700
896,builder_6,184906007,2449930
897,builder_6,273189989,2380730
898,builder_6,246882987,4457800
899,builder_6,109270005,8854090
900,builder_6,1140003,11200
901,builder_6,4869999,24700
902,builder_6,223918008,26787820
903,builder_6,188212999,673840
904,builder_6,22713999,7644200
905,builder_6,237094004,3238680
906,builder_6,160676006,1040600
907,builder_6,75924001,584700
908,builder_6,490430001,12133700
909,builder_6,319532997,5421720
910,builder_6,596250003,5409520
911,builder_6,443582998,1772600
912,builder_6,649044998,17994880
913,builder_6,1105910002,19376680
914,builder_6,146212996,1096640
915,builder_6,49827005,221700
916,builder_6,184906007,2449930
917,builder_6,273189989,2380730
918,builder_6,246882987,4457800
919,builder_6,109270005,8854090
920,builder_6,1140003,11200
921,builder_6,4869999,24700
922,builder_6,223918008,26787820
923,builder_6,188212999,673840
924,builder_6,22713999,7644200
925,builder_6,237094004,3238680
926,builder_6,160676006,1040600
927,builder_6,75924001,584700
928,builder_6,490430001,12133700
929,builder_6,319532997,5421720
930,builder_6,596250003,5409520
931,builder_6,443582998,1772600
932,builder_6,649044998,17994880
933,builder_6,1105910002,19376680
934,builder_6,146212996,1096640
935,builder_6,49827005,221700
936,builder_6,184906007,2449930
937,builder_6,273189989,2380730
938,builder_6,246882987,4457800
939,builder_6,109270005,8854090
940,builder_6,1140003,11200
941,builder_6,4869999,24700
942,builder_6,223918008,26787820
943,builder_6,188212999,673840
944,builder_6,22713999,7644200
945,builder_6,237094004,3238680
946,builder_6,160676006,1040600
947,builder_6,75924001,584700
948,builder_6,490430001,12133700
949,builder_6,319532997,5421720
950,builder_6,596250003,5409520
951,builder_6,443582998,1772600
952,builder_6,649044998,17994880
953,builder_6,1105910002,19376680
954,builder_6,146212996,1096640
955,builder_6,49827005,221700
956,builder_6,184906007,2449930
957,builder_6,273189989,2380730
958,builder_6,246882987,4457800
959,builder_6,109270005,8854090
960,builder_6,1140003,11200
961,builder_6,4869999,24700
962,builder_6,223918008,26787820
963,builder_6,188212999,673840
964,builder_6,22713999,7644200
965,builder_6,237094004,3238680
966,builder_6,160676006,1040600
967,builder_6,75924001,584700
968,builder_6,490430001,12133700
969,builder_6,319532997,5421720
970,builder_6,596250003,5409520
971,builder_6,443582998,1772600
972,builder_6,649044998,17994880
973,builder_6,1105910002,19376680
974,builder_6,146212996,1096640
975,builder_6,49827005,221700
976,builder_6,184906007,2449930
977,builder_6,273189989,2380730
978,builder_6,246882987,4457800
979,builder_6,109270005,8854090
980,builder_6,1140003,11200
981,builder_6,4869999,24700
982,builder_6,223918008,26787820
983,builder_6,188212999,673840
984,builder_6,22713999,7644200
985,builder_6,237094004,3238680
986,builder_6,160676006,1040600
987,builder_6,75924001,584700
988,builder_6,490430001,12133700
989,builder_6,319532997,5421720
990,builder_6,596250003,5409520
991,builder_6,443582998,1772600
992,builder_6,649044998,17994880
993,builder_6,1105910002,19376680
994,builder_6,146212996,1096640
995,builder_6,49827005,221700
996,builder_6,184906007,2449930
997,builder_6,273189989,2380730
998,builder_6,246882987,4457800
999,builder_6,109270005,8854090
