block_id,total_gas,total_mev_captured,block_bid,builder_type
1,430000075,151000,535130660.9544046,attack
2,430000315,151000,1669627600.7429795,attack
3,430000555,151000,3020272520.7967753,attack
4,430000795,151000,4580212671.3047905,attack
5,430001035,151000,6311675653.888949,attack
6,430001275,151000,8326937029.92474,attack
7,430001515,151000,10537070150.286188,attack
8,430001755,151000,13064592407.655348,attack
9,430001995,151000,14865734934.0,attack
10,430002235,151000,16589451829.0,attack
11,430002475,151000,18304362320.0,attack
12,430002715,151000,20009327847.0,attack
13,430002955,151000,21704503010.0,attack
14,430003195,151000,23478794109.0,attack
15,430003435,151000,25178679664.0,attack
16,430003675,151000,26964690835.0,attack
17,430003915,151000,28670874042.0,attack
18,430004155,151000,30439483585.0,attack
19,430004395,151000,32191132364.0,attack
20,430004635,151000,33897296179.0,attack
21,430004875,151000,35613045430.0,attack
22,430005115,151000,37318874517.0,attack
23,430005355,151000,39017660840.0,attack
24,430005595,151000,40715708299.0,attack
25,430005835,151000,42457749594.0,attack
26,430006075,151000,44178849305.0,attack
27,430006315,151000,45946696472.0,attack
28,430006555,151000,47682255575.0,attack
29,430006795,151000,49453239614.0,attack
30,430005629,187000,51207542789.0,attack
31,430007275,151000,52913108901.0,attack
32,430007515,151000,54616186348.0,attack
33,430007755,151000,56354880861.0,attack
34,430007995,151000,58146879680.0,attack
35,430008235,151000,59875218135.0,attack
36,430008475,151000,61588344956.0,attack
37,430008715,151000,63348918583.0,attack
38,430008955,151000,65045143146.0,attack
39,430009195,151000,66822386345.0,attack
40,430009435,151000,68530085980.0,attack
41,430009675,151000,70233421351.0,attack
42,430009915,151000,72000757658.0,attack
43,430010155,151000,73765718601.0,attack
44,430010395,151000,75471372980.0,attack
45,430010635,151000,77179771225.0,attack
46,430010875,151000,78927599176.0,attack
47,430011115,151000,80688424163.0,attack
48,430011355,151000,82424850986.0,attack
49,430011595,151000,84163264165.0,attack
50,430011835,151000,85902674790.0,attack
