block_id,total_gas,total_mev_captured,block_bid,validator_type
1,0,0,,normal
2,61776000,700000,,attack
3,38294000,83120,,normal
4,30333000,93000,,attack
5,32044000,820000,,attack
6,6219000,0,,attack
7,46527000,77920,,attack
8,58617000,410950,,attack
9,16076000,19220,,normal
10,23401000,2200000,,attack
11,18636000,41500,,normal
12,34760000,15430,,normal
13,33062000,329300,,normal
14,26493000,0,,attack
15,39163000,370910,,normal
16,24459000,2692100,,attack
17,17615000,562280,,normal
18,39613000,0,,attack
19,25935000,1962100,,attack
20,14374000,426180,,normal
21,18200000,96400,,attack
22,18360000,531000,,normal
23,12355000,0,,attack
24,38264000,174360,,attack
25,22322000,1345200,,attack
26,16626000,152200,,normal
27,38452000,401720,,attack
28,21625000,0,,attack
29,31824000,49000,,normal
30,24378000,0,,attack
31,49881000,56900,,attack
32,22637000,1058600,,attack
33,67379000,758400,,attack
34,27890000,362000,,attack
35,34611000,303000,,normal
36,42256000,60400,,attack
37,21342000,35600,,normal
38,14466000,0,,normal
39,22007000,484800,,attack
40,40297000,1182900,,attack
41,30037000,50010,,attack
42,67570000,322000,,attack
43,19796000,0,,normal
44,32134000,174360,,attack
45,15619000,0,,attack
46,30490000,508000,,normal
47,26973000,813700,,attack
48,38020000,779000,,normal
49,36447000,252560,,attack
50,37040000,86100,,attack
51,24940000,135800,,attack
52,55833000,1020000,,attack
53,31537000,2053640,,attack
54,52192000,135000,,attack
55,34519000,1442390,,attack
56,27467000,49500,,normal
57,21939000,144640,,normal
58,22247000,325300,,attack
59,34340000,0,,attack
60,25265000,441900,,attack
61,45678000,387260,,attack
62,32087000,1193800,,attack
63,24790000,161000,,normal
64,29245000,370000,,attack
65,24645000,22400,,attack
66,20445000,199500,,normal
67,29580000,972100,,normal
68,41084000,0,,attack
69,28487000,461700,,attack
70,28203000,0,,normal
71,30768000,74040,,attack
72,25239000,71200,,attack
73,33058000,762000,,attack
74,36115000,32900,,normal
75,42989000,2111800,,attack
76,25158000,2200000,,attack
77,23804000,340800,,normal
78,30323000,0,,attack
79,26372000,1911800,,attack
80,27750000,299840,,normal
81,20439000,195100,,attack
82,23907000,185890,,attack
83,37090000,76020,,normal
84,22134000,84000,,attack
85,42025000,1572600,,attack
86,45270000,820000,,attack
87,20427000,85200,,normal
88,30814000,49400,,attack
89,13867000,30600,,attack
90,17815000,0,,attack
91,27053000,652800,,attack
92,30245000,107500,,attack
93,22002000,261630,,attack
94,22755000,345900,,attack
95,22149000,69400,,attack
96,74763000,8865200,,attack
97,58015000,1143800,,attack
98,30072000,22420,,normal
99,68164000,487300,,attack
100,31096000,2227400,,attack
