block_id,total_gas,total_mev_captured,block_bid,validator_type
1,6600000,283800,,attack
2,26897000,66600,,attack
3,21181000,176790,,attack
4,34823000,132200,,attack
5,26379000,135000,,attack
6,60221000,166200,,attack
7,27730000,331000,,attack
8,77377000,533900,,attack
9,15015000,32800,,attack
10,27079000,1918000,,attack
11,23312000,129200,,attack
12,29070000,3734200,,attack
13,30044000,418200,,attack
14,31165000,87200,,attack
15,35620000,24600,,attack
16,22577000,9486500,,attack
17,62413000,2089800,,attack
18,18263000,268800,,attack
19,35558000,108200,,attack
20,27027000,135800,,attack
21,17363000,66200,,attack
22,49714000,143600,,attack
23,54998000,1360800,,attack
24,28368000,106900,,attack
25,29960000,129200,,attack
26,59630000,246300,,attack
27,65130000,354700,,attack
28,12657000,442800,,attack
29,21330000,0,,attack
30,21167000,121900,,attack
31,29435000,260800,,attack
32,16418000,83000,,attack
33,26627000,338580,,attack
34,42362000,359400,,attack
35,52345000,353780,,attack
36,28837000,645700,,attack
37,31049000,238700,,attack
38,36999000,8713800,,attack
39,47110000,117530,,attack
40,21823000,0,,attack
41,23110000,839700,,attack
42,27946000,465590,,attack
43,24403000,253800,,attack
44,31884000,63800,,attack
45,30377000,0,,attack
46,23880000,112400,,attack
47,73367000,480400,,attack
48,12697000,708180,,attack
49,24223000,711570,,attack
50,31340000,946100,,attack
51,40801000,1937700,,attack
52,54094000,32800,,attack
53,49840000,224600,,attack
54,25401000,47100,,attack
55,55631000,437600,,attack
56,10922000,63400,,attack
57,30261000,578520,,attack
58,20729000,427300,,attack
59,25793000,720000,,attack
60,21804000,8743900,,attack
61,24338000,239500,,attack
62,22230000,1188000,,attack
63,26698000,770200,,attack
64,38576000,2956300,,attack
65,39570000,60400,,attack
66,30567000,11260,,attack
67,31070000,173000,,attack
68,22742000,100400,,attack
69,26593000,0,,attack
70,23466000,487400,,attack
71,24478000,738000,,attack
72,35389000,405240,,attack
73,54901000,154500,,attack
74,26251000,362000,,attack
75,56644000,495000,,attack
76,39042000,318500,,attack
77,18060000,610400,,attack
78,22118000,148900,,attack
79,43539000,127300,,attack
80,20340000,9281000,,attack
81,32669000,512000,,attack
82,33532000,197800,,attack
83,88476000,393400,,attack
84,52108000,194730,,attack
85,24276000,135000,,attack
86,79428000,84000,,attack
87,67202000,148130,,attack
88,23324000,98200,,attack
89,19543000,476600,,attack
90,67008000,853800,,attack
91,31980000,119100,,attack
92,16773000,71200,,attack
93,39536000,362700,,attack
94,69317000,895840,,attack
95,37707000,666500,,attack
96,43978000,78800,,attack
97,23522000,706400,,attack
98,27086000,1062000,,attack
99,32778000,310000,,attack
100,51637000,519500,,attack
