block_id,total_gas,total_mev_captured,validator_type,validator_id
1,855660171,68860,attack,6220
2,1032000732,75120,attack,6246
3,1032001308,75120,attack,6219
4,1032001884,75120,attack,6236
5,1032002460,75120,attack,6238
6,1032003036,75120,attack,6233
7,1032003612,75120,attack,6223
8,1032004188,75120,attack,6210
9,1032004764,75120,attack,6209
10,1032005340,75120,attack,6236
11,1032005916,75120,attack,6239
12,1032006492,75120,attack,6220
13,1032007068,75120,attack,6213
14,1032007644,75120,attack,6243
15,1032008220,75120,attack,6204
16,1032008796,75120,attack,6249
17,1032009372,75120,attack,6215
18,1032009948,75120,attack,6222
19,1032010524,75120,attack,6248
20,1032011100,75120,attack,6241
21,1032011676,75120,attack,6219
22,1032012252,75120,attack,6215
23,1032012828,75120,attack,6250
24,1032013404,75120,attack,6230
25,1032013980,75120,attack,6250
26,1032014556,75120,attack,6203
27,1032015132,75120,attack,6224
28,1032015708,75120,attack,6236
29,1032016284,75120,attack,6247
30,1032016860,75120,attack,6206
31,1032017436,75120,attack,6231
32,1032018012,75120,attack,6207
33,1032018588,75120,attack,6244
34,1032019164,75120,attack,6236
35,1032019740,75120,attack,6246
36,1032020316,75120,attack,6219
37,1032020892,75120,attack,6208
38,1032021468,75120,attack,6219
39,1032022044,75120,attack,6214
40,1032022620,75120,attack,6203
41,1032023196,75120,attack,6233
42,1032023772,75120,attack,6238
43,1032024348,75120,attack,6202
44,1032024924,75120,attack,6230
45,1032025500,75120,attack,6250
46,1032026076,75120,attack,6242
47,1032026652,75120,attack,6248
48,1032027228,75120,attack,6235
49,1032027804,75120,attack,6220
50,1032028380,75120,attack,6232
