block_id,total_gas,total_mev_captured,block_bid,builder_type,builder_id
1,50308000,285000,63673000,attack,3201
2,34146000,13900,99709900,normal,3233
3,7740000,18016700,210826700,normal,3227
4,8645000,24920,305609920,normal,3239
5,25260000,933000,455775000,normal,3239
6,14760000,42000,628502000,normal,3228
7,13660000,33100,815773100,attack,3224
8,20875000,55490,1143080490,normal,3242
9,3607000,369000,1439920000,attack,3219
10,30497000,0,1786097000,normal,3245
11,16449000,65000,2090432000,attack,3218
12,92503000,0,2508939000,attack,3203
13,11043000,879000,2829614000,normal,3229
14,77750000,0,3475250000,normal,3243
15,88284000,0,3954240000,attack,3224
16,35413000,0,4229673000,attack,3204
17,64900000,1100000,4644902000,attack,3209
18,10149000,0,5127107000,normal,3226
19,14307000,0,5746659000,attack,3224
20,25980000,35600,6510437600,attack,3202
21,8185000,13800,7180814800,normal,3241
22,9710000,0,8075734000,attack,3218
23,33060000,285000,8923101000,attack,3218
24,8224000,60700,9635296700,attack,3212
25,20619000,296000,10091293000,normal,3247
26,34417000,4350200,10958539200,normal,3230
27,15097000,0,11611249000,normal,3235
28,13222000,0,12661444000,normal,3240
29,38243000,0,13486583000,attack,3225
30,6609000,285000,14355690000,normal,3237
31,10244000,4375800,15371409800,normal,3226
32,11992000,67500,16329305500,normal,3244
33,14495000,0,17320997000,normal,3244
34,6873000,0,18417569000,normal,3239
35,14660000,4330700,19125990700,attack,3206
36,10939000,550180,20096807180,normal,3235
37,16370000,369000,21382189000,attack,3222
38,15800000,0,22605044000,attack,3204
39,25250000,122230,23872210230,attack,3218
40,3403000,794100,25142429100,attack,3220
41,35340000,245200,26087659200,attack,3223
42,21309000,12800,26899299800,attack,3213
43,37176000,64600,28178074600,normal,3249
44,21487000,374630,29237075630,normal,3242
45,12977000,0,30877261000,normal,3240
46,8032000,15300,31996711300,attack,3210
47,10117000,1114000,32913799000,normal,3239
48,46986000,641700,34110575700,normal,3228
49,11123000,73100,35254524100,attack,3207
50,6529000,24900,36692737900,attack,3207
