block_id,total_gas,total_mev_captured,validator_type,validator_id
1,955680231,4485000,attack,6507
2,989000759,4485000,normal,6540
3,989001311,4485000,normal,6538
4,989001863,4485000,normal,6525
5,1032002532,4680000,attack,6519
6,989002967,4485000,normal,6527
7,1032003684,4680000,attack,6519
8,1032004260,4680000,attack,6507
9,1032004836,4680000,attack,6510
10,989005175,4485000,normal,6540
11,989005727,4485000,normal,6534
12,1032006564,4680000,attack,6501
13,989006831,4485000,normal,6530
14,989007383,4485000,normal,6544
15,989007935,4485000,normal,6542
16,1032008868,4680000,attack,6514
17,989009039,4485000,normal,6526
18,1032010020,4680000,attack,6513
19,989010143,4485000,normal,6536
20,1032011172,4680000,attack,6518
21,1032011748,4680000,attack,6517
22,1032012324,4680000,attack,6501
23,1032012900,4680000,attack,6513
24,989012903,4485000,normal,6533
25,1032014052,4680000,attack,6517
26,1032014628,4680000,attack,6504
27,989014559,4485000,normal,6534
28,1075016425,4875000,attack,6514
29,1032016356,4680000,attack,6514
30,1032016908,4680000,normal,6537
31,989016767,4485000,normal,6543
32,1032018060,4680000,normal,6522
33,1032018660,4680000,attack,6512
34,1032019212,4680000,normal,6522
35,989018975,4485000,normal,6525
36,1032020364,4680000,normal,6538
37,1032020940,4680000,normal,6524
38,1032021516,4680000,normal,6547
39,1032022092,4680000,normal,6546
40,1032022668,4680000,normal,6528
41,1032023244,4680000,normal,6535
42,1032023820,4680000,normal,6533
43,989023391,4485000,normal,6543
44,1075026025,4875000,attack,6504
45,1075026625,4875000,attack,6506
46,1032026124,4680000,normal,6521
47,1032026700,4680000,normal,6550
48,989026151,4485000,normal,6548
49,989026703,4485000,normal,6528
50,1032028452,4680000,attack,6510
