block_id,total_gas,total_mev_captured,validator_type,validator_id
1,759287000,94835100,attack,55
2,847889000,90129400,attack,80
3,1125700000,25761500,attack,57
4,1035300000,44694800,attack,83
5,830840000,73964800,attack,51
6,1056729000,35251640,attack,82
7,1209000000,3049970,attack,52
8,1109500000,20079000,attack,57
9,1227800000,26666330,attack,59
10,1193100000,19297500,attack,59
11,1106500000,26921700,attack,72
12,1199268000,111753800,normal,99
13,1271000000,18419000,attack,65
14,785635000,173153700,normal,97
15,1026435000,49995470,attack,62
16,1253340000,19417580,attack,59
17,1231930000,104607500,normal,89
18,1250500000,25321230,attack,76
19,1084600000,18149340,attack,52
20,1259400000,18363840,attack,76
21,1251000000,8795500,attack,83
22,1061300000,53667900,attack,52
23,1458000000,1211300,attack,60
24,1083840000,196015600,normal,100
25,1140100000,36460690,attack,78
26,1096070000,53357200,attack,74
27,960400000,54218000,attack,68
28,1358110000,61701600,normal,94
29,1083830000,89999800,attack,79
30,1004715000,100086170,attack,81
31,1190190000,82880930,normal,95
32,1041990000,67711740,attack,80
33,1006457000,69068810,attack,65
34,1288400000,19580900,attack,53
35,897670000,75333800,attack,70
36,1203000000,23096700,attack,62
37,888710000,106728140,attack,79
38,1028100000,53290730,attack,57
39,1252000000,8980630,attack,77
40,1105500000,18446820,attack,85
41,1055363000,185142100,normal,96
42,1145209000,180074500,normal,100
43,1026840000,34418200,attack,78
44,1283000000,671200,attack,67
45,888790000,87416300,attack,71
46,1304700000,78624590,normal,96
47,1089500000,18241600,attack,60
48,1000034000,57448980,attack,74
49,1196000000,2653900,attack,66
50,1328000000,9051700,attack,84
