block_id,total_gas,total_mev_captured,block_bid,builder_type,builder_id
1,214980000,10601500,71694406936.41606,attack,166
2,110580000,2626600,179699504241.8692,attack,160
3,170050000,2235500,316811942002.14325,attack,168
4,126210000,23484400,499015132744.4608,attack,161
5,288500000,772570,707831731531.0964,attack,160
6,223350000,36631800,954662412432.4862,attack,195
7,148597000,5848700,1241262168353.488,attack,181
8,173110000,14515300,1554617824704.579,attack,163
9,235900000,18084280,1897546251254.5017,attack,194
10,210650000,2327730,2295425448614.608,attack,180
11,225770000,12449200,2700240847573.588,attack,154
12,183040000,400000,3096279193859.662,attack,191
13,187883000,1574670,3630564323809.1514,attack,179
14,176910000,28085600,4191752541352.7466,attack,166
15,86940000,6052500,4700133697071.21,attack,163
16,208650000,8651000,5310974868367.957,attack,183
17,191580000,9351800,5949108232137.168,attack,190
18,214470000,4274940,6618338696180.919,attack,164
19,224000000,5225730,7196444866478.898,attack,183
20,171800000,1102230,8010005644946.906,attack,161
21,208770000,988140,8777144239321.866,attack,181
22,200290000,24341500,9579519304534.576,attack,174
23,159930000,1086100,10390746072668.723,attack,174
24,338280000,12469390,11259645096423.25,attack,170
25,289110000,40237620,12264536039437.045,attack,189
26,226860000,1813790,13018337806265.959,attack,156
27,240200000,1028340,14059605798180.117,attack,161
28,192860000,2264600,15217189832585.457,attack,189
29,153200000,851100,16135431883894.541,attack,192
30,243310000,23775600,17122068978717.174,attack,185
31,202430000,36894830,18376548336906.004,attack,165
32,206720000,26808200,19444323152223.383,attack,173
33,175800000,19492240,20644520295158.25,attack,176
34,286350000,22423840,21928956535693.46,attack,190
35,169130000,20760100,23178472338306.33,attack,166
36,163750000,7719300,23978521888562.16,attack,193
37,165900000,467000,25656154490714.668,attack,170
38,162300000,20253570,26735245572913.29,attack,180
39,238300000,1972940,28365677483359.188,attack,178
40,224040000,41150930,29581067069538.37,attack,182
41,299300000,564640,31057578202881.43,attack,189
42,123460000,14808100,32637455537555.066,attack,189
43,167870000,2873990,34277351737404.598,attack,194
44,116880000,10682840,35757191130518.375,attack,195
45,241000000,6220980,37389179365651.66,attack,174
46,217140000,1438180,38817618211518.875,attack,182
47,206170000,888600,40799187616231.46,attack,173
48,162610000,1399000,42507095222820.26,attack,161
49,169140000,18689900,44206261310446.3,attack,151
50,264660000,557000,44444512672583.61,attack,181
