block_id,total_gas,total_mev_captured,block_bid,validator_type
1,0,0,,attack
2,21620000,799100,,normal
3,14237000,390000,,attack
4,26245000,1221000,,normal
5,22999000,741600,,normal
6,20310000,11280,,attack
7,38679000,220100,,attack
8,26249000,278000,,attack
9,20006000,569600,,normal
10,30947000,527700,,attack
11,24586000,462720,,attack
12,25487000,139000,,normal
13,40232000,322000,,normal
14,35544000,0,,normal
15,29813000,1380100,,normal
16,33610000,834700,,normal
17,25290000,37200,,attack
18,37260000,64600,,normal
19,33360000,241700,,normal
20,32595000,338600,,attack
21,20407000,769000,,normal
22,22587000,879000,,normal
23,30623000,2097600,,attack
24,26403000,2261520,,attack
25,10194000,566000,,attack
26,29401000,773100,,attack
27,21378000,820000,,attack
28,23589000,543300,,normal
29,17640000,33300,,normal
30,38613000,66100,,normal
31,17554000,0,,normal
32,18056000,128800,,normal
33,22662000,723630,,attack
34,14787000,706390,,attack
35,26407000,412700,,normal
36,49548000,237260,,attack
37,17708000,582340,,normal
38,25475000,0,,normal
39,39725000,137630,,attack
40,26740000,381900,,normal
41,21117000,0,,normal
42,25580000,62500,,attack
43,26501000,501700,,normal
44,17786000,841800,,attack
45,39299000,60700,,normal
46,31161000,158200,,normal
47,21025000,694800,,attack
48,39058000,553200,,attack
49,27490000,1986800,,attack
50,29145000,70360,,attack
51,27454000,75380,,attack
52,37880000,0,,attack
53,39866000,426500,,attack
54,23363000,63000,,normal
55,24810000,0,,attack
56,25303000,0,,normal
57,19372000,0,,normal
58,30850000,47000,,attack
59,25827000,592000,,attack
60,21308000,629600,,normal
61,20935000,14412900,,attack
62,30061000,1558000,,attack
63,26466000,560800,,attack
64,30248000,457100,,attack
65,25940000,146200,,attack
66,38454000,7840,,normal
67,50399000,139100,,attack
68,19507000,254170,,normal
69,16707000,49200,,attack
70,32230000,168500,,normal
71,32133000,829030,,normal
72,12970000,182030,,normal
73,30625000,159040,,normal
74,20730000,656200,,normal
75,21829000,1684000,,normal
76,31441000,732900,,attack
77,21243000,381000,,normal
78,22553000,1457840,,normal
79,19488000,318600,,normal
80,34133000,119140,,normal
81,42100000,0,,normal
82,34665000,295800,,attack
83,30450000,1048130,,attack
84,21940000,52130,,normal
85,40330000,1288000,,attack
86,50460000,994900,,attack
87,29190000,18350900,,normal
88,43221000,271100,,normal
89,26402000,59300,,normal
90,20832000,171600,,attack
91,69601000,648500,,attack
92,41891000,86800,,attack
93,48950000,1113900,,normal
94,36574000,0,,attack
95,26596000,657400,,normal
96,14693000,462900,,normal
97,26989000,592000,,attack
98,31586000,74800,,attack
99,25713000,147400,,attack
100,72907000,98700,,normal
