transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,validator_type
36688,1700000,33300.0,0,105,,unknown,10,10,attack
43228,0,0.0,0,263,36688.0,unknown,10,10,attack
36313,1600000,0.0,0,109,,unknown,10,5,attack
36370,1600000,10700.0,0,105,,unknown,10,5,attack
43229,0,0.0,0,263,36370.0,unknown,10,5,attack
36751,6300000,0.0,0,104,,unknown,11,11,attack
36811,6300000,0.0,0,106,,unknown,11,11,attack
36763,5000000,0.0,0,106,,unknown,11,11,attack
36793,5000000,0.0,0,108,,unknown,11,11,attack
36769,4500000,0.0,0,104,,unknown,11,11,attack
36772,3200000,0.0,0,103,,unknown,11,11,attack
36745,2600000,5640.0,0,105,,unknown,11,11,attack
43230,0,0.0,0,263,36745.0,unknown,11,11,attack
36463,1600000,0.0,0,102,,unknown,11,7,attack
36023,1500001,0.0,0,112,36022.0,unknown,11,1,attack
36841,5200000,0.0,0,108,,unknown,12,12,attack
36868,4500000,32900.0,0,104,,unknown,12,12,attack
43231,0,0.0,0,256,36868.0,unknown,12,12,attack
36877,4500000,0.0,0,109,,unknown,12,12,attack
36838,4200000,0.0,0,106,,unknown,12,12,attack
36820,3600000,0.0,0,109,,unknown,12,12,attack
36859,3500000,769000.0,0,103,,unknown,12,12,attack
43232,0,0.0,0,256,36859.0,unknown,12,12,attack
36871,2500000,71800.0,0,107,,unknown,12,12,attack
43233,0,0.0,0,256,36871.0,unknown,12,12,attack
36940,4200000,0.0,0,105,,unknown,13,13,normal
36910,3600000,139000.0,0,108,,unknown,13,13,normal
36934,3600000,0.0,0,107,,unknown,13,13,normal
36907,2600000,15700.0,0,102,,unknown,13,13,normal
36835,2100000,31700.0,0,103,,unknown,13,12,normal
36892,2000000,0.0,0,110,,unknown,13,13,normal
36874,1800000,0.0,0,104,,unknown,13,12,normal
36916,1700000,0.0,0,103,,unknown,13,13,normal
36886,1600000,17700000.0,0,108,,unknown,13,13,normal
36952,1600000,0.0,0,105,,unknown,13,13,normal
37000,30000000,0.0,0,104,,unknown,14,14,normal
37015,27000000,0.0,0,110,,unknown,14,14,normal
36976,4500000,32900.0,0,103,,unknown,14,14,normal
37027,4500000,0.0,0,103,,unknown,14,14,normal
36970,3600000,0.0,0,103,,unknown,14,14,normal
