block_id,total_gas,total_mev_captured,validator_type,validator_id
1,12140000,263100,attack,2744
2,72120000,0,attack,2707
3,35257000,31700,attack,2744
4,8687000,121000,attack,2725
5,65165000,766900,attack,2716
6,31290000,5180,attack,2727
7,43903000,0,attack,2741
8,9350000,47700,attack,2728
9,6499000,313100,attack,2743
10,7900000,0,attack,2725
11,7110000,0,attack,2717
12,89708000,17000,attack,2721
13,7420000,0,attack,2750
14,18312000,350000,attack,2712
15,9787000,794770,attack,2738
16,8540000,146000,attack,2730
17,13070000,0,attack,2740
18,81251000,27600,attack,2727
19,56655000,85800,attack,2749
20,26815000,20130,attack,2727
21,13464000,59800,attack,2724
22,12647000,256000,attack,2713
23,35972000,350000,attack,2720
24,4867000,24700,attack,2713
25,41970000,0,attack,2741
26,33669000,128000,attack,2713
27,5053000,39400,attack,2704
28,17232000,34700,attack,2703
29,40697000,115200,attack,2708
30,8404000,237530,attack,2707
31,40118000,0,attack,2709
32,45071000,43600,attack,2722
33,59180000,195000,attack,2750
34,14157000,172100,attack,2738
35,6565000,31700,attack,2723
36,84204000,658600,attack,2719
37,8836000,0,attack,2718
38,57400000,369000,attack,2703
39,13670000,67500,attack,2713
40,25028000,68100,attack,2730
41,36793000,172520,attack,2746
42,16659000,151800,attack,2701
43,7018000,0,attack,2718
44,5470000,0,attack,2726
45,9950000,155000,attack,2742
46,11257000,296000,attack,2726
47,19194000,0,attack,2718
48,85560000,1100000,attack,2716
49,35220000,283000,attack,2716
50,98142000,17715100,attack,2742
