block_num,builder_id,proposer_id,winning_bid,total_gas_fee,total_mev
489,builder_12,proposer_15,91414564.62287691,100104000,32695990
490,builder_9,proposer_4,155124826.95431304,169568000,30568140
491,builder_9,proposer_12,105118016.29083125,116206000,5580180
492,builder_16,proposer_13,88226185.8982147,97521000,4415430
493,builder_7,proposer_1,174742425.34325397,190412000,11744080
494,builder_1,proposer_2,139520426.66530192,153907000,22450810
495,builder_14,proposer_6,125551081.29801375,159502000,19712890
496,builder_14,proposer_11,137241359.80779755,149947000,27950310
497,builder_8,proposer_19,64509363.172021374,70497000,15031070
498,builder_16,proposer_14,134989864.4836621,164254000,3921200
499,builder_5,proposer_0,76973466.00225195,84346000,35287760
500,builder_14,proposer_11,89125681.13801475,97791000,27256530
501,builder_8,proposer_5,120164134.65212663,130975000,6121750
502,builder_9,proposer_2,96485152.34163208,105170000,32145070
503,builder_14,proposer_3,142883318.11858428,155803000,25050500
504,builder_2,proposer_8,54029531.7072872,59224000,27461690
505,builder_10,proposer_1,128018411.64659818,140429000,56549770
506,builder_12,proposer_7,82629391.03766191,91398000,12256020
507,builder_3,proposer_19,80098900.02377616,87533000,39532460
508,builder_6,proposer_11,84871098.6678173,92500000,8300030
509,builder_2,proposer_14,31308954.438535027,34660000,6786550
510,builder_14,proposer_1,64674056.304197036,74760000,7568630
511,builder_5,proposer_17,94078290.88155413,102565000,28427900
512,builder_8,proposer_1,45601824.30126596,50016000,10562810
513,builder_12,proposer_11,119814620.6045545,130720000,5302530
514,builder_0,proposer_5,114052412.96763742,124812000,13005720
515,builder_17,proposer_18,76418173.61796664,83776000,21545230
516,builder_18,proposer_15,104117842.80217698,118612000,17411260
517,builder_4,proposer_9,87513561.15076621,95523000,36284820
518,builder_1,proposer_9,57512429.033330426,62903000,27042430
519,builder_15,proposer_9,93016715.05477986,101491000,27180350
520,builder_7,proposer_16,84118187.91705821,114932000,5845850
521,builder_13,proposer_17,36542905.11683408,39898000,39558670
522,builder_14,proposer_14,127575286.64339712,139569000,13083360
523,builder_10,proposer_17,84174593.84748876,91974000,23424590
524,builder_9,proposer_5,64052188.93324699,69984000,5404840
525,builder_5,proposer_6,154067323.20057556,168445000,4192830
526,builder_13,proposer_2,57977121.51906825,63694000,22239600
527,builder_6,proposer_13,146153819.2330832,159596000,48625050
528,builder_12,proposer_14,86764355.41710334,94935000,10562830
529,builder_17,proposer_15,126544895.70958091,138144000,23419230
530,builder_16,proposer_8,90105605.5560665,98814000,17813340
531,builder_8,proposer_17,85813330.53895976,93592000,14483430
532,builder_0,proposer_3,135109090.3292619,147509000,3717120
533,builder_11,proposer_5,72247676.89298023,86788000,34344530
534,builder_9,proposer_13,72964636.86230996,79821000,27673770
535,builder_1,proposer_17,72989555.98460832,84409000,27277690
536,builder_0,proposer_7,136624623.91230047,149075000,15031800
537,builder_2,proposer_11,98956300.24277738,107822000,6946800
538,builder_4,proposer_13,76977268.24438661,84002000,14715640
539,builder_3,proposer_11,203640690.90373427,222463000,24237800
540,builder_18,proposer_0,90703774.28965208,99557000,6709550
541,builder_6,proposer_18,98163605.83268231,107372000,24078810
542,builder_18,proposer_0,106209664.18525337,128259000,20700150
543,builder_14,proposer_5,94730770.27936664,103578000,23942130
544,builder_12,proposer_15,28689427.435049485,31256000,10255330
545,builder_4,proposer_7,71678444.18850654,78310000,24844880
546,builder_1,proposer_8,70057078.56705992,76460000,22628530
547,builder_12,proposer_5,118535144.95016013,129127000,16830340
548,builder_5,proposer_17,98631658.61419055,107775000,7467580
549,builder_18,proposer_9,68052626.66577047,74309000,33902680
550,builder_6,proposer_6,72888607.96816814,85662000,21077070
551,builder_18,proposer_17,113287713.824543,124361000,11372670
552,builder_7,proposer_3,92859980.1948754,101566000,3008510
553,builder_18,proposer_16,81391601.9413101,93266000,27257460
554,builder_1,proposer_17,89827196.06494895,98338000,8463730
555,builder_11,proposer_10,62150364.61235536,68018000,11320720
556,builder_10,proposer_5,115799313.46436848,134301000,40388230
557,builder_17,proposer_9,121053408.2056378,133220000,10313780
558,builder_15,proposer_12,66851868.267074294,72892000,16657210
559,builder_18,proposer_17,85984484.52585307,101625000,11876820
560,builder_10,proposer_11,40818608.089258105,44552000,7072260
561,builder_17,proposer_9,103770304.59013145,113616000,21725890
562,builder_14,proposer_17,47266181.46027615,51598000,23957730
563,builder_7,proposer_14,151146279.33387113,164862000,33609480
564,builder_16,proposer_4,44521826.65606719,50863000,27127790
565,builder_19,proposer_16,114711442.53262842,125568000,6973840
566,builder_1,proposer_13,115713027.95355664,126286000,5886060
567,builder_11,proposer_18,60863740.524592474,66321000,36511310
568,builder_4,proposer_3,171057096.92050725,187259000,9662770
569,builder_13,proposer_9,104612694.78002666,115025000,12500180
570,builder_0,proposer_19,129942560.96736322,141742000,75549720
571,builder_16,proposer_17,209168856.99336308,228085000,25439820
572,builder_4,proposer_19,131072747.51429605,142815000,40346060
573,builder_12,proposer_15,91414564.62287691,100104000,32695990
574,builder_9,proposer_4,155124826.95431304,169568000,30568140
575,builder_9,proposer_12,105118016.29083125,116206000,5580180
576,builder_16,proposer_13,88226185.8982147,97521000,4415430
577,builder_7,proposer_1,174742425.34325397,190412000,11744080
578,builder_1,proposer_2,139520426.66530192,153907000,22450810
579,builder_14,proposer_6,125551081.29801375,159502000,19712890
580,builder_14,proposer_11,137241359.80779755,149947000,27950310
581,builder_8,proposer_19,64509363.172021374,70497000,15031070
582,builder_16,proposer_14,134989864.4836621,164254000,3921200
583,builder_5,proposer_0,76973466.00225195,84346000,35287760
584,builder_14,proposer_11,89125681.13801475,97791000,27256530
585,builder_8,proposer_5,120164134.65212663,130975000,6121750
586,builder_9,proposer_2,96485152.34163208,105170000,32145070
587,builder_14,proposer_3,142883318.11858428,155803000,25050500
588,builder_10,proposer_11,40818608.089258105,44552000,7072260
589,builder_17,proposer_9,103770304.59013145,113616000,21725890
590,builder_14,proposer_17,47266181.46027615,51598000,23957730
591,builder_7,proposer_14,151146279.33387113,164862000,33609480
592,builder_16,proposer_4,44521826.65606719,50863000,27127790
593,builder_19,proposer_16,114711442.53262842,125568000,6973840
594,builder_1,proposer_13,115713027.95355664,126286000,5886060
595,builder_11,proposer_18,60863740.524592474,66321000,36511310
596,builder_4,proposer_3,171057096.92050725,187259000,9662770
597,builder_13,proposer_9,104612694.78002666,115025000,12500180
598,builder_0,proposer_19,129942560.96736322,141742000,75549720
599,builder_16,proposer_17,209168856.99336308,228085000,25439820
600,builder_4,proposer_19,131072747.51429605,142815000,40346060
601,builder_12,proposer_15,91414564.62287691,100104000,32695990
602,builder_9,proposer_4,155124826.95431304,169568000,30568140
603,builder_9,proposer_12,105118016.29083125,116206000,5580180
604,builder_16,proposer_13,88226185.8982147,97521000,4415430
605,builder_7,proposer_1,174742425.34325397,190412000,11744080
606,builder_1,proposer_2,139520426.66530192,153907000,22450810
607,builder_14,proposer_6,125551081.29801375,159502000,19712890
608,builder_14,proposer_11,137241359.80779755,149947000,27950310
609,builder_8,proposer_19,64509363.172021374,70497000,15031070
610,builder_16,proposer_14,134989864.4836621,164254000,3921200
611,builder_5,proposer_0,76973466.00225195,84346000,35287760
612,builder_14,proposer_11,89125681.13801475,97791000,27256530
613,builder_8,proposer_5,120164134.65212663,130975000,6121750
614,builder_9,proposer_2,96485152.34163208,105170000,32145070
615,builder_14,proposer_3,142883318.11858428,155803000,25050500
616,builder_10,proposer_11,40818608.089258105,44552000,7072260
617,builder_17,proposer_9,103770304.59013145,113616000,21725890
618,builder_14,proposer_17,47266181.46027615,51598000,23957730
619,builder_7,proposer_14,151146279.33387113,164862000,33609480
620,builder_16,proposer_4,44521826.65606719,50863000,27127790
621,builder_19,proposer_16,114711442.53262842,125568000,6973840
622,builder_1,proposer_13,115713027.95355664,126286000,5886060
623,builder_11,proposer_18,60863740.524592474,66321000,36511310
624,builder_4,proposer_3,171057096.92050725,187259000,9662770
625,builder_13,proposer_9,104612694.78002666,115025000,12500180
626,builder_0,proposer_19,129942560.96736322,141742000,75549720
627,builder_16,proposer_17,209168856.99336308,228085000,25439820
628,builder_4,proposer_19,131072747.51429605,142815000,40346060
629,builder_12,proposer_15,91414564.62287691,100104000,32695990
630,builder_9,proposer_4,155124826.95431304,169568000,30568140
631,builder_9,proposer_12,105118016.29083125,116206000,5580180
632,builder_16,proposer_13,88226185.8982147,97521000,4415430
633,builder_7,proposer_1,174742425.34325397,190412000,11744080
634,builder_1,proposer_2,139520426.66530192,153907000,22450810
635,builder_14,proposer_6,125551081.29801375,159502000,19712890
636,builder_14,proposer_11,137241359.80779755,149947000,27950310
637,builder_8,proposer_19,64509363.172021374,70497000,15031070
638,builder_16,proposer_14,134989864.4836621,164254000,3921200
639,builder_5,proposer_0,76973466.00225195,84346000,35287760
640,builder_14,proposer_11,89125681.13801475,97791000,27256530
641,builder_8,proposer_5,120164134.65212663,130975000,6121750
642,builder_9,proposer_2,96485152.34163208,105170000,32145070
643,builder_14,proposer_3,142883318.11858428,155803000,25050500
644,builder_0,proposer_3,135109090.3292619,147509000,3717120
645,builder_11,proposer_5,72247676.89298023,86788000,34344530
646,builder_9,proposer_13,72964636.86230996,79821000,27673770
647,builder_1,proposer_17,72989555.98460832,84409000,27277690
648,builder_0,proposer_7,136624623.91230047,149075000,15031800
649,builder_2,proposer_11,98956300.24277738,107822000,6946800
650,builder_4,proposer_13,76977268.24438661,84002000,14715640
651,builder_3,proposer_11,203640690.90373427,222463000,24237800
652,builder_18,proposer_0,90703774.28965208,99557000,6709550
653,builder_6,proposer_18,98163605.83268231,107372000,24078810
654,builder_18,proposer_0,106209664.18525337,128259000,20700150
655,builder_14,proposer_5,94730770.27936664,103578000,23942130
656,builder_12,proposer_15,28689427.435049485,31256000,10255330
657,builder_4,proposer_7,71678444.18850654,78310000,24844880
658,builder_1,proposer_8,70057078.56705992,76460000,22628530
659,builder_12,proposer_5,118535144.95016013,129127000,16830340
660,builder_5,proposer_17,98631658.61419055,107775000,7467580
661,builder_18,proposer_9,68052626.66577047,74309000,33902680
662,builder_6,proposer_6,72888607.96816814,85662000,21077070
663,builder_18,proposer_17,113287713.824543,124361000,11372670
664,builder_7,proposer_3,92859980.1948754,101566000,3008510
665,builder_18,proposer_16,81391601.9413101,93266000,27257460
666,builder_1,proposer_17,89827196.06494895,98338000,8463730
667,builder_11,proposer_10,62150364.61235536,68018000,11320720
