block_id,total_gas,total_mev_captured,block_bid,validator_type
1,0,0,,normal
2,435000,0,,normal
3,20818000,0,,normal
4,26660000,356000,,attack
5,16905000,307300,,normal
6,26255000,12800,,normal
7,20082000,21580,,normal
8,49088000,838220,,attack
9,21312000,139300,,normal
10,22465000,84700,,normal
11,25070000,125300,,normal
12,23484000,76800,,normal
13,22409000,269000,,normal
14,26661000,70200,,attack
15,26000000,0,,normal
16,19504000,99400,,attack
17,28651000,0,,normal
18,31008000,85130,,normal
19,32705000,102600,,attack
20,23755000,1020000,,attack
21,19894000,198230,,normal
22,23643000,202200,,normal
23,21350000,84500,,normal
24,33087000,120200,,normal
25,18128000,40600,,attack
26,28767000,228800,,attack
27,19615000,381000,,normal
28,43548000,98200,,attack
29,21957000,21800,,normal
30,17304000,39500,,attack
31,26325000,0,,normal
32,53280000,181900,,attack
33,26272000,0,,attack
34,26355000,60700,,normal
35,31075000,66600,,attack
36,32480000,417000,,normal
37,34777000,158700,,normal
38,23260000,66600,,attack
39,23385000,660900,,normal
40,18248000,510000,,normal
41,21680000,170390,,normal
42,26725000,78280,,normal
43,33663000,959000,,normal
44,30296000,7236500,,normal
45,30040000,164500,,normal
46,16985000,176500,,attack
47,47135000,0,,normal
48,43765000,33600,,normal
49,27657000,253900,,normal
50,20153000,411200,,attack
