block_id,total_gas,total_mev_captured,validator_type,validator_id
1,25054000,13900,attack,2212
2,63220000,278700,normal,2240
3,13975000,0,normal,2228
4,28275000,84800,normal,2243
5,57440000,401200,attack,2213
6,43582000,67900,normal,2248
7,9477000,17480,normal,2228
8,62430000,256000,attack,2204
9,15470000,100000,normal,2226
10,46759000,510000,normal,2249
11,12248000,107400,normal,2216
12,9352000,71730,attack,2212
13,7460000,139000,normal,2234
14,35900000,68100,normal,2236
15,36200000,71300,normal,2248
16,40507000,795100,normal,2224
17,68930000,1093430,attack,2201
18,59058000,33100,attack,2208
19,38410000,286200,normal,2236
20,12267000,73100,normal,2240
21,87179000,35100,attack,2201
22,39630000,11200,normal,2246
23,6908000,0,normal,2239
24,22789000,105000,attack,2211
25,36680000,49100,attack,2205
26,10300000,116200,attack,2207
27,15074000,921180,attack,2206
28,7925000,0,normal,2226
29,40558000,108000,attack,2202
30,24297000,69800,normal,2221
31,16790000,59300,normal,2216
32,64810000,42000,normal,2247
33,42180000,0,normal,2247
34,20492000,410000,normal,2240
35,12330000,0,attack,2209
36,6822000,973700,normal,2240
37,10000000,17700000,attack,2204
38,31950000,510000,attack,2201
39,22560000,4616000,normal,2226
40,12837000,0,normal,2216
41,15663000,259130,attack,2215
42,8124000,71800,normal,2234
43,56043000,16400,attack,2205
44,9020000,0,normal,2227
45,16683000,0,normal,2218
46,8300000,56200,normal,2243
47,17105000,49100,normal,2227
48,15297000,971800,attack,2212
49,33730000,0,attack,2210
50,15590000,0,normal,2239
