block_id,total_gas,total_mev_captured,block_bid,builder_type,builder_id
1,1132230000,37011280,4279241374.2269745,attack,152
2,944050000,46985900,7877191535.643245,attack,157
3,956400000,61671440,11698199739.20232,attack,172
4,965082000,54616400,15775797915.132256,attack,153
5,1083600000,61199880,20029093222.348484,attack,170
6,1022412000,32916900,24176523695.36542,attack,175
7,845940000,55060800,28579691131.87822,attack,170
8,1268200000,37168900,33114110381.70547,attack,172
9,1249000000,1045600,38376155821.27727,attack,169
10,832800000,54537200,41829738506.39274,attack,174
11,1122000000,530840,46929203205.28299,attack,162
12,1093500000,36932780,51372349731.91528,attack,166
13,1345000000,846200,56188445128.79093,attack,167
14,1298000000,1128500,63077950603.74004,attack,153
15,1219900000,36481000,67460553511.07695,attack,172
16,1090000000,8949000,71516025129.17358,attack,168
17,1164700000,36016600,77682227470.58331,attack,159
18,1308000000,1130160,83712421212.7769,attack,174
19,1111900000,55404900,87649646635.9352,attack,173
20,1100720000,53258540,93782487217.66821,attack,180
21,1345000000,1348300,100267450658.25319,attack,175
22,1105500000,18617100,106786290884.16666,attack,156
23,949810000,89136900,109161332456.91733,attack,170
24,1211000000,872640,119390771338.82552,attack,166
25,1144200000,53352400,122233600901.13358,attack,164
26,1011640000,89272800,129660693732.62785,attack,168
27,1149600000,38472500,136756807443.6415,attack,152
28,1027220000,38218600,142356564923.0522,attack,151
29,1022430000,107110600,149956696786.61774,attack,168
30,1104700000,58216240,158571663675.5093,attack,158
31,1137560000,106392100,163187150425.8865,attack,164
32,1120200000,19005400,171834566831.62994,attack,169
33,816620000,124137400,177831435953.32922,attack,169
34,1284000000,1436200,180408588650.23062,attack,160
35,1250600000,18444700,192003168116.502,attack,162
36,1292000000,8719300,200821037679.5626,attack,180
37,1208000000,639570,207767475094.84598,attack,177
38,1210000000,651690,215702481279.63785,attack,160
39,1085000000,18315160,221816085894.62866,attack,152
40,843330000,89915900,232245280291.682,attack,163
41,797730000,142153300,237936129249.95038,attack,172
42,1066830000,67795700,247206347469.4478,attack,165
43,1276500000,36078190,251585774693.31424,attack,177
44,1073573000,48536800,264090266387.46634,attack,175
45,774320000,136057300,272485943750.85092,attack,176
46,654520000,128378900,278340035027.1893,attack,163
47,1057050000,25530580,284976587653.3518,attack,169
48,1318900000,18074300,297359362667.4041,attack,173
49,1185000000,35710090,305591503269.3171,attack,168
50,1188000000,18998640,315153809126.91095,attack,151
