block_id,total_gas,total_mev_captured,block_bid,builder_type
1,1545700241,37725000,844031638.8034039,attack
2,2112201360,3675000,1168040102.133678,attack
3,2137002536,3675000,1211219597.4481542,attack
4,2113303712,3675000,1214282897.6842067,attack
5,2113304888,3675000,1235008502.9775918,attack
6,2126006064,3675000,1268019926.4792075,attack
7,2134007240,3675000,1307833328.453477,attack
8,2137008416,3960000,1343373112.4987445,attack
9,2126009592,3675000,1346620090.289224,attack
10,2134010768,3675000,1383523536.013712,attack
11,2126011944,3675000,1403920300.718713,attack
12,2126013120,3675000,1435355260.7542121,attack
13,2150014296,3675000,1487724132.521112,attack
14,2150015472,3675000,1547316685.6351743,attack
15,2134016648,3675000,1550695715.1739128,attack
16,2134017824,3675000,1562363386.8084133,attack
17,2126019000,3675000,1579263913.4564583,attack
18,2107118176,21375000,1597244900.3485637,attack
19,2137021352,3675000,1632131219.8246555,attack
20,2137022528,3675000,1662335764.7069197,attack
21,2113323704,3759800,1665799374.6874733,attack
22,2137024880,3688900,1707294614.5914712,attack
23,2150026056,3675000,1746559928.8558803,attack
24,2137027232,3675000,1761772909.315565,attack
25,2113328408,3675000,1771372856.2424133,attack
26,2137029584,3675000,1820539052.3545024,attack
27,2134030760,3675000,1856813614.326522,attack
28,2113331936,3675000,1873855556.295846,attack
29,2134033112,4185000,1946767309.3244193,attack
30,2137034288,3675000,1989799112.8229632,attack
31,2137035464,3675000,2023847024.5561957,attack
32,2137036640,3688800,2072545286.8257234,attack
33,2137037816,3675000,2078158440.904755,attack
34,2134038992,3718600,2091250340.8700957,attack
35,2137040168,3675000,2129688318.2456725,attack
36,2126041344,3675000,2153164845.3521748,attack
37,2134042520,3675000,2229322170.4225273,attack
38,2150043696,3675000,2300604014.244788,attack
39,2134044872,3675000,2320978869.097515,attack
40,2134046048,3675000,2338344269.9852815,attack
41,2134047224,3675000,2368106391.8638515,attack
42,2126048400,3675000,2389526092.7037597,attack
43,2126049576,3675000,2425449233.234058,attack
44,2134050752,3675000,2494524356.3824563,attack
45,2126051928,3675000,2524605772.2212377,attack
46,2150053104,3675000,2596817612.158032,attack
47,2126054280,3675000,2601305252.655858,attack
48,2150055456,3675000,2682795458.7832217,attack
49,2134056632,3675000,2692809101.0128884,attack
50,2150057808,3675000,2828111277.521055,attack
51,2150058984,3675000,2834582513.359109,attack
52,2137060160,3675000,2872848102.468338,attack
53,2134061336,3890000,2905819614.3070717,attack
54,2150062512,3675000,2996528826.9660163,attack
55,2137063688,3775000,3035590740.043128,attack
56,2134064864,3675000,3065658458.517872,attack
57,2126066040,3675000,3112375401.0231223,attack
58,2150067216,3675000,3188681314.158823,attack
59,2150068392,3675000,3259518225.489783,attack
60,2137069568,3675000,3268537545.559273,attack
61,2134070744,3675000,3302317052.576834,attack
62,2126071920,3675000,3334842102.121999,attack
63,2137073096,3675000,3424196282.1840563,attack
64,2150074272,3675000,3499188690.024023,attack
65,2150075448,3675000,3587515031.3300867,attack
66,2134076624,3675000,3608592249.596863,attack
67,2134077800,3675000,3652754946.7672315,attack
68,2134078976,3675000,3731964477.9760957,attack
69,2134080152,3675000,3755263091.358268,attack
70,2126081328,3687800,3778290217.476986,attack
71,2126082504,3675000,3808933481.70132,attack
72,2150083680,3675000,3888732740.5307674,attack
73,2150084856,3675000,3973446473.638242,attack
74,2134086032,3675000,4033082584.907837,attack
75,2126087208,3675000,4055742631.0848,attack
76,2126088384,3675000,4106302969.6818237,attack
77,2150089560,3675000,4207331094.589583,attack
78,2137090736,3675000,4214985451.246375,attack
79,2137091912,3675000,4304382776.733451,attack
80,2126093088,3675000,4329695523.9556055,attack
81,2126094264,3675000,4342414268.0,attack
82,2134095440,3739600,4370210020.0,attack
83,2134096616,3675000,4420601272.0,attack
84,2134097792,3675000,4449007024.0,attack
85,2134098968,3675000,4453205276.0,attack
86,2126100144,3675000,4450614428.0,attack
87,2134101320,3711800,4484614780.0,attack
88,2126102496,3675000,4492811132.0,attack
89,2134103672,3675000,4523074884.0,attack
90,2150104848,3675000,4565751236.0,attack
91,2137106024,3675000,4565398788.0,attack
92,2137107200,3675000,4604046940.0,attack
93,2150108376,3675000,4636994492.0,attack
94,2137109552,3675000,4670346344.0,attack
95,2150110728,3689200,4753730796.0,attack
96,2134111904,3675000,4787608388.0,attack
97,2150113080,3675000,4820234170.0,attack
98,2150114256,3675000,4871626652.0,attack
99,2150113065,4166000,4895788804.0,attack
100,2134116608,3739600,4899674556.0,attack
