block_id,total_gas,total_mev_captured,validator_type,validator_id
1,28975000,18886800,normal,5549
2,66120000,1016000,normal,5536
3,35750000,210100,normal,5509
4,23914000,392700,normal,5520
5,41706000,11526400,normal,5541
6,49139000,47700,normal,5522
7,34375000,127600,normal,5528
8,74671000,120100,normal,5534
9,62905000,18812600,normal,5506
10,45669000,1208000,normal,5527
11,51085000,17000,normal,5533
12,32942000,0,normal,5549
13,48070000,505600,normal,5511
14,24515000,512000,attack,5505
15,88979000,21580,normal,5541
16,51750000,193500,normal,5524
17,129984000,123700,normal,5536
18,73323000,1296000,normal,5550
19,26513000,445400,normal,5535
20,79530000,460200,normal,5525
21,65732000,84800,normal,5509
22,96791000,1059700,normal,5528
23,54152000,102890,normal,5534
24,21733000,1884420,normal,5514
25,136795000,754700,attack,5504
26,42370000,8353000,normal,5530
27,74793000,103300,normal,5510
28,68888000,173600,normal,5520
29,38890000,249400,normal,5531
30,56617000,0,normal,5527
31,107109000,5630,normal,5527
32,21618000,11200,normal,5513
33,68550000,172700,normal,5517
34,127090000,493700,attack,5505
35,86764000,21400,attack,5504
36,20142000,1221130,normal,5548
37,63545000,132500,normal,5506
38,64222000,1928300,normal,5537
39,62460000,251700,normal,5518
40,44350000,763520,normal,5527
41,48193000,176800,normal,5530
42,51962000,381900,attack,5504
43,39752000,106700,normal,5506
44,35884000,81550,normal,5518
45,55658000,175790,normal,5512
46,40137000,447000,normal,5539
47,34464000,469100,normal,5543
48,42385000,4490600,normal,5537
49,81247000,68100,normal,5512
50,81157000,141900,normal,5546
