block_id,total_gas,total_mev_captured,block_bid,validator_type
1,0,0,,normal
2,19480000,69600,,attack
3,28326000,835100,,attack
4,28220000,762000,,attack
5,17724000,292000,,attack
6,65029000,47000,,attack
7,35970000,146200,,attack
8,23053000,2329800,,attack
9,17197000,271100,,normal
10,16601000,2284800,,attack
11,15095000,2066400,,attack
12,64373000,818380,,attack
13,20734000,8640000,,attack
14,32553000,2177500,,attack
15,74179000,2530000,,attack
16,20147000,0,,attack
17,25038000,161980,,attack
18,36079000,648400,,attack
19,26276000,63300,,attack
20,23175000,430000,,attack
21,16079000,1167100,,attack
22,19799000,2266100,,attack
23,24505000,29800,,normal
24,60389000,2344400,,attack
25,22070000,69400,,attack
26,34264000,566000,,attack
27,46932000,390800,,attack
28,30564000,361900,,attack
29,20293000,67900,,normal
30,28555000,1581500,,attack
31,22239000,160100,,attack
32,62323000,877630,,attack
33,17489000,231000,,normal
34,25647000,478900,,attack
35,22332000,618260,,attack
36,21920000,144630,,attack
37,28364000,122500,,attack
38,39922000,346400,,attack
39,26690000,1471000,,attack
40,21541000,32800,,attack
41,66672000,704490,,attack
42,51393000,1110360,,attack
43,31740000,8932700,,attack
44,23644000,8909020,,attack
45,14037000,84000,,attack
46,63622000,8814800,,attack
47,15921000,74420,,attack
48,25282000,1098500,,attack
49,13940000,8672690,,attack
50,66323000,939000,,attack
51,27272000,493200,,attack
52,31700000,9423150,,attack
53,26246000,392800,,attack
54,36107000,310600,,attack
55,44557000,156240,,attack
56,20224000,689020,,attack
57,19130000,1188000,,attack
58,21344000,211200,,normal
59,24921000,740800,,attack
60,20332000,1287300,,attack
61,12049000,812600,,attack
62,47612000,204700,,attack
63,36032000,405400,,attack
64,65339000,729900,,attack
65,53140000,249100,,attack
66,29215000,154800,,attack
67,16579000,433130,,attack
68,58117000,31380,,attack
69,29110000,1045700,,attack
70,21437000,0,,attack
71,22817000,84000,,attack
72,63752000,29880,,attack
73,16246000,27800,,attack
74,46286000,637800,,attack
75,26207000,1188000,,attack
76,16663000,2200000,,attack
77,55045000,30200,,attack
78,39289000,390000,,attack
79,24761000,136200,,attack
80,25553000,687000,,attack
81,25628000,28400,,attack
82,75478000,1680500,,attack
83,75015000,188080,,attack
84,23329000,45300,,normal
85,29431000,168500,,attack
86,12719000,37200,,attack
87,89059000,129200,,attack
88,21347000,288000,,attack
89,48865000,1953600,,attack
90,25000000,577120,,attack
91,73997000,528300,,attack
92,23448000,646800,,attack
93,48369000,1133430,,attack
94,27923000,410640,,attack
95,49735000,220600,,attack
96,51518000,0,,normal
97,14008000,7832600,,normal
98,32108000,93600,,attack
99,21987000,640190,,normal
100,43305000,449500,,normal
