block_id,total_gas,total_mev_captured,validator_type,validator_id
1,1077120000,72515740,normal,86
2,989910000,71686640,attack,81
3,994840000,64044320,normal,89
4,892299000,61953780,attack,58
5,960260000,67758980,attack,78
6,896610000,65531900,attack,85
7,970010000,36263300,attack,64
8,1133390000,35929300,attack,58
9,1139570000,53546700,attack,70
10,1180930000,93388200,normal,97
11,1210080000,24762400,normal,90
12,1131460000,18397920,attack,67
13,1101643000,45784780,normal,96
14,1105454000,37766530,normal,94
15,1159000000,1768740,attack,78
16,1193500000,18016020,attack,70
17,1112800000,53912400,attack,65
18,1305290000,53445400,normal,96
19,691119000,133819100,attack,77
20,1243000000,18744090,attack,57
21,1103240000,71462200,attack,60
22,1018137000,76232700,attack,85
23,1026100000,41720200,attack,67
24,1125000000,938780,attack,52
25,947180000,106510030,attack,64
26,1092000000,2314800,attack,85
27,963620000,89940330,attack,59
28,985342000,54402390,attack,56
29,1082147000,43856630,attack,85
30,1442060000,61890180,normal,96
31,1135870000,53547300,attack,53
32,1183998000,77618630,normal,88
33,1077900000,36557600,attack,59
34,1093000000,6458300,attack,58
35,1045570000,53623730,attack,81
36,871640000,76185700,attack,82
37,915300000,71662600,attack,51
38,1096100000,40674100,attack,52
39,1053683000,36952320,attack,54
40,1143277000,39548200,attack,63
41,1095200000,18457970,attack,82
42,903320000,58454200,attack,69
43,1104020000,141270100,normal,87
44,1062200000,41170200,attack,59
45,931750000,51675000,attack,85
46,882039000,72219040,attack,73
47,1143350000,25411360,attack,53
48,982060000,64828640,attack,72
49,1132060000,106258700,normal,87
50,824150000,78687100,attack,73
