block_id,total_gas,total_mev_captured,block_bid,validator_type
1,464000,0,,normal
2,18665000,305900,,normal
3,28482000,1625100,,normal
4,18228000,1160200,,normal
5,20345000,18600,,normal
6,28395000,206500,,normal
7,24711000,594000,,normal
8,21270000,530250,,normal
9,18644000,46730,,normal
10,35783000,1459500,,normal
11,19686000,12800,,normal
12,34282000,485500,,normal
13,17616000,45600,,normal
14,26954000,0,,normal
15,29644000,0,,normal
16,20776000,0,,normal
17,36655000,271900,,attack
18,28360000,410000,,normal
19,22765000,1190000,,normal
20,28147000,0,,normal
21,15753000,267800,,normal
22,21033000,97800,,normal
23,27126000,424000,,normal
24,16079000,150400,,normal
25,23420000,1145400,,normal
26,29586000,459000,,normal
27,36607000,30200,,normal
28,31382000,231700,,normal
29,18133000,812980,,normal
30,19782000,66200,,normal
31,27473000,132900,,normal
32,17949000,49100,,normal
33,15409000,509800,,normal
34,26339000,161000,,normal
35,28862000,57490,,normal
36,21419000,27700,,normal
37,30092000,17700000,,normal
38,31410000,309900,,normal
39,20218000,42000,,normal
40,26539000,424200,,normal
41,23958000,427700,,normal
42,31849000,32900,,normal
43,42763000,0,,normal
44,20634000,0,,normal
45,21570000,1227800,,normal
46,25673000,60700,,normal
47,23590000,243800,,normal
48,27774000,0,,normal
49,29119000,1155490,,normal
50,19879000,15100,,normal
51,23917000,791800,,normal
52,15567000,18427800,,normal
53,24712000,295400,,normal
54,40177000,789700,,normal
55,32858000,68700,,normal
56,19790000,71800,,normal
57,31674000,4535000,,normal
58,8263000,215000,,normal
59,20694000,7248930,,normal
60,25043000,59000,,normal
61,25977000,1241000,,attack
62,31550000,4352900,,normal
63,34937000,181000,,normal
64,23491000,121700,,normal
65,69384000,121800,,normal
66,35847000,703200,,normal
67,18862000,15700,,normal
68,29645000,84800,,normal
69,21650000,280240,,normal
70,21487000,0,,attack
71,21292000,214520,,normal
72,22937000,7507100,,normal
73,53985000,4605000,,normal
74,47204000,43600,,normal
75,18813000,332400,,normal
76,39762000,30200,,normal
77,17607000,285000,,normal
78,18105000,647530,,normal
79,57993000,287500,,normal
80,23015000,38280,,normal
81,28536000,554900,,normal
82,18249000,1481000,,normal
83,23444000,10700,,normal
84,28231000,173600,,normal
85,29863000,1334100,,normal
86,24093000,315000,,normal
87,25785000,177400,,normal
88,30623000,4609000,,normal
89,21971000,291600,,normal
90,25703000,972200,,normal
91,12601000,45400,,normal
92,38458000,189000,,normal
93,15554000,4392400,,normal
94,44676000,1674700,,normal
95,70341000,28100,,normal
96,49869000,21640,,normal
97,16619000,5630,,normal
98,51338000,53330,,normal
99,23771000,107000,,normal
100,20017000,86000,,normal
