block_id,total_gas,total_mev_captured,block_bid,builder_type,builder_id
1,76720000,233400,46840230.594919264,attack,5301
2,137660001,711200,75624707.23478176,attack,5304
3,23062000,492500,20149456.32422796,attack,5324
4,53624000,6260,48627130.0,attack,5308
5,50587000,1208280,32201280.0,attack,5302
6,84077000,80800,41139200.0,attack,5319
7,62810000,102600,57887900.0,attack,5314
8,164794001,4650200,126411100.0,attack,5307
9,43463000,258400,38489700.0,attack,5319
10,54500000,1687800,53108800.0,attack,5301
11,29174000,645000,25158000.0,attack,5309
12,52897000,687800,50365100.0,attack,5302
13,118049000,2013700,76552700.0,attack,5307
14,26615000,518200,26252200.0,attack,5318
15,128908000,1250800,110613800.0,attack,5310
16,36405000,579000,30545000.0,attack,5319
17,21694000,324500,19372000.0,attack,5301
18,121672000,253600,78883600.0,attack,5311
19,70674000,8680740,72734740.0,attack,5306
20,24837000,186700,25023700.0,normal,5330
21,64249000,1274800,65523800.0,normal,5338
22,69737000,63400,67268700.0,attack,5301
23,38954000,2144700,41098700.0,normal,5343
24,48622000,436390,46843390.0,attack,5303
25,32744000,1524000,34268000.0,normal,5344
26,21499000,357700,20101700.0,attack,5315
27,38824000,802500,39626500.0,normal,5350
28,49535000,0,49535000.0,attack,5322
29,66849000,16400,66865400.0,normal,5329
30,49577000,326400,47348400.0,attack,5313
31,20724000,0,20724000.0,normal,5326
32,42154000,78900,42232900.0,normal,5336
33,116628000,570000,73913000.0,attack,5324
34,35483000,248000,35731000.0,normal,5336
35,17743000,675700,18418700.0,normal,5346
36,20020000,559100,20579100.0,normal,5337
37,33345000,25703700,59048700.0,normal,5349
38,54809000,15100,54824100.0,normal,5328
39,124970000,218300,125188300.0,normal,5328
40,60264000,66100,60330100.0,normal,5345
41,28107000,492000,27785000.0,attack,5322
42,53198000,1322300,54520300.0,normal,5335
43,90499000,984330,89973330.0,attack,5310
44,63642000,2246100,58688100.0,attack,5325
45,38737000,278000,33676000.0,attack,5316
46,26047000,30600,25062300.0,attack,5323
47,27648000,1092340,22420640.0,attack,5301
48,53925000,7402940,61327940.0,normal,5327
49,64673000,95760,64768760.0,normal,5338
50,18807000,290840,19097840.0,normal,5349
