block_id,total_gas,total_mev_captured,block_bid,validator_type
1,50928000,1034200,,attack
2,24754000,313200,,normal
3,16570000,0,,normal
4,39829000,165200,,normal
5,20597000,607500,,normal
6,29633000,44500,,normal
7,16131000,215000,,normal
8,15362000,290600,,normal
9,15189000,258600,,normal
10,20961000,583700,,normal
11,30936000,1550800,,attack
12,14038000,68100,,normal
13,13991000,262390,,normal
14,26488000,0,,attack
15,26650000,533500,,normal
16,22254000,2476500,,normal
17,29614000,1075100,,normal
18,15143000,298500,,normal
19,22612000,105300,,attack
20,25252000,32400,,normal
21,23774000,350000,,normal
22,14452000,580680,,attack
23,33342000,30800,,normal
24,16850000,62840,,normal
25,25748000,16400,,normal
26,31983000,0,,normal
27,89391000,517800,,attack
28,21853000,571630,,attack
29,29249000,67600,,attack
30,60179000,2050000,,attack
31,20904000,216900,,normal
32,25610000,266900,,normal
33,37112000,103800,,normal
34,13963000,133900,,attack
35,27417000,325430,,normal
36,17489000,352100,,normal
37,23264000,645200,,normal
38,29449000,772200,,normal
39,23602000,0,,normal
40,32060000,653700,,normal
41,27208000,93000,,normal
42,18028000,0,,normal
43,27590000,566800,,normal
44,24480000,543100,,normal
45,29229000,32900,,normal
46,17464000,663900,,attack
47,20325000,837100,,normal
48,20216000,8962000,,attack
49,31660000,789600,,normal
50,24733000,1640130,,normal
51,28393000,31730,,normal
52,17547000,13800,,normal
53,53551000,188200,,attack
54,19252000,806400,,normal
55,23022000,63300,,attack
56,32586000,112600,,attack
57,31633000,37200,,attack
58,13290000,38090,,normal
59,25595000,30600,,attack
60,33335000,1271100,,attack
61,23415000,566000,,attack
62,24790000,0,,normal
63,21380000,273280,,normal
64,22374000,11200,,normal
65,30073000,156800,,attack
66,51676000,311230,,attack
67,21620000,167400,,normal
68,20483000,16400,,normal
69,38559000,49500,,normal
70,31390000,390800,,normal
71,21028000,60400,,attack
72,29593000,997500,,normal
73,22225000,1929820,,normal
74,46575000,18430,,normal
75,75994000,286000,,attack
76,31949000,746700,,normal
77,14567000,424600,,normal
78,25276000,85500,,normal
79,28620000,144900,,normal
80,28380000,27800,,attack
81,26607000,1217800,,normal
82,36025000,8520,,normal
83,31040000,268700,,normal
84,35581000,80130,,normal
85,41735000,0,,normal
86,19578000,195000,,normal
87,24864000,57700,,normal
88,26905000,0,,normal
89,30274000,52400,,normal
90,30173000,88800,,normal
91,31152000,117500,,attack
92,43767000,60700,,normal
93,20517000,0,,normal
94,18699000,1944700,,normal
95,26165000,662140,,normal
96,19351000,56200,,normal
97,32885000,218800,,normal
98,20038000,283000,,normal
99,17527000,545000,,normal
100,25487000,1100000,,normal
