block_id,total_gas,total_mev_captured,validator_type,validator_id
1,37313000,1112700,normal,4709
2,55038000,210020,normal,4706
3,49017000,370200,normal,4716
4,34940000,55540,normal,4743
5,109962000,853100,normal,4710
6,69820000,1980800,normal,4740
7,28057000,199800,normal,4716
8,95450000,119500,normal,4743
9,23256000,84800,normal,4717
10,18417000,7341320,normal,4735
11,60309000,33300,normal,4746
12,43851000,179700,normal,4741
13,100404000,31400,normal,4724
14,119306000,21800,normal,4750
15,75977000,215000,normal,4735
16,57840000,118600,normal,4744
17,23938000,108000,normal,4730
18,27401000,647500,normal,4741
19,64230000,45320,normal,4723
20,85350000,415200,normal,4708
21,38574000,476630,normal,4733
22,21667000,0,normal,4702
23,135383000,64600,normal,4750
24,31536000,248400,normal,4743
25,24055000,1101200,normal,4739
26,60281000,177020,normal,4708
27,105922000,33100,normal,4727
28,40467000,66000,normal,4732
29,28946000,389130,normal,4708
30,46583000,0,normal,4733
31,40301000,0,normal,4741
32,45142000,145500,normal,4743
33,43943000,296500,normal,4729
34,18033000,69230,normal,4719
35,51745000,49700,normal,4703
36,49982000,432500,normal,4725
37,79294000,283600,normal,4732
38,74613000,752700,normal,4741
39,32797000,103900,normal,4712
40,27289000,0,normal,4733
41,58079000,47500,normal,4711
42,39703000,0,normal,4738
43,66808000,90100,normal,4740
44,31265000,77700,normal,4738
45,52819000,56220,normal,4708
46,88529000,655200,normal,4749
47,23997000,7236500,normal,4735
48,23362000,634500,normal,4704
49,34573000,91720,normal,4748
50,13137000,0,normal,4740
