block_id,total_gas,total_mev_captured,validator_type,validator_id
1,1220760000,35763280,normal,88
2,955200000,30338900,normal,65
3,1270465000,80851290,normal,70
4,1135000000,88935110,normal,57
5,1284960000,48907200,normal,98
6,1202000000,4360040,attack,55
7,1150280000,175885090,normal,75
8,1157160000,36010700,attack,54
9,946674000,111249730,normal,87
10,1272000000,6020000,attack,54
11,1204004000,104844800,normal,77
12,1131223000,28115290,normal,75
13,916240000,55471200,normal,76
14,1059550000,68442000,normal,85
15,1100810000,22983520,normal,97
16,1096660000,86725900,normal,70
17,929639000,82821600,normal,100
18,1251350000,39983700,normal,68
19,1123050000,43928250,normal,65
20,1387532000,59583990,normal,63
21,1314000000,1270390,attack,55
22,1246508000,94004920,normal,89
23,1003750000,41422080,attack,52
24,990882000,167984700,normal,72
25,1014930000,68942800,normal,71
26,1205807000,72415740,normal,58
27,1152660000,91138700,normal,83
28,844350000,59076930,attack,53
29,1028660000,18118200,normal,78
30,1306792000,50596000,normal,62
31,1198510000,34158130,normal,80
32,1390850000,104360000,normal,70
33,1017270000,33792940,normal,72
34,1076580000,50502460,normal,57
35,1227350000,83867020,normal,92
36,1140583000,109000170,normal,86
37,980460000,61902640,normal,60
38,1421460000,55024080,normal,78
39,1207967000,77632900,normal,75
40,1173685000,38227780,normal,70
41,1268980000,71094030,normal,77
42,1105140000,78653700,normal,68
43,1175990000,34179080,normal,67
44,1173600000,10061700,normal,94
45,1069654000,76385830,normal,58
46,1000640000,97792420,normal,85
47,1127930000,76948000,normal,85
48,986520000,15169560,attack,52
49,1299450000,132001900,normal,98
50,1157900000,18023130,attack,55
