block_id,total_gas,total_mev_captured,validator_type,validator_id
1,74434000,915200,attack,2557
2,22196000,18830,normal,2594
3,53770000,28040,attack,2555
4,15915000,0,normal,2589
5,161045001,14947600,attack,2552
6,59018000,76840,normal,2585
7,55329000,69790,attack,2561
8,38777000,181800,attack,2555
9,13294000,51400,normal,2599
10,17123000,181100,normal,2589
11,104381000,115700,attack,2568
12,18883000,738420,normal,2585
13,55426000,566000,attack,2552
14,24037000,640100,normal,2586
15,79401000,310000,attack,2562
16,21381000,35600,normal,2585
17,83036000,17000,normal,2590
18,74613000,21400,attack,2573
19,72410000,322000,attack,2557
20,100009000,155000,normal,2594
21,46315000,8741000,attack,2572
22,43906000,0,normal,2594
23,32536000,538400,attack,2552
24,21846000,405900,normal,2599
25,81038000,0,normal,2587
26,117505001,17783200,attack,2578
27,98605000,1918000,attack,2576
28,26049000,627600,attack,2562
29,64606000,1188000,attack,2571
30,70329000,129380,attack,2575
31,45091000,424700,attack,2554
32,68828000,1135040,attack,2575
33,53879000,504900,attack,2562
34,64324000,1003760,attack,2559
35,46132000,756000,attack,2554
36,49187000,133600,normal,2581
37,67133000,15680,attack,2576
38,217622000,151200,normal,2595
39,107030000,200400,attack,2562
40,106684000,299400,attack,2564
41,42273000,15700,normal,2598
42,60080000,1366700,attack,2562
43,94400000,11260,attack,2576
44,43022000,13800,normal,2599
45,78348000,797500,normal,2595
46,98310000,1093640,attack,2559
47,26897000,173100,normal,2588
48,66807000,6260,attack,2577
49,46307000,5640,normal,2593
50,60593000,2234700,attack,2571
