block_id,total_gas,total_mev_captured,validator_type,validator_id
1,844293171,453100,normal,3289
2,989000713,453100,normal,3297
3,1032001332,472800,attack,3272
4,1032001908,472800,attack,3273
5,989002369,453100,normal,3288
6,989002921,453100,normal,3296
7,989003473,453100,normal,3287
8,1032004212,472800,attack,3267
9,989004577,453100,normal,3283
10,1032005364,472800,attack,3264
11,989005681,453100,normal,3291
12,1032006516,472800,attack,3259
13,989006785,453100,normal,3284
14,1032007668,472800,attack,3272
15,989007889,453100,normal,3280
16,1032008820,472800,attack,3255
17,1032009396,472800,attack,3255
18,1032009972,472800,attack,3266
19,989010097,453100,normal,3286
20,1032011100,472800,normal,3299
21,1032011676,472800,normal,3278
22,989011753,453100,normal,3282
23,1075013375,492500,attack,3274
24,1075013975,492500,attack,3260
25,989013409,453100,normal,3300
26,1075015175,492500,attack,3270
27,1075015775,492500,attack,3260
28,1075016375,492500,attack,3256
29,1032016308,472800,attack,3266
30,1032016860,472800,normal,3277
31,989016721,453100,normal,3276
32,1075018775,492500,attack,3253
33,989017825,453100,normal,3277
34,989018377,453100,normal,3289
35,1032019740,472800,normal,3300
36,989019481,453100,normal,3290
37,1075021775,492500,attack,3269
38,1032021468,472800,normal,3282
39,1075022975,492500,attack,3253
40,1032022620,472800,normal,3294
41,1032023220,472800,attack,3274
42,1032023796,472800,attack,3256
43,1075025375,492500,attack,3265
44,1032024924,472800,normal,3289
45,1032025500,472800,normal,3298
46,1032026076,472800,normal,3283
47,989025553,453100,normal,3278
48,1075028375,492500,attack,3272
49,1075028975,492500,attack,3251
50,1032028380,472800,normal,3279
