block_id,total_gas,total_mev_captured,validator_type,validator_id
1,15030000,18251390,normal,3463
2,35979000,594000,normal,3498
3,53032000,1361000,normal,3498
4,60172000,15300,normal,3480
5,54450000,176300,normal,3489
6,20620000,47700,attack,3455
7,10877000,24890000,normal,3457
8,61518000,52890,normal,3483
9,17470000,36700,normal,3469
10,45596000,8520,normal,3479
11,13630000,0,normal,3464
12,33007000,367800,normal,3471
13,42869000,19700,normal,3487
14,7317000,0,normal,3478
15,11807000,10700,normal,3499
16,40550000,0,normal,3478
17,7166000,0,normal,3498
18,59269000,1610800,normal,3488
19,37900000,355100,normal,3495
20,31468000,86900,normal,3481
21,38402000,769000,normal,3488
22,68980000,59840,normal,3461
23,55426000,70230,normal,3470
24,16350000,75800,normal,3497
25,14272000,150140,normal,3457
26,34739000,49800,normal,3487
27,59753000,17753330,normal,3463
28,39300000,8520,normal,3480
29,8073000,0,normal,3483
30,7925000,18600,normal,3484
31,25727000,466300,normal,3470
32,18980000,35100,normal,3456
33,40400000,0,normal,3459
34,58764000,670020,normal,3472
35,29112000,64600,normal,3475
36,37427000,61400,normal,3493
37,6275000,0,normal,3459
38,11747000,128000,normal,3480
39,34740000,13900,normal,3490
40,37960000,365300,normal,3494
41,4380000,0,normal,3476
42,6758000,31700,normal,3498
43,8950000,0,normal,3456
44,19290000,785600,normal,3457
45,19731000,0,normal,3466
46,4540000,58800,normal,3497
47,7113000,0,normal,3468
48,23800000,401900,normal,3496
49,7950000,0,normal,3473
50,13672000,0,attack,3454
