block_id,total_gas,total_mev_captured,validator_type,validator_id
1,1216120000,12056330,attack,105
2,1033187000,50575700,attack,129
3,1081232000,36868240,attack,114
4,1052000000,37648340,attack,106
5,1187710000,57930800,attack,113
6,1537000000,1981520,normal,149
7,1196880000,40537900,attack,137
8,1087900000,19524960,attack,127
9,1169370000,71784100,attack,112
10,1100982000,71726400,attack,119
11,1140000000,1344410,attack,118
12,1020370000,164358800,normal,143
13,984970000,51709300,attack,137
14,1066450000,44100330,attack,126
15,1184300000,18107700,attack,136
16,988380000,64754280,attack,136
17,826846000,134778660,normal,144
18,1111130000,33282740,attack,108
19,1100050000,48908000,attack,140
20,1192790000,43676400,normal,144
21,669320000,84678700,attack,124
22,1178100000,82571630,attack,106
23,941020000,20787300,attack,138
24,1149000000,2794000,attack,112
25,920900000,12796000,normal,150
26,1158600000,7953720,attack,112
27,1094700000,36457600,attack,124
28,1023260000,76335890,normal,146
29,1106700000,53813400,attack,113
30,1000233000,72245100,attack,129
31,1087728000,47504600,attack,121
32,909498000,85570300,normal,144
33,1092000000,949490,attack,112
34,1156000000,1018600,attack,122
35,1164000000,790530,attack,106
36,980480000,107183100,attack,115
37,886220000,125212700,attack,104
38,1208700000,18332140,attack,127
39,916767000,72847540,attack,135
40,1056850000,73061390,attack,119
41,1111330000,104593200,normal,149
42,1213470000,93388190,normal,146
43,811045000,59108000,attack,126
44,1392640000,46109040,normal,145
45,880595000,59314800,attack,125
46,1106500000,18118610,attack,123
47,1122270000,37160120,attack,112
48,988230000,68775600,attack,112
49,1029680000,44198940,attack,112
50,1182100000,7428230,attack,101
