block_id,total_gas,total_mev_captured,block_bid,builder_type
1,430000175,3690000,1375629373.5606055,attack
2,430000415,3690000,3527301837.0,attack
3,430000655,3690000,5234492430.0,attack
4,430000895,3690000,6952787299.0,attack
5,430001135,3690000,8693448464.0,attack
6,430001375,3690000,10421113565.0,attack
7,430001615,3690000,12199390102.0,attack
8,430001855,3690000,13908633875.0,attack
9,430002095,3690000,15715650884.0,attack
10,430002335,3690000,17432381329.0,attack
11,430002575,3690000,19142530840.0,attack
12,430002815,3690000,20863196557.0,attack
13,430003055,3690000,22593094710.0,attack
14,430003295,3690000,24303170399.0,attack
15,430003535,3690000,26017242704.0,attack
16,430003775,3690000,27775369965.0,attack
17,430004015,3690000,29481050662.0,attack
18,430004255,3690000,31240862895.0,attack
19,430004495,3690000,32986516064.0,attack
20,430004735,3690000,34721954699.0,attack
21,430004975,3690000,36437713640.0,attack
22,430005215,3690000,38142366717.0,attack
23,430005455,3690000,39882007630.0,attack
24,430005695,3690000,41601608579.0,attack
25,430005935,3690000,43308292764.0,attack
26,430006175,3690000,45059167585.0,attack
27,430006415,3690000,46773848242.0,attack
28,430006655,3690000,48498269535.0,attack
29,430006895,3690000,50214171464.0,attack
30,430007135,3690000,51941117859.0,attack
31,430007375,3690000,53642440360.0,attack
32,430007615,3690000,55344664197.0,attack
33,430007855,3690000,57120404170.0,attack
34,430006477,3714000,58892657179.0,attack
35,430008335,3690000,60611269831.0,attack
36,430008575,3690000,62346405012.0,attack
37,430008815,3690000,64071754129.0,attack
38,430009055,3690000,65818588522.0,attack
39,430009295,3690000,67602107111.0,attack
40,430009535,3690000,69331397036.0,attack
41,430009775,3690000,71057484597.0,attack
42,430010015,3690000,72774602794.0,attack
43,430010255,3690000,74535263227.0,attack
44,430010495,3690000,76375759096.0,attack
45,430010735,3690000,78094200831.0,attack
46,430010975,3690000,79838937372.0,attack
47,430011215,3690000,81566683579.0,attack
48,430011455,3690000,83284853792.0,attack
49,430011695,3690000,85073471341.0,attack
50,430011935,3690000,86818169126.0,attack
