block_id,total_gas,total_mev_captured,block_bid,builder_type,builder_id
1,1241783000,64272880,4349119395.0,normal,144
2,966050000,53848400,9444712055.0,normal,139
3,1140000000,5667800,15184610235.0,attack,104
4,1394000000,19128940,21430767085.0,attack,117
5,1260070000,65520170,27710420335.0,normal,143
6,1088400000,25473230,34332919640.0,attack,102
7,676677000,115675100,41347361195.0,attack,135
8,1379780000,47262300,49436219990.0,normal,143
9,1308007000,100237380,57484874310.0,normal,145
10,1137000000,2351130,65893793395.0,attack,133
11,1023484000,27456880,74694309340.0,attack,114
12,857408000,68446120,83886078850.0,attack,112
13,1376550000,38410170,93738746910.0,normal,145
14,675414000,73032000,103381214570.0,attack,105
15,1122230000,89739500,113945966110.0,normal,148
16,1204000000,18603900,124713897755.0,attack,130
17,1207000000,1462430,135850261960.0,attack,131
18,1198870000,173727200,147251763875.0,normal,136
19,689270000,76229200,158728850780.0,attack,133
20,1156150000,32429330,171074113670.0,attack,124
21,870460000,26528900,183430727570.0,attack,107
22,1049000000,3799690,196552354515.0,attack,117
23,1209000000,519000,209930589620.0,attack,119
24,1184800000,37371200,223700343340.0,attack,118
25,1051287000,85590400,237734625170.0,attack,114
26,914573000,117037580,252075573225.0,normal,149
27,1202240000,35609540,266991119845.0,attack,101
28,943533000,68328800,282103328090.0,attack,104
29,844739000,29759580,297606571210.0,attack,110
30,1291840000,55883100,313684843160.0,normal,137
31,766300000,10551300,329657014755.0,attack,130
32,878502000,22488540,346321989025.0,normal,138
33,1164620000,36612930,363481049645.0,attack,132
34,1187270000,48123800,380859142210.0,normal,136
35,1016330000,72327600,398553704780.0,attack,105
36,1183000000,15625600,416808791625.0,attack,112
37,1224600000,26279400,435412213495.0,attack,123
38,1027200000,53920060,454362948845.0,attack,118
39,1198000000,18395100,473639102705.0,attack,135
40,1123000000,5735400,493379241135.0,attack,108
41,954778000,290645600,513440173915.0,normal,142
42,1363250000,53506020,534025027590.0,normal,144
43,886257000,157184940,554532335275.0,normal,148
44,1136000000,18771130,575795363880.0,attack,133
45,1106570000,43357140,597399917550.0,attack,120
46,1451287000,41139090,619498663390.0,normal,146
47,650130000,140212630,641440174715.0,attack,123
48,1038547000,90246500,664229936345.0,normal,140
49,929300000,8760890,687105090165.0,attack,109
50,1146888000,76955490,710642318655.0,normal,148
