block_id,total_gas,total_mev_captured,validator_type,validator_id
1,22440000,258600,normal,3144
2,38947000,13900,normal,3122
3,12542000,0,normal,3112
4,40384000,67500,attack,3110
5,55530000,100000,normal,3145
6,19608000,15100,normal,3135
7,9070000,779000,normal,3122
8,14912000,779000,normal,3145
9,11265000,0,normal,3139
10,16685000,0,normal,3150
11,13090000,418140,normal,3123
12,22853000,0,attack,3102
13,18513000,73100,normal,3118
14,11123000,994700,normal,3144
15,8984000,65300,normal,3121
16,40930000,161000,normal,3114
17,40950000,7840,normal,3130
18,22294000,16400,normal,3147
19,16010000,423330,normal,3112
20,13960000,528900,attack,3109
21,15462000,0,normal,3128
22,11760000,769000,normal,3134
23,8967000,18659000,normal,3113
24,10619000,0,normal,3141
25,12910000,769000,normal,3133
26,15792000,188100,normal,3118
27,16627000,382900,attack,3103
28,38727000,83200,normal,3141
29,160810000,0,normal,3141
30,14577000,45300,attack,3108
31,41955000,268800,attack,3107
32,17763000,0,normal,3140
33,59680000,0,normal,3130
34,93950000,4320000,normal,3150
35,19275000,1107840,normal,3148
36,7050000,352200,normal,3118
37,13660000,0,normal,3126
38,43738000,0,normal,3122
39,9937000,0,attack,3109
40,45050000,153400,attack,3102
41,91165000,138000,normal,3122
42,55232000,4320000,normal,3117
43,17190000,285000,normal,3125
44,3108000,0,normal,3145
45,5063000,777300,normal,3124
46,91162000,0,normal,3115
47,34560000,21800,attack,3106
48,44588000,594000,normal,3120
49,4127000,296000,normal,3111
50,6107000,5640,normal,3129
