block_num,builder_id,total_gas_fee,total_mev
953,builder_14,89601006,2155000
954,builder_14,86812009,1027400
955,builder_14,225840005,894480
956,builder_14,84704002,762400
957,builder_14,205660021,1368640
958,builder_14,259068002,961240
959,builder_14,301999992,719400
960,builder_14,4232000,15700
961,builder_14,7040000,677900
962,builder_14,46490000,856190
963,builder_14,47789998,862620
964,builder_14,125291997,26847220
965,builder_14,135297002,26399190
966,builder_14,85585988,20111790
967,builder_14,75659002,8117800
968,builder_14,122280001,1625100
969,builder_14,57468000,2645500
970,builder_14,104729996,1948300
971,builder_14,86568008,2058800
972,builder_14,91362990,544940
973,builder_14,89601006,2155000
974,builder_14,86812009,1027400
975,builder_14,225840005,894480
976,builder_14,84704002,762400
977,builder_14,205660021,1368640
978,builder_14,259068002,961240
979,builder_14,301999992,719400
980,builder_14,4232000,15700
981,builder_14,7040000,677900
982,builder_14,46490000,856190
983,builder_14,47789998,862620
984,builder_14,125291997,26847220
985,builder_14,135297002,26399190
986,builder_14,85585988,20111790
987,builder_14,75659002,8117800
988,builder_14,122280001,1625100
989,builder_14,57468000,2645500
990,builder_14,104729996,1948300
991,builder_14,86568008,2058800
992,builder_14,91362990,544940
993,builder_14,89601006,2155000
994,builder_14,86812009,1027400
995,builder_14,225840005,894480
996,builder_14,84704002,762400
997,builder_14,205660021,1368640
998,builder_14,259068002,961240
999,builder_14,301999992,719400
