block_num,builder_id,proposer_id,winning_bid,total_gas_fee,total_mev
0,builder_14,proposer_0,38011558.48989806,75716000,587300
1,builder_14,proposer_0,41243417.745458774,172463000,6369690
2,builder_14,proposer_0,45572390.115858465,323460000,7205580
3,builder_14,proposer_0,49466175.90521327,381220000,6551280
4,builder_14,proposer_0,53647377.94937617,457200000,7153480
5,builder_14,proposer_0,58809458.51317445,539150000,7362880
6,builder_14,proposer_0,63819758.59241308,630800000,7203480
7,builder_14,proposer_0,70944629.49634954,742400000,2667170
8,builder_14,proposer_0,77233090.42061096,772100000,2194980
9,builder_14,proposer_0,86406525.04027082,936000000,1941390
10,builder_14,proposer_0,93443100.15136082,909700000,2142490
11,builder_14,proposer_0,101720411.7993888,1014100000,2128590
12,builder_14,proposer_0,113845046.26339749,1058800000,2128590
13,builder_14,proposer_0,124420631.79961622,1095000000,2112190
14,builder_14,proposer_0,135532362.48759273,1143400000,1806190
15,builder_14,proposer_0,147103084.32747704,1188100000,1771490
16,builder_14,proposer_0,159140049.45553592,1261200000,1089300
17,builder_14,proposer_0,173253141.60084662,1303600000,1021200
18,builder_14,proposer_0,193874127.57801992,1331900000,1790200
19,builder_14,proposer_0,215457805.79642206,1443700000,2206590
20,builder_14,proposer_0,38011558.48989806,75716000,587300
21,builder_14,proposer_0,41243417.745458774,172463000,6369690
22,builder_14,proposer_0,45572390.115858465,323460000,7205580
23,builder_14,proposer_0,49466175.90521327,381220000,6551280
24,builder_14,proposer_0,53647377.94937617,457200000,7153480
25,builder_14,proposer_0,58809458.51317445,539150000,7362880
26,builder_14,proposer_0,63819758.59241308,630800000,7203480
27,builder_14,proposer_0,70944629.49634954,742400000,2667170
28,builder_14,proposer_0,77233090.42061096,772100000,2194980
29,builder_14,proposer_0,86406525.04027082,936000000,1941390
30,builder_14,proposer_0,93443100.15136082,909700000,2142490
31,builder_14,proposer_0,101720411.7993888,1014100000,2128590
32,builder_14,proposer_0,113845046.26339749,1058800000,2128590
33,builder_14,proposer_0,124420631.79961622,1095000000,2112190
34,builder_14,proposer_0,135532362.48759273,1143400000,1806190
35,builder_14,proposer_0,147103084.32747704,1188100000,1771490
36,builder_14,proposer_0,159140049.45553592,1261200000,1089300
37,builder_14,proposer_0,173253141.60084662,1303600000,1021200
38,builder_14,proposer_0,193874127.57801992,1331900000,1790200
39,builder_14,proposer_0,215457805.79642206,1443700000,2206590
40,builder_14,proposer_0,38011558.48989806,75716000,587300
41,builder_14,proposer_0,41243417.745458774,172463000,6369690
42,builder_14,proposer_0,45572390.115858465,323460000,7205580
43,builder_14,proposer_0,49466175.90521327,381220000,6551280
44,builder_14,proposer_0,53647377.94937617,457200000,7153480
45,builder_14,proposer_0,58809458.51317445,539150000,7362880
46,builder_14,proposer_0,63819758.59241308,630800000,7203480
47,builder_14,proposer_0,70944629.49634954,742400000,2667170
48,builder_14,proposer_0,77233090.42061096,772100000,2194980
49,builder_14,proposer_0,86406525.04027082,936000000,1941390
50,builder_14,proposer_0,93443100.15136082,909700000,2142490
51,builder_14,proposer_0,101720411.7993888,1014100000,2128590
52,builder_14,proposer_0,113845046.26339749,1058800000,2128590
53,builder_14,proposer_0,124420631.79961622,1095000000,2112190
54,builder_14,proposer_0,135532362.48759273,1143400000,1806190
55,builder_14,proposer_0,147103084.32747704,1188100000,1771490
56,builder_14,proposer_0,159140049.45553592,1261200000,1089300
57,builder_14,proposer_0,173253141.60084662,1303600000,1021200
58,builder_14,proposer_0,193874127.57801992,1331900000,1790200
59,builder_14,proposer_0,215457805.79642206,1443700000,2206590
60,builder_14,proposer_0,38011558.48989806,75716000,587300
61,builder_14,proposer_0,41243417.745458774,172463000,6369690
62,builder_14,proposer_0,45572390.115858465,323460000,7205580
63,builder_14,proposer_0,49466175.90521327,381220000,6551280
64,builder_14,proposer_0,53647377.94937617,457200000,7153480
65,builder_14,proposer_0,58809458.51317445,539150000,7362880
66,builder_14,proposer_0,63819758.59241308,630800000,7203480
67,builder_14,proposer_0,70944629.49634954,742400000,2667170
68,builder_14,proposer_0,77233090.42061096,772100000,2194980
69,builder_14,proposer_0,86406525.04027082,936000000,1941390
70,builder_14,proposer_0,93443100.15136082,909700000,2142490
71,builder_14,proposer_0,101720411.7993888,1014100000,2128590
72,builder_14,proposer_0,113845046.26339749,1058800000,2128590
73,builder_14,proposer_0,124420631.79961622,1095000000,2112190
74,builder_14,proposer_0,135532362.48759273,1143400000,1806190
75,builder_14,proposer_0,147103084.32747704,1188100000,1771490
76,builder_14,proposer_0,159140049.45553592,1261200000,1089300
77,builder_14,proposer_0,173253141.60084662,1303600000,1021200
78,builder_14,proposer_0,193874127.57801992,1331900000,1790200
79,builder_14,proposer_0,215457805.79642206,1443700000,2206590
80,builder_14,proposer_0,38011558.48989806,75716000,587300
81,builder_14,proposer_0,41243417.745458774,172463000,6369690
82,builder_14,proposer_0,45572390.115858465,323460000,7205580
83,builder_14,proposer_0,49466175.90521327,381220000,6551280
84,builder_14,proposer_0,53647377.94937617,457200000,7153480
85,builder_14,proposer_0,58809458.51317445,539150000,7362880
86,builder_14,proposer_0,63819758.59241308,630800000,7203480
87,builder_14,proposer_0,70944629.49634954,742400000,2667170
88,builder_14,proposer_0,77233090.42061096,772100000,2194980
89,builder_14,proposer_0,86406525.04027082,936000000,1941390
90,builder_14,proposer_0,93443100.15136082,909700000,2142490
91,builder_14,proposer_0,101720411.7993888,1014100000,2128590
92,builder_14,proposer_0,113845046.26339749,1058800000,2128590
93,builder_14,proposer_0,124420631.79961622,1095000000,2112190
94,builder_14,proposer_0,135532362.48759273,1143400000,1806190
95,builder_14,proposer_0,147103084.32747704,1188100000,1771490
96,builder_14,proposer_0,159140049.45553592,1261200000,1089300
97,builder_14,proposer_0,173253141.60084662,1303600000,1021200
