block_num,builder_id,proposer_id,winning_bid,total_gas_fee,total_mev
354,builder_17,proposer_6,95061561.20682791,868499991,2012590
355,builder_17,proposer_18,103685897.00812183,894899991,2012590
356,builder_17,proposer_3,114961552.96567601,952699991,2176590
357,builder_17,proposer_7,126250735.83189267,1034299991,1778110
358,builder_17,proposer_6,139756349.09214243,1066799991,2878110
359,builder_17,proposer_17,155944939.133756,1143999992,3432010
360,builder_17,proposer_0,25339154.056620453,50492000,1904700
361,builder_17,proposer_9,27664335.868269566,102855003,4106100
362,builder_17,proposer_1,30592717.188786678,204830003,4240890
363,builder_17,proposer_16,33205189.94916699,307289997,3589790
364,builder_17,proposer_12,37034916.21148288,373799993,2811190
365,builder_17,proposer_16,40551957.631189354,398300002,2457190
366,builder_17,proposer_18,44491736.29893469,425499994,2934700
367,builder_17,proposer_11,48024898.406431146,462099993,2753300
368,builder_17,proposer_13,53696219.74448264,489899993,2295800
369,builder_17,proposer_6,58813062.60047294,570000000,2356500
370,builder_17,proposer_5,64172617.48227958,601400002,1397500
371,builder_17,proposer_17,70730159.99073355,670900000,1850890
372,builder_17,proposer_12,79334532.76562497,744399993,1912490
373,builder_17,proposer_19,85837576.31594068,764999991,1997290
374,builder_17,proposer_6,95061561.20682791,868499991,2012590
375,builder_17,proposer_18,103685897.00812183,894899991,2012590
376,builder_17,proposer_3,114961552.96567601,952699991,2176590
377,builder_17,proposer_7,126250735.83189267,1034299991,1778110
378,builder_17,proposer_6,139756349.09214243,1066799991,2878110
379,builder_17,proposer_17,155944939.133756,1143999992,3432010
380,builder_17,proposer_0,25339154.056620453,50492000,1904700
381,builder_17,proposer_9,27664335.868269566,102855003,4106100
382,builder_17,proposer_1,30592717.188786678,204830003,4240890
383,builder_17,proposer_16,33205189.94916699,307289997,3589790
384,builder_17,proposer_12,37034916.21148288,373799993,2811190
385,builder_17,proposer_16,40551957.631189354,398300002,2457190
386,builder_17,proposer_18,44491736.29893469,425499994,2934700
387,builder_17,proposer_11,48024898.406431146,462099993,2753300
388,builder_17,proposer_13,53696219.74448264,489899993,2295800
389,builder_17,proposer_6,58813062.60047294,570000000,2356500
390,builder_17,proposer_5,64172617.48227958,601400002,1397500
391,builder_17,proposer_17,70730159.99073355,670900000,1850890
392,builder_17,proposer_12,79334532.76562497,744399993,1912490
393,builder_17,proposer_19,85837576.31594068,764999991,1997290
394,builder_17,proposer_6,95061561.20682791,868499991,2012590
395,builder_17,proposer_18,103685897.00812183,894899991,2012590
