block_num,round_num,builder_id,strategy,bid,block_value
0,0,builder_0,late_enter,103322590.0,206645180
0,0,builder_1,late_enter,99931790.0,199863580
0,0,builder_2,late_enter,117647940.0,235295880
0,0,builder_3,late_enter,105901890.0,211803780
0,0,builder_4,late_enter,120165340.0,240330680
0,0,builder_5,random,99652699.98635413,168143060
0,0,builder_6,random,85509277.65453617,198596000
0,0,builder_7,random,108778268.59199467,225251680
0,0,builder_8,random,121101004.48461398,219803480
0,0,builder_9,random,125910433.25768705,232737280
0,0,builder_10,reactive,114805790.0,229611580
0,0,builder_11,reactive,111994490.0,223988980
0,0,builder_12,reactive,115198850.0,230397700
0,0,builder_13,reactive,83132590.0,166265180
0,0,builder_14,reactive,122859290.0,245718580
0,0,builder_15,reactive,105779740.0,211559480
0,0,builder_16,reactive,114763450.0,229526900
0,0,builder_17,reactive,121521590.0,243043180
0,0,builder_18,reactive,126144740.0,252289480
0,0,builder_19,reactive,106330950.0,212661900
0,1,builder_0,late_enter,73253000.0,146506000
0,1,builder_1,late_enter,114979600.0,229959200
0,1,builder_2,late_enter,118314450.0,236628900
0,1,builder_3,late_enter,113295600.0,226591200
0,1,builder_4,late_enter,102708400.0,205416800
0,1,builder_5,random,97069509.04819205,199879500
0,1,builder_6,random,100054188.7058076,232906200
0,1,builder_7,random,106452910.83948374,236245500
0,1,builder_8,random,79736422.35816374,198966500
0,1,builder_9,random,91256774.62337069,181938700
0,1,builder_10,reactive,138759214.0,189231400
0,1,builder_11,reactive,138759214.0,215023900
0,1,builder_12,reactive,138759214.0,185921000
0,1,builder_13,reactive,138759214.0,177041700
0,1,builder_14,reactive,138759214.0,194299400
0,1,builder_15,reactive,138759214.0,171299400
0,1,builder_16,reactive,138759214.0,187205000
0,1,builder_17,reactive,138759214.0,211108400
0,1,builder_18,reactive,181721920.0,237299100
0,1,builder_19,reactive,138759214.0,219511200
0,2,builder_0,late_enter,114705800.0,229411600
0,2,builder_1,late_enter,160726400.0,321452800
0,2,builder_2,late_enter,182645250.0,365290500
0,2,builder_3,late_enter,177429050.0,354858100
0,2,builder_4,late_enter,172143100.0,344286200
0,2,builder_5,random,173347961.82174522,309732500
0,2,builder_6,random,199743178.73508415,371597300
0,2,builder_7,random,123543202.43050022,295920900
0,2,builder_8,random,136751872.5021722,286534300
0,2,builder_9,random,144384990.30464557,347873600
0,2,builder_10,reactive,199894112.0,282441800
