block_num,builder_id,total_gas_fee,total_mev_available,total_mev_captured_by_attackers,total_mev_captured_by_builders
169,builder_5,40367993,666100,0,0
170,builder_5,100384986,661800,0,0
171,builder_1,271529001,952460,0,0
172,builder_5,164031999,8208930,0,0
173,builder_5,125072005,2003100,0,0
174,builder_11,91605993,1197700,0,0
175,builder_2,18967000,1980030,0,0
176,builder_5,130782007,825630,0,0
177,builder_11,66442995,779800,0,0
178,builder_4,113475996,568500,0,0
179,builder_5,91206997,236500,0,0
180,builder_11,80940997,18208030,0,0
181,builder_5,87817000,109500,0,0
182,builder_5,250529988,7595080,0,0
183,builder_4,84939995,5742100,0,0
184,builder_5,71704993,1587900,0,0
185,builder_5,96709009,799000,0,0
186,builder_1,66619997,35997400,0,0
187,builder_0,53914007,431600,0,0
188,builder_3,664987004,385500,0,0
189,builder_5,67557004,2059200,0,0
190,builder_11,31210998,1226430,0,0
191,builder_6,134029007,1282420,0,0
192,builder_0,39316995,797700,0,0
193,builder_4,32875012,2099240,0,0
194,builder_16,348376998,17812800,0,0
195,builder_5,84167000,593800,0,0
196,builder_1,189946000,1383200,0,0
197,builder_5,103491991,1130000,0,0
198,builder_4,88714998,1228320,0,0
199,builder_4,115687001,4968200,0,0
200,builder_5,35039003,1487490,0,0
201,builder_5,70911996,614730,0,0
202,builder_13,45527007,868200,0,0
203,builder_6,44300009,4571100,0,0
204,builder_5,123685997,568100,0,0
205,builder_5,40367993,666100,0,0
206,builder_5,100384986,661800,0,0
207,builder_1,271529001,952460,0,0
208,builder_5,164031999,8208930,0,0
209,builder_5,125072005,2003100,0,0
210,builder_11,91605993,1197700,0,0
211,builder_2,18967000,1980030,0,0
212,builder_5,130782007,825630,0,0
213,builder_11,66442995,779800,0,0
214,builder_4,113475996,568500,0,0
215,builder_5,91206997,236500,0,0
216,builder_11,80940997,18208030,0,0
217,builder_5,87817000,109500,0,0
218,builder_5,250529988,7595080,0,0
219,builder_4,84939995,5742100,0,0
220,builder_5,71704993,1587900,0,0
221,builder_5,96709009,799000,0,0
222,builder_1,66619997,35997400,0,0
223,builder_0,53914007,431600,0,0
224,builder_3,664987004,385500,0,0
225,builder_5,67557004,2059200,0,0
226,builder_11,31210998,1226430,0,0
227,builder_6,134029007,1282420,0,0
228,builder_0,39316995,797700,0,0
229,builder_4,32875012,2099240,0,0
230,builder_16,348376998,17812800,0,0
231,builder_5,84167000,593800,0,0
232,builder_1,189946000,1383200,0,0
233,builder_5,103491991,1130000,0,0
234,builder_4,88714998,1228320,0,0
235,builder_4,115687001,4968200,0,0
236,builder_5,35039003,1487490,0,0
237,builder_5,70911996,614730,0,0
238,builder_13,45527007,868200,0,0
239,builder_6,44300009,4571100,0,0
240,builder_5,123685997,568100,0,0
241,builder_5,40367993,666100,0,0
242,builder_5,100384986,661800,0,0
243,builder_1,271529001,952460,0,0
244,builder_5,164031999,8208930,0,0
245,builder_5,125072005,2003100,0,0
246,builder_11,91605993,1197700,0,0
247,builder_2,18967000,1980030,0,0
248,builder_5,130782007,825630,0,0
249,builder_11,66442995,779800,0,0
250,builder_4,113475996,568500,0,0
251,builder_5,91206997,236500,0,0
252,builder_15,86345990,99000,0,0
253,builder_10,162574000,1438290,0,0
254,builder_4,72055994,1580300,0,0
255,builder_5,1098350002,164400,0,0
256,builder_16,55202003,5053100,0,0
257,builder_15,53718000,59100,0,0
258,builder_5,238621996,1183800,0,0
259,builder_4,65870000,102200,0,0
260,builder_5,115839993,17734200,0,0
261,builder_0,70203996,7804100,0,0
262,builder_5,27141000,8087600,0,0
263,builder_4,51304004,513130,0,0
264,builder_5,112528994,850900,0,0
265,builder_5,148993001,7888800,0,0
266,builder_5,166915000,1652640,0,0
267,builder_4,73439004,731200,0,0
268,builder_5,211131999,1062500,0,0
269,builder_5,25190003,948760,0,0
270,builder_5,30181004,251100,0,0
271,builder_18,97199995,423590,0,0
272,builder_15,60492999,683400,0,0
273,builder_0,70909998,376200,0,0
274,builder_3,130398004,1320040,0,0
275,builder_7,86711998,515900,0,0
276,builder_5,104502998,7908600,0,0
277,builder_15,29489995,7525900,0,0
278,builder_4,111851995,1880320,0,0
279,builder_1,61609000,298700,0,0
280,builder_11,78910993,133100,0,0
281,builder_0,122994001,859300,0,0
282,builder_5,84582002,441800,0,0
283,builder_5,36028998,1225100,0,0
284,builder_11,36789005,2310400,0,0
285,builder_5,22935995,5910200,0,0
286,builder_11,108655992,842730,0,0
287,builder_5,53518001,1554240,0,0
288,builder_15,86345990,99000,0,0
289,builder_10,162574000,1438290,0,0
290,builder_4,72055994,1580300,0,0
291,builder_5,1098350002,164400,0,0
292,builder_16,55202003,5053100,0,0
293,builder_15,53718000,59100,0,0
294,builder_5,238621996,1183800,0,0
295,builder_4,65870000,102200,0,0
296,builder_5,115839993,17734200,0,0
297,builder_0,70203996,7804100,0,0
298,builder_5,27141000,8087600,0,0
299,builder_4,51304004,513130,0,0
300,builder_5,112528994,850900,0,0
301,builder_5,148993001,7888800,0,0
302,builder_5,166915000,1652640,0,0
303,builder_4,73439004,731200,0,0
304,builder_5,211131999,1062500,0,0
305,builder_5,25190003,948760,0,0
306,builder_5,30181004,251100,0,0
307,builder_18,97199995,423590,0,0
308,builder_15,60492999,683400,0,0
309,builder_0,70909998,376200,0,0
310,builder_3,130398004,1320040,0,0
311,builder_7,86711998,515900,0,0
312,builder_5,104502998,7908600,0,0
313,builder_15,29489995,7525900,0,0
314,builder_4,111851995,1880320,0,0
315,builder_1,61609000,298700,0,0
316,builder_11,78910993,133100,0,0
317,builder_0,122994001,859300,0,0
318,builder_5,84582002,441800,0,0
319,builder_5,36028998,1225100,0,0
320,builder_11,36789005,2310400,0,0
321,builder_5,22935995,5910200,0,0
322,builder_11,108655992,842730,0,0
323,builder_5,53518001,1554240,0,0
324,builder_15,86345990,99000,0,0
325,builder_10,162574000,1438290,0,0
326,builder_4,72055994,1580300,0,0
327,builder_5,1098350002,164400,0,0
328,builder_16,55202003,5053100,0,0
329,builder_15,53718000,59100,0,0
330,builder_5,238621996,1183800,0,0
331,builder_4,65870000,102200,0,0
332,builder_5,115839993,17734200,0,0
333,builder_0,70203996,7804100,0,0
334,builder_5,27141000,8087600,0,0
335,builder_4,51304004,513130,0,0
336,builder_5,112528994,850900,0,0
