block_num,round_num,builder_id,strategy,bid,block_value
0,0,builder_0,late_enter,144141520.0,288283040
0,0,builder_1,late_enter,166025950.0,332051900
0,0,builder_2,late_enter,135356620.0,270713240
0,0,builder_3,late_enter,151465670.0,302931340
0,0,builder_4,late_enter,111565670.0,223131340
0,0,builder_10,reactive,161755720.0,323511440
0,0,builder_11,reactive,131838920.0,263677840
0,0,builder_12,reactive,153852370.0,307704740
0,0,builder_13,reactive,145319620.0,290639240
0,0,builder_14,reactive,155441520.0,310883040
0,0,builder_15,reactive,117592450.0,235184900
0,0,builder_16,reactive,144477120.0,288954240
0,0,builder_17,reactive,142074370.0,284148740
0,0,builder_18,reactive,172342770.0,344685540
0,0,builder_19,reactive,136802020.0,273604040
0,0,builder_20,reactive,152071520.0,304143040
0,0,builder_21,reactive,157811800.0,315623600
0,0,builder_22,reactive,155899520.0,311799040
0,0,builder_23,reactive,157961800.0,315923600
0,0,builder_24,reactive,116188420.0,232376840
0,1,builder_0,late_enter,255875050.0,511750100
0,1,builder_1,late_enter,282269600.0,564539200
0,1,builder_2,late_enter,272086600.0,544173200
0,1,builder_3,late_enter,243118650.0,486237300
0,1,builder_4,late_enter,207002900.0,414005800
0,1,builder_10,reactive,189577047.0,593697700
0,1,builder_11,reactive,189577047.0,411834740
0,1,builder_12,reactive,189577047.0,556442500
0,1,builder_13,reactive,189577047.0,559180300
0,1,builder_14,reactive,189577047.0,563953900
0,1,builder_15,reactive,189577047.0,496178800
0,1,builder_16,reactive,189577047.0,508455100
0,1,builder_17,reactive,189577047.0,431885140
0,1,builder_18,reactive,379161535.0,585980300
0,1,builder_19,reactive,189577047.0,523980600
0,1,builder_20,reactive,189577047.0,576035300
0,1,builder_21,reactive,189577047.0,590093800
0,1,builder_22,reactive,189577047.0,512545800
0,1,builder_23,reactive,189577047.0,528551800
0,1,builder_24,reactive,189577047.0,507340640
0,2,builder_0,late_enter,366070850.0,732141700
0,2,builder_1,late_enter,385398250.0,770796500
0,2,builder_2,late_enter,395657250.0,791314500
0,2,builder_3,late_enter,368739200.0,737478400
0,2,builder_4,late_enter,306736450.0,613472900
0,2,builder_10,reactive,417077688.5,838576200
0,2,builder_11,reactive,417077688.5,657708100
0,2,builder_12,reactive,417077688.5,805901600
0,2,builder_13,reactive,417077688.5,821798000
0,2,builder_14,reactive,417077688.5,771249900
0,2,builder_15,reactive,417077688.5,671235000
0,2,builder_16,reactive,417077688.5,738138400
0,2,builder_17,reactive,417077688.5,670947600
0,2,builder_18,reactive,604121367.5,829081200
0,2,builder_19,reactive,417077688.5,721262200
0,2,builder_20,reactive,417077688.5,820540900
0,2,builder_21,reactive,417077688.5,835376200
0,2,builder_22,reactive,417077688.5,737488000
0,2,builder_23,reactive,417077688.5,670907100
0,2,builder_24,reactive,417077688.5,765355500
0,3,builder_0,late_enter,495130700.0,990261400
0,3,builder_1,late_enter,441275150.0,882550300
0,3,builder_2,late_enter,525435200.0,1050870400
0,3,builder_3,late_enter,510148100.0,1020296200
0,3,builder_4,late_enter,395893500.0,791787000
0,3,builder_10,reactive,664533504.25,1119571100
0,3,builder_11,reactive,664533504.25,895641100
0,3,builder_12,reactive,664533504.25,1009973600
0,3,builder_13,reactive,664533504.25,1083993700
