block_id,total_gas,total_mev_captured,validator_type,validator_id
1,35707000,168700,attack,1601
2,48962000,167500,attack,1633
3,33238000,52120,normal,1642
4,52710000,81300,attack,1638
5,48723000,17000,attack,1611
6,90137000,1100000,attack,1611
7,10745000,0,attack,1638
8,45160000,815800,attack,1640
9,34623000,16400,attack,1631
10,3362000,215000,attack,1632
11,7370000,0,attack,1625
12,7763000,60700,attack,1620
13,11560000,160800,attack,1624
14,45313000,49100,normal,1648
15,38797000,0,normal,1647
16,9525000,0,attack,1615
17,27057000,60700,attack,1621
18,16310000,0,attack,1637
19,16510000,108000,attack,1607
20,4840000,618140,attack,1629
21,31907000,5433900,attack,1615
22,58261000,350000,attack,1603
23,4280000,22040,attack,1622
24,15435000,779000,attack,1623
25,77602000,5630,attack,1614
26,14705000,5630,attack,1616
27,21935000,323400,attack,1625
28,34723000,0,attack,1608
29,48454000,296900,attack,1626
30,8620000,33300,attack,1627
31,11630000,181000,attack,1618
32,15508000,12800,normal,1646
33,37050000,7350700,attack,1601
34,6765000,0,attack,1602
35,4754000,0,attack,1611
36,53960000,96830,attack,1607
37,35613000,0,attack,1620
38,76703000,7840,attack,1633
39,23200000,779000,attack,1609
40,18000000,43600,attack,1615
41,50441000,60700,attack,1622
42,38820000,11200,attack,1614
43,18899000,149100,attack,1616
44,12435000,0,attack,1606
45,24650000,33300,attack,1614
46,31410000,369000,attack,1618
47,9022000,0,attack,1636
48,45570000,60700,attack,1618
49,32580000,0,attack,1619
50,38510000,623900,attack,1619
