block_num,validator_id,total_gas_fee,total_mev_available
220,validator_17,159682995,430100
221,validator_19,77544004,566800
222,validator_7,34226002,7429700
223,validator_4,63820002,201880
224,validator_16,68842995,18124600
225,validator_9,82486003,8173500
226,validator_1,54167001,1024330
227,validator_9,147225002,150900
228,validator_6,59373003,1732200
229,validator_18,60658993,1602600
230,validator_12,62244999,1182300
231,validator_16,130801994,71440
232,validator_19,57702998,18341300
233,validator_4,75205002,179300
234,validator_10,71852000,403500
235,validator_9,212892997,2601790
236,validator_17,18336006,151600
237,validator_8,70434003,1356900
238,validator_2,80353006,1563900
239,validator_12,22432005,622400
240,validator_18,83930008,277300
241,validator_14,124217006,5029800
242,validator_3,32569997,904500
243,validator_13,34367999,999700
244,validator_18,24786997,1057700
245,validator_13,64564007,162880
246,validator_15,80346000,4763890
247,validator_14,81128998,735530
248,validator_17,55662998,950940
249,validator_10,146563001,9327630
250,validator_8,52458001,1008600
251,validator_4,118640003,7867900
252,validator_9,142633001,7248900
253,validator_3,37599997,1519580
254,validator_5,358960004,7343900
255,validator_0,63238998,106880
256,validator_1,77038998,243100
257,validator_19,122317001,1125500
258,validator_0,57942997,22954200
259,validator_16,384853005,1667000
260,validator_18,134116002,1394900
261,validator_19,115690999,349240
262,validator_10,94704000,157230
263,validator_6,42680000,1784200
264,validator_11,65997003,1662920
265,validator_3,125951993,368400
266,validator_3,70464999,136200
267,validator_0,955558004,784750
268,validator_6,38479999,640100
269,validator_9,100144002,7264200
270,validator_16,23024002,1349420
271,validator_7,106426995,1934590
272,validator_16,109902996,5029000
273,validator_12,77961000,667000
274,validator_10,46843000,2055700
275,validator_17,23822001,18264400
276,validator_8,80895998,7345400
277,validator_2,23538001,196900
278,validator_8,93821999,1240830
279,validator_2,76877001,384800
280,validator_19,48334998,396000
281,validator_14,41417997,325100
282,validator_1,74580002,25100440
283,validator_3,79519000,1004940
284,validator_8,49311993,4995070
285,validator_12,659071001,4978090
286,validator_2,38538008,900700
287,validator_9,116950997,2822100
288,validator_14,113607000,17844640
289,validator_5,56778003,416030
290,validator_19,79032995,1071880
291,validator_19,32443001,1028300
292,validator_8,147228998,287400
293,validator_10,58114995,29760
294,validator_17,58443992,7930800
295,validator_2,60536002,1637100
296,validator_4,113926998,210240
297,validator_9,70823001,175540
298,validator_13,30884997,4364670
299,validator_11,68404000,5222800
300,validator_2,206113000,1529830
301,validator_3,140128001,1052430
302,validator_8,28292995,974800
303,validator_5,84795004,653190
304,validator_13,84093003,267200
305,validator_18,81639003,410420
306,validator_19,166765999,2639000
307,validator_9,73396994,496440
308,validator_2,59604997,19722340
309,validator_18,44868000,642000
310,validator_16,120343002,224000
311,validator_10,423440008,2004100
312,validator_16,97139999,185000
313,validator_9,35320999,5136200
314,validator_7,113507001,17867800
315,validator_6,110250004,2382000
316,validator_9,27330003,392930
317,validator_4,393413004,748400
318,validator_0,64617002,17821800
319,validator_6,47304998,825590
320,validator_14,73610993,478430
321,validator_2,1090819994,5054000
322,validator_1,103670998,1880400
323,validator_7,116142997,1483500
324,validator_14,137518999,1030600
325,validator_15,59538000,19049300
326,validator_10,49709997,267940
327,validator_9,112525997,99200
328,validator_3,44547003,394900
329,validator_0,139190005,1207000
330,validator_1,40158001,115100
331,validator_13,202676000,866700
332,validator_13,30654002,506200
333,validator_0,51789999,175000
334,validator_4,53729003,8280700
335,validator_8,84909999,151620
336,validator_0,70109002,1272100
337,validator_11,695217001,1596740
338,validator_19,55686997,710000
339,validator_2,598123000,8933500
340,validator_3,58462996,100800
341,validator_19,147369996,399230
342,validator_3,135770996,319600
343,validator_1,92607000,228400
344,validator_9,33334996,489800
345,validator_13,76177001,6347490
346,validator_13,110341996,18413960
347,validator_18,57920002,1036300
348,validator_0,38771998,447060
349,validator_11,31289998,1093800
350,validator_4,126792000,1165200
351,validator_12,46534003,2686830
352,validator_16,50443001,206300
353,validator_10,15400001,1070200
354,validator_10,54448995,4748900
355,validator_13,71907004,1766700
356,validator_14,193767003,1690390
357,validator_10,87883002,19778700
358,validator_9,70436000,448900
359,validator_12,72111000,722100
360,validator_0,67470004,890000
361,validator_14,82543000,647500
362,validator_9,84780997,445840
363,validator_9,59532998,1480040
364,validator_17,34336001,470090
365,validator_4,42790001,353590
366,validator_19,55473000,371900
367,validator_9,74048001,1935000
368,validator_4,62855996,6609100
369,validator_8,38825002,66200
370,validator_19,86655999,14711710
371,validator_10,47773001,178400
372,validator_1,139539000,5110900
373,validator_9,27193005,2423100
374,validator_9,49766997,495900
375,validator_7,778231997,7542600
376,validator_18,47292997,243000
377,validator_18,89261002,414530
378,validator_4,39398995,905700
379,validator_13,110512000,855400
380,validator_12,33395000,1358300
381,validator_7,31622998,621590
382,validator_14,112635997,18417100
383,validator_13,115807000,1741480
384,validator_14,79339995,7310300
385,validator_7,89746001,79900
386,validator_6,438854002,18848200
387,validator_4,22694007,207700
388,validator_7,21591987,73900
389,validator_0,110249004,2676800
390,validator_14,98159002,669100
391,validator_17,23170002,595800
392,validator_11,22454008,5016100
393,validator_13,76472003,4896600
394,validator_15,444257000,100270
395,validator_17,26147005,177100
396,validator_10,72573000,1215500
397,validator_2,75861999,1698100
398,validator_17,42109999,882800
399,validator_19,59731997,969400
400,validator_11,86357000,535000
401,validator_6,45432000,866720
402,validator_4,54803000,421200
403,validator_6,34277999,1598900
404,validator_0,31738997,4705000
405,validator_15,24980006,46500
406,validator_5,62595999,7341010
407,validator_11,48081998,133100
408,validator_1,38408999,5132040
409,validator_14,23489003,1181440
410,validator_16,121336002,166640
411,validator_8,164280000,258800
