block_id,total_gas,total_mev_captured,block_bid,validator_type
1,239000,0,,normal
2,19650000,296000,,normal
3,23753000,175390,,normal
4,23169000,344300,,normal
5,22713000,93000,,attack
6,27459000,782900,,normal
7,22670000,110330,,attack
8,20612000,191200,,attack
9,25220000,55040,,attack
10,48095000,1147500,,attack
11,37955000,0,,normal
12,29960000,1070000,,attack
13,19892000,146200,,attack
14,28353000,176330,,normal
15,18072000,654700,,normal
16,24327000,0,,normal
17,37583000,854500,,attack
18,26531000,49400,,attack
19,48468000,623210,,attack
20,26936000,162800,,attack
21,20814000,852900,,normal
22,14522000,804600,,normal
23,15025000,1061680,,normal
24,33611000,137720,,attack
25,19047000,27800,,attack
26,24347000,250100,,normal
27,26189000,226700,,normal
28,25503000,390000,,attack
29,22043000,0,,normal
30,21873000,0,,attack
31,8289000,527600,,attack
32,19191000,195000,,normal
33,21767000,463260,,attack
34,31644000,78800,,attack
35,24601000,154300,,attack
36,10491000,305130,,normal
37,14618000,543700,,normal
38,19554000,110600,,attack
39,21243000,115000,,attack
40,24742000,152390,,normal
41,19722000,24220,,normal
42,20630000,71200,,attack
43,10486000,769000,,normal
44,28587000,60700,,normal
45,34310000,566000,,attack
46,29302000,426230,,normal
47,32460000,1094000,,attack
48,24700000,167780,,attack
49,36686000,1072200,,normal
50,29910000,244830,,normal
51,38435000,59400,,normal
52,27173000,1090000,,attack
53,76084000,166800,,attack
54,26809000,0,,normal
55,18383000,835500,,attack
56,59330000,182700,,attack
57,52388000,14467800,,attack
58,32289000,181000,,normal
59,21898000,0,,attack
60,57240000,1678500,,attack
61,19880000,700000,,attack
62,21657000,695100,,normal
63,31263000,93000,,attack
64,67256000,1911900,,attack
65,22550000,46500,,normal
66,27330000,879000,,normal
67,13797000,82000,,attack
68,39022000,2333630,,attack
69,62719000,451500,,attack
70,28772000,25600,,attack
71,14342000,339200,,normal
72,22609000,667100,,normal
73,29477000,848000,,normal
74,55153000,315500,,attack
75,16443000,326100,,normal
76,23250000,33100,,normal
77,59358000,160400,,attack
78,84959000,146000,,attack
79,12964000,8640000,,attack
80,26096000,270700,,normal
81,26856000,146200,,attack
82,29570000,0,,normal
83,28607000,35400000,,attack
84,21710000,959000,,normal
85,21353000,507630,,normal
86,25111000,100000,,normal
87,20875000,354000,,normal
88,27605000,242000,,attack
89,34630000,122300,,attack
90,17447000,1002520,,attack
91,47143000,454800,,attack
92,36987000,35703600,,attack
93,37066000,1918000,,attack
94,33372000,181000,,normal
95,17072000,163500,,normal
96,38382000,8739400,,attack
97,19369000,0,,attack
98,27715000,570000,,attack
99,99582000,70200,,attack
100,60449000,155000,,normal
