transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created
43301,4320001.0,0.0,0,137,43285.0,unknown,1,1
43302,0.0,0.0,0,137,43285.0,unknown,1,1
43304,0.0,0.0,0,133,43285.0,unknown,1,1
43305,0.0,0.0,0,133,43285.0,unknown,1,1
43285,4320000.0,17700000.0,0,121,,unknown,1,1
43246,1700000.0,0.0,0,122,,unknown,1,1
43297,1000000.0,0.0,0,129,,unknown,1,1
43306,870000.0,0.0,0,125,,unknown,1,1
43279,660000.0,0.0,0,128,,unknown,1,1
43236,630000.0,0.0,0,139,,unknown,1,1
43315,7190000.0,17700000.0,0,126,,unknown,2,2
43307,0.0,0.0,0,131,43285.0,unknown,2,2
43308,0.0,0.0,0,131,43285.0,unknown,2,2
43310,0.0,0.0,0,138,43285.0,unknown,2,2
43311,0.0,0.0,0,138,43285.0,unknown,2,2
43313,0.0,0.0,0,137,43285.0,unknown,2,2
43314,0.0,0.0,0,137,43285.0,unknown,2,2
43348,2400000.0,0.0,0,126,,unknown,2,2
43363,2300000.0,0.0,0,128,,unknown,2,2
43360,1800000.0,0.0,0,121,,unknown,2,2
43404,7190001.0,0.0,0,136,43315.0,unknown,3,3
43406,0.0,0.0,0,132,43315.0,unknown,3,3
43407,0.0,0.0,0,132,43315.0,unknown,3,3
43409,0.0,0.0,0,133,43315.0,unknown,3,3
43410,0.0,0.0,0,133,43315.0,unknown,3,3
43412,0.0,0.0,0,135,43315.0,unknown,3,3
43413,0.0,0.0,0,135,43315.0,unknown,3,3
43415,0.0,0.0,0,132,43315.0,unknown,3,3
43416,0.0,0.0,0,132,43315.0,unknown,3,3
43418,0.0,0.0,0,136,43315.0,unknown,3,3
43419,0.0,0.0,0,136,43315.0,unknown,4,3
43421,0.0,0.0,0,137,43315.0,unknown,4,3
43422,0.0,0.0,0,137,43315.0,unknown,4,3
43424,0.0,0.0,0,136,43315.0,unknown,4,3
43425,0.0,0.0,0,136,43315.0,unknown,4,3
43427,0.0,0.0,0,132,43315.0,unknown,4,3
43428,0.0,0.0,0,132,43315.0,unknown,4,3
43430,0.0,0.0,0,133,43315.0,unknown,4,3
43431,0.0,0.0,0,133,43315.0,unknown,4,3
43433,0.0,0.0,0,138,43315.0,unknown,4,3
43434,0.0,0.0,0,138,43315.0,unknown,5,3
43436,0.0,0.0,0,136,43315.0,unknown,5,3
43437,0.0,0.0,0,136,43315.0,unknown,5,3
43439,0.0,0.0,0,133,43315.0,unknown,5,3
43440,0.0,0.0,0,133,43315.0,unknown,5,3
43442,0.0,0.0,0,133,43315.0,unknown,5,3
43443,0.0,0.0,0,133,43315.0,unknown,5,3
43445,0.0,0.0,0,138,43315.0,unknown,5,3
43446,0.0,0.0,0,138,43315.0,unknown,5,3
43448,0.0,0.0,0,135,43315.0,unknown,5,3
43449,0.0,0.0,0,135,43315.0,unknown,6,3
43451,0.0,0.0,0,134,43315.0,unknown,6,4
43452,0.0,0.0,0,134,43315.0,unknown,6,4
43454,0.0,0.0,0,140,43315.0,unknown,6,4
43455,0.0,0.0,0,140,43315.0,unknown,6,4
43457,0.0,0.0,0,132,43315.0,unknown,6,4
43458,0.0,0.0,0,132,43315.0,unknown,6,4
43460,0.0,0.0,0,138,43315.0,unknown,6,4
43461,0.0,0.0,0,138,43315.0,unknown,6,4
43463,0.0,0.0,0,137,43315.0,unknown,6,4
43464,0.0,0.0,0,137,43315.0,unknown,7,4
43466,0.0,0.0,0,135,43315.0,unknown,7,4
43467,0.0,0.0,0,135,43315.0,unknown,7,4
43469,0.0,0.0,0,132,43315.0,unknown,7,4
43470,0.0,0.0,0,132,43315.0,unknown,7,4
43472,0.0,0.0,0,134,43315.0,unknown,7,4
43473,0.0,0.0,0,134,43315.0,unknown,7,4
43475,0.0,0.0,0,140,43315.0,unknown,7,4
43476,0.0,0.0,0,140,43315.0,unknown,7,4
43478,0.0,0.0,0,135,43315.0,unknown,7,4
43750,17700000.0,17700000.0,0,125,,unknown,8,8
50435,0.0,0.0,0,318,43750.0,unknown,8,8
43479,0.0,0.0,0,135,43315.0,unknown,8,4
43481,0.0,0.0,0,133,43315.0,unknown,8,4
43482,0.0,0.0,0,133,43315.0,unknown,8,4
43484,0.0,0.0,0,136,43315.0,unknown,8,4
43485,0.0,0.0,0,136,43315.0,unknown,8,4
43487,0.0,0.0,0,137,43315.0,unknown,8,4
43488,0.0,0.0,0,137,43315.0,unknown,8,4
43490,0.0,0.0,0,139,43315.0,unknown,8,4
43491,0.0,0.0,0,139,43315.0,unknown,9,4
43493,0.0,0.0,0,138,43315.0,unknown,9,4
43494,0.0,0.0,0,138,43315.0,unknown,9,4
43496,0.0,0.0,0,139,43315.0,unknown,9,4
43497,0.0,0.0,0,139,43315.0,unknown,9,4
43499,0.0,0.0,0,131,43315.0,unknown,9,4
43500,0.0,0.0,0,131,43315.0,unknown,9,4
43502,0.0,0.0,0,133,43315.0,unknown,9,4
43503,0.0,0.0,0,133,43315.0,unknown,9,4
43505,0.0,0.0,0,139,43315.0,unknown,9,4
43506,0.0,0.0,0,139,43315.0,unknown,10,4
43508,0.0,0.0,0,137,43315.0,unknown,10,4
43509,0.0,0.0,0,137,43315.0,unknown,10,4
43511,0.0,0.0,0,138,43315.0,unknown,10,4
43512,0.0,0.0,0,138,43315.0,unknown,10,4
43514,0.0,0.0,0,135,43315.0,unknown,10,4
43515,0.0,0.0,0,135,43315.0,unknown,10,4
43517,0.0,0.0,0,133,43315.0,unknown,10,4
43518,0.0,0.0,0,133,43315.0,unknown,10,4
43520,0.0,0.0,0,134,43315.0,unknown,10,4
43990,17700000.0,17700000.0,0,127,,unknown,11,11
50436,0.0,0.0,0,305,43990.0,unknown,11,11
43521,0.0,0.0,0,134,43315.0,unknown,11,4
43523,0.0,0.0,0,135,43315.0,unknown,11,5
43524,0.0,0.0,0,135,43315.0,unknown,11,5
43526,0.0,0.0,0,135,43315.0,unknown,11,5
43527,0.0,0.0,0,135,43315.0,unknown,11,5
43529,0.0,0.0,0,131,43315.0,unknown,11,5
43530,0.0,0.0,0,131,43315.0,unknown,11,5
43532,0.0,0.0,0,138,43315.0,unknown,11,5
43533,0.0,0.0,0,138,43315.0,unknown,12,5
43535,0.0,0.0,0,133,43315.0,unknown,12,5
43536,0.0,0.0,0,133,43315.0,unknown,12,5
43538,0.0,0.0,0,135,43315.0,unknown,12,5
43539,0.0,0.0,0,135,43315.0,unknown,12,5
43541,0.0,0.0,0,138,43315.0,unknown,12,5
43542,0.0,0.0,0,138,43315.0,unknown,12,5
43544,0.0,0.0,0,136,43315.0,unknown,12,5
43545,0.0,0.0,0,136,43315.0,unknown,12,5
43547,0.0,0.0,0,136,43315.0,unknown,12,5
43548,0.0,0.0,0,136,43315.0,unknown,13,5
43550,0.0,0.0,0,132,43315.0,unknown,13,5
43551,0.0,0.0,0,132,43315.0,unknown,13,5
43553,0.0,0.0,0,140,43315.0,unknown,13,5
43554,0.0,0.0,0,140,43315.0,unknown,13,5
43556,0.0,0.0,0,137,43315.0,unknown,13,5
43557,0.0,0.0,0,137,43315.0,unknown,13,5
43559,0.0,0.0,0,134,43315.0,unknown,13,5
43560,0.0,0.0,0,134,43315.0,unknown,13,5
43562,0.0,0.0,0,139,43315.0,unknown,13,5
43563,0.0,0.0,0,139,43315.0,unknown,14,5
43565,0.0,0.0,0,135,43315.0,unknown,14,5
43566,0.0,0.0,0,135,43315.0,unknown,14,5
43568,0.0,0.0,0,134,43315.0,unknown,14,5
43569,0.0,0.0,0,134,43315.0,unknown,14,5
43571,0.0,0.0,0,135,43315.0,unknown,14,5
43572,0.0,0.0,0,135,43315.0,unknown,14,5
43574,0.0,0.0,0,140,43315.0,unknown,14,5
43575,0.0,0.0,0,140,43315.0,unknown,14,5
43577,0.0,0.0,0,131,43315.0,unknown,14,5
44293,17700000.0,17700000.0,0,124,,unknown,15,15
43578,0.0,0.0,0,131,43315.0,unknown,15,5
43580,0.0,0.0,0,134,43315.0,unknown,15,5
43581,0.0,0.0,0,134,43315.0,unknown,15,5
43583,0.0,0.0,0,131,43315.0,unknown,15,5
43584,0.0,0.0,0,131,43315.0,unknown,15,5
43586,0.0,0.0,0,139,43315.0,unknown,15,5
43587,0.0,0.0,0,139,43315.0,unknown,15,5
43589,0.0,0.0,0,138,43315.0,unknown,15,5
43590,0.0,0.0,0,138,43315.0,unknown,15,5
44353,17700000.0,17700000.0,0,130,,unknown,16,16
43592,0.0,0.0,0,140,43315.0,unknown,16,5
43593,0.0,0.0,0,140,43315.0,unknown,16,5
43595,0.0,0.0,0,139,43315.0,unknown,16,6
43596,0.0,0.0,0,139,43315.0,unknown,16,6
43598,0.0,0.0,0,134,43315.0,unknown,16,6
43599,0.0,0.0,0,134,43315.0,unknown,16,6
43601,0.0,0.0,0,140,43315.0,unknown,16,6
43602,0.0,0.0,0,140,43315.0,unknown,16,6
43604,0.0,0.0,0,136,43315.0,unknown,16,6
43605,0.0,0.0,0,136,43315.0,unknown,17,6
43607,0.0,0.0,0,137,43315.0,unknown,17,6
43608,0.0,0.0,0,137,43315.0,unknown,17,6
43610,0.0,0.0,0,132,43315.0,unknown,17,6
43611,0.0,0.0,0,132,43315.0,unknown,17,6
43613,0.0,0.0,0,138,43315.0,unknown,17,6
43614,0.0,0.0,0,138,43315.0,unknown,17,6
43616,0.0,0.0,0,137,43315.0,unknown,17,6
43617,0.0,0.0,0,137,43315.0,unknown,17,6
43619,0.0,0.0,0,137,43315.0,unknown,17,6
43620,0.0,0.0,0,137,43315.0,unknown,18,6
