block_id,total_gas,total_mev_captured,block_bid,builder_type,builder_id
1,958210000,64935200,4707741235.0,normal,64
2,1172587000,50791900,10098110095.0,normal,73
3,1094144000,22149370,15702305970.0,normal,74
4,1134630000,43225620,21814433600.0,normal,80
5,1250630000,87106400,28398114970.0,normal,54
6,1174130000,62838780,35184677530.0,normal,85
7,1151600000,8343820,42286245900.0,normal,69
8,1213820000,16194880,49936652260.0,normal,90
9,1458500000,26335740,58149225365.0,normal,78
10,1085644000,97312370,66331839045.0,normal,89
11,1201370000,84290200,75110146880.0,normal,84
12,1164800000,19430200,84218692305.0,normal,84
13,958445000,50112500,93625738850.0,normal,74
14,1264180000,65561700,103719586555.0,normal,69
15,1247360000,15960530,114074196785.0,normal,53
16,1078240000,48127510,124683311330.0,normal,89
17,878130000,65729720,135667832230.0,normal,52
18,1168810000,74960260,147351390650.0,normal,89
19,1287430000,52538370,159278286490.0,normal,59
20,1146980000,48954330,171459624275.0,normal,78
21,938800000,19103700,183987264695.0,normal,65
22,1087170000,62858220,197094018890.0,normal,60
23,979150000,141568410,210480107430.0,normal,99
24,949970000,68843120,224204882720.0,normal,59
25,1347050000,26097500,238555033390.0,normal,95
26,1257200000,86454230,253129492655.0,normal,87
27,1192740000,64023710,267984179875.0,normal,78
28,1326480000,72207000,283345161020.0,normal,89
29,1174205000,93364740,298892104310.0,normal,73
30,1401802000,89134790,315030658655.0,normal,100
31,926830000,78032990,331046264625.0,normal,70
32,1095392000,33357480,347740575120.0,normal,63
33,1176810000,28572730,364754958855.0,normal,86
34,1193963000,72098370,382161578810.0,normal,93
35,865480000,43073700,399650467740.0,normal,68
36,1405752000,47238300,417965322525.0,normal,64
37,998609000,102519900,436214713095.0,normal,75
38,1281927000,63296460,455239179775.0,normal,90
39,889950000,188977120,474386985075.0,normal,95
40,1081259000,72930590,493982140785.0,normal,88
41,1028080000,18868360,513818727365.0,normal,60
42,1023040000,39695800,534050020865.0,normal,68
43,1499000000,7419380,554848914400.0,normal,98
44,1294627000,103209120,575662647350.0,normal,82
45,1104220000,91178640,596769956170.0,normal,67
46,1184897000,125190500,618474195470.0,normal,61
47,1062220000,91086100,640428637505.0,normal,78
48,1053140000,9873630,662819305910.0,normal,74
49,1154320000,71874400,685689942755.0,normal,79
50,1266515000,27734400,708858755760.0,normal,90
