participant_id,participant_type,is_attacker,reinvestment_factor,initial_stake,final_stake,final_capital,total_profit,validator_count
builder_0,builder,True,False,0,256000000000,256000000000,0,8
builder_1,builder,True,False,0,32000000000,32000000000,0,1
builder_2,builder,True,True,0,96000000000,96000000000,0,3
builder_3,builder,True,False,0,256000000000,256000000000,0,8
builder_4,builder,True,False,0,96000000000,96000000000,0,3
builder_5,builder,True,False,0,96000000000,96000000000,0,3
builder_6,builder,True,False,0,64000000000,64000000000,0,2
builder_7,builder,True,True,0,96000000000,96000000000,0,3
builder_8,builder,True,True,0,96000000000,96000000000,0,3
builder_9,builder,True,True,0,96000000000,96000000000,0,3
builder_10,builder,False,False,0,96000000000,96000000000,0,3
builder_11,builder,False,True,0,32000000000,32000000000,0,1
builder_12,builder,False,False,0,64000000000,64000000000,0,2
builder_13,builder,False,False,0,96000000000,96000000000,0,3
builder_14,builder,False,False,0,256000000000,256000000000,0,8
builder_15,builder,False,False,0,256000000000,256000000000,0,8
builder_16,builder,False,True,0,256000000000,256000000000,0,8
builder_17,builder,False,False,0,96000000000,96000000000,0,3
builder_18,builder,False,True,0,32000000000,32000000000,0,1
builder_19,builder,False,False,0,256000000000,256000000000,0,8
proposer_0,proposer,False,False,0,320000000000,320000000000,0,10
proposer_1,proposer,False,False,0,32000000000,32000000000,0,1
proposer_2,proposer,False,False,0,320000000000,320000000000,0,10
proposer_3,proposer,False,True,0,160000000000,160000000000,0,5
proposer_4,proposer,False,True,0,64000000000,64000000000,0,2
proposer_5,proposer,False,True,0,64000000000,64000000000,0,2
proposer_6,proposer,False,True,0,64000000000,64000000000,0,2
proposer_7,proposer,False,False,0,32000000000,32000000000,0,1
proposer_8,proposer,False,False,0,64000000000,64000000000,0,2
proposer_9,proposer,False,True,0,320000000000,320000000000,0,10
proposer_10,proposer,False,False,0,320000000000,320000000000,0,10
proposer_11,proposer,False,True,0,160000000000,160000000000,0,5
proposer_12,proposer,False,False,0,160000000000,160000000000,0,5
proposer_13,proposer,False,True,0,320000000000,320000000000,0,10
proposer_14,proposer,False,True,0,160000000000,160000000000,0,5
proposer_15,proposer,False,False,0,320000000000,320000000000,0,10
proposer_16,proposer,False,True,0,320000000000,320000000000,0,10
proposer_17,proposer,False,False,0,64000000000,64000000000,0,2
proposer_18,proposer,False,True,0,64000000000,64000000000,0,2
proposer_19,proposer,False,True,0,320000000000,320000000000,0,10
