participant_id,participant_type,is_attacker,reinvestment_factor,initial_stake,final_stake,final_capital,total_profit,validator_count
builder_0,builder,False,False,0,64000000000,64000000000,0,2
builder_1,builder,False,False,0,32000000000,32000000000,0,1
builder_2,builder,False,True,0,256000000000,256000000000,0,8
builder_3,builder,False,True,0,32000000000,32000000000,0,1
builder_4,builder,False,True,0,32000000000,32000000000,0,1
builder_5,builder,False,False,0,256000000000,256000000000,0,8
builder_6,builder,False,True,0,32000000000,32000000000,0,1
builder_7,builder,False,False,0,256000000000,256000000000,0,8
builder_8,builder,False,False,0,96000000000,96000000000,0,3
builder_9,builder,False,False,0,64000000000,64000000000,0,2
builder_10,builder,False,True,0,32000000000,32000000000,0,1
builder_11,builder,False,True,0,256000000000,256000000000,0,8
builder_12,builder,False,True,0,256000000000,256000000000,0,8
builder_13,builder,False,True,0,32000000000,32000000000,0,1
builder_14,builder,False,False,0,96000000000,96000000000,0,3
builder_15,builder,False,True,0,32000000000,32000000000,0,1
builder_16,builder,False,True,0,32000000000,32000000000,0,1
builder_17,builder,False,True,0,64000000000,64000000000,0,2
builder_18,builder,False,True,0,64000000000,64000000000,0,2
builder_19,builder,False,True,0,64000000000,64000000000,0,2
proposer_0,proposer,False,True,0,160000000000,160000000000,0,5
proposer_1,proposer,False,True,0,64000000000,64000000000,0,2
proposer_2,proposer,False,True,0,160000000000,160000000000,0,5
proposer_3,proposer,False,True,0,160000000000,160000000000,0,5
proposer_4,proposer,False,False,0,64000000000,64000000000,0,2
proposer_5,proposer,False,False,0,32000000000,32000000000,0,1
proposer_6,proposer,False,True,0,160000000000,160000000000,0,5
proposer_7,proposer,False,False,0,32000000000,32000000000,0,1
proposer_8,proposer,False,False,0,160000000000,160000000000,0,5
proposer_9,proposer,False,False,0,160000000000,160000000000,0,5
proposer_10,proposer,False,False,0,160000000000,160000000000,0,5
proposer_11,proposer,False,True,0,64000000000,64000000000,0,2
proposer_12,proposer,False,True,0,32000000000,32000000000,0,1
proposer_13,proposer,False,True,0,32000000000,32000000000,0,1
proposer_14,proposer,False,True,0,64000000000,64000000000,0,2
proposer_15,proposer,False,False,0,320000000000,320000000000,0,10
proposer_16,proposer,False,False,0,32000000000,32000000000,0,1
proposer_17,proposer,False,True,0,32000000000,32000000000,0,1
proposer_18,proposer,False,False,0,32000000000,32000000000,0,1
proposer_19,proposer,False,False,0,320000000000,320000000000,0,10
