participant_id,participant_type,is_attacker,reinvestment_factor,initial_stake,final_stake,total_profit
builder_0,builder,True,0.28493343604320753,500000000,1700000000,4496452210
builder_1,builder,True,0.40951572994989616,100000000,1900000000,4602262850
builder_2,builder,True,0.23785866525021138,300000000,1300000000,4415109028
builder_3,builder,True,0.3020437047996458,300000000,1200000000,3287300980
builder_4,builder,True,0.9516811649755704,200000000,4200000000,4215401044
builder_5,builder,True,0.7892419935789009,100000000,3000000000,3800243482
builder_6,builder,True,0.020373284023558313,300000000,300000000,3037129446
builder_7,builder,True,0.46472897720924256,100000000,1900000000,4019959086
builder_8,builder,True,0.985429914476987,300000000,4300000000,4109704898
builder_9,builder,True,0.25823504790873264,300000000,1200000000,3816827894
builder_10,builder,True,0.4942927988106256,300000000,1800000000,3183849896
builder_11,builder,True,0.9483835441071127,200000000,4100000000,4184203977
builder_12,builder,True,0.28279879669758956,100000000,900000000,2969200072
builder_13,builder,True,0.5233726678272193,100000000,1800000000,3297470950
builder_14,builder,True,0.30887421447216035,200000000,1200000000,3285238353
builder_15,builder,True,0.06573195132803966,500000000,600000000,2773545341
builder_16,builder,True,0.44513261945864835,100000000,1400000000,3046497957
builder_17,builder,True,0.9187654021373827,100000000,2600000000,2803214774
builder_18,builder,True,0.45426641280174795,100000000,1200000000,2567110874
builder_19,builder,True,0.6543397532608678,500000000,2700000000,3413005159
builder_20,builder,True,0.9195265651212379,200000000,4200000000,4417690808
builder_21,builder,True,0.539219536207608,100000000,1900000000,3503389161
builder_22,builder,True,0.6038141721440445,500000000,2600000000,3519449464
builder_23,builder,True,0.22781104087812964,100000000,700000000,2676286107
builder_24,builder,True,0.5417427131646487,100000000,1300000000,2253865847
builder_25,builder,False,0.6255810264244387,500000000,1800000000,2151115162
builder_26,builder,False,0.7378859124094269,100000000,1500000000,1974954926
builder_27,builder,False,0.15317994281459368,500000000,700000000,1675232574
builder_28,builder,False,0.23964509500672493,300000000,700000000,1868079918
builder_29,builder,False,0.5254033077094142,200000000,1100000000,1745709654
builder_30,builder,False,0.640902974808496,100000000,1100000000,1575876378
builder_31,builder,False,0.03858443651337318,500000000,500000000,1787493530
builder_32,builder,False,0.4607535396507121,500000000,1200000000,1731418398
builder_33,builder,False,0.7070994317397659,100000000,1500000000,2097573850
builder_34,builder,False,0.9249350724160139,300000000,2400000000,2322105972
builder_35,builder,False,0.8121501372450912,100000000,1300000000,1532781804
builder_36,builder,False,0.28376411732941054,100000000,500000000,1607388611
builder_37,builder,False,0.8405217856146225,200000000,1500000000,1563238238
builder_38,builder,False,0.8760917216811037,200000000,1600000000,1681814324
builder_39,builder,False,0.395542287711807,200000000,700000000,1304349676
builder_40,builder,False,0.8256948007207011,500000000,1800000000,1685813319
builder_41,builder,False,0.6582455145313669,200000000,1000000000,1340156681
builder_42,builder,False,0.3046581638787992,500000000,900000000,1401951090
builder_43,builder,False,0.8475106662228904,100000000,1100000000,1246083960
builder_44,builder,False,0.7371521778329034,300000000,1300000000,1441173812
builder_45,builder,False,0.20914929799347703,500000000,700000000,1096598698
builder_46,builder,False,0.49031749780025613,200000000,700000000,1079181716
builder_47,builder,False,0.7239768256263508,100000000,800000000,1087877733
builder_48,builder,False,0.08050459479024985,500000000,500000000,1003157147
builder_49,builder,False,0.513354020825296,100000000,500000000,791197886
proposer_0,proposer,False,0.7109535065618089,100000000,100000000,89693252
proposer_1,proposer,False,0.06477972286170086,1000000000,1000000000,578432999
proposer_2,proposer,False,0.7183697969695598,200000000,200000000,115879052
proposer_3,proposer,False,0.33315673019869907,200000000,200000000,131033901
proposer_4,proposer,False,0.0554779639041898,200000000,200000000,132743338
proposer_5,proposer,False,0.38623541314192555,100000000,100000000,42952633
proposer_6,proposer,False,0.20685033130351682,200000000,200000000,103431145
proposer_7,proposer,False,0.5137569310384983,500000000,700000000,429591000
proposer_8,proposer,False,0.4715268878677984,200000000,200000000,126662681
proposer_9,proposer,False,0.7141762037629601,200000000,300000000,159629438
