block_num,builder_id,proposer_id,builder_stake,proposer_stake,total_gas_fee,total_mev_available,bid_value,builder_reinvestment_factor,proposer_reinvestment_factor
65,builder_11,proposer_14,256000000000.0,64000000000.0,5189999,0,5189999.0,True,True
66,builder_5,proposer_9,256000000000.0,160000000000.0,5700000,0,5700000.0,False,False
67,builder_19,proposer_4,64000000000.0,64000000000.0,340001,7190000,7673801.0,True,False
68,builder_8,proposer_7,96000000000.0,32000000000.0,30202999,0,30202999.0,False,False
69,builder_13,proposer_12,32000000000.0,32000000000.0,27085000,0,27085000.0,True,True
70,builder_5,proposer_6,256000000000.0,160000000000.0,54730000,277500,55029700.0,False,True
71,builder_6,proposer_14,32000000000.0,64000000000.0,10380001,13900,10394040.0,True,True
72,builder_13,proposer_10,32000000000.0,160000000000.0,4500000,0,4500000.0,True,False
73,builder_17,proposer_3,64000000000.0,160000000000.0,33600000,67900,33669258.0,True,True
74,builder_19,proposer_4,64000000000.0,64000000000.0,48200000,12300,48212546.0,True,False
75,builder_5,proposer_19,256000000000.0,320000000000.0,55900001,256000,56176481.0,False,False
76,builder_1,proposer_8,32000000000.0,160000000000.0,43240000,0,43240000.0,False,False
77,builder_14,proposer_15,96000000000.0,320000000000.0,31919999,381000,32312429.0,False,False
78,builder_19,proposer_2,64000000000.0,160000000000.0,43383001,13900,43397179.0,True,True
79,builder_15,proposer_17,32000000000.0,32000000000.0,44750000,146000,44897460.0,True,True
80,builder_19,proposer_14,64000000000.0,64000000000.0,44300001,0,44300001.0,True,True
81,builder_15,proposer_16,32000000000.0,32000000000.0,24120001,0,24120001.0,True,False
82,builder_1,proposer_9,32000000000.0,160000000000.0,27540000,23500,27563735.0,False,False
83,builder_4,proposer_10,32000000000.0,160000000000.0,10120001,0,10120001.0,True,False
84,builder_19,proposer_17,64000000000.0,32000000000.0,30119999,0,30119999.0,True,True
85,builder_13,proposer_9,32000000000.0,160000000000.0,11219999,0,11219999.0,True,False
86,builder_1,proposer_11,32000000000.0,64000000000.0,43197000,0,43197000.0,False,True
87,builder_10,proposer_13,32000000000.0,32000000000.0,7550001,0,7550001.0,True,True
88,builder_11,proposer_5,256000000000.0,32000000000.0,21699999,60700,21765555.0,True,False
89,builder_6,proposer_15,32000000000.0,320000000000.0,11090002,381000,11474812.0,True,False
90,builder_11,proposer_6,256000000000.0,160000000000.0,44420000,0,44420000.0,True,True
91,builder_5,proposer_15,256000000000.0,320000000000.0,6617999,4320000,11283599.0,False,False
92,builder_3,proposer_3,32000000000.0,160000000000.0,43203001,0,43203001.0,True,True
93,builder_2,proposer_0,256000000000.0,160000000000.0,42919997,35000,42957797.0,True,True
94,builder_18,proposer_19,64000000000.0,320000000000.0,27339999,5180,27345282.6,True,False
95,builder_4,proposer_11,32000000000.0,64000000000.0,86580001,215000,86797151.0,True,True
96,builder_19,proposer_13,64000000000.0,32000000000.0,20100000,0,20100000.0,True,True
97,builder_7,proposer_3,256000000000.0,160000000000.0,86204999,46500,86255219.0,False,True
98,builder_11,proposer_7,256000000000.0,32000000000.0,43119999,0,43119999.0,True,False
99,builder_13,proposer_0,32000000000.0,160000000000.0,6920000,0,6920000.0,True,True
100,builder_0,proposer_1,64000000000.0,64000000000.0,12803000,26700,12830234.0,False,True
101,builder_0,proposer_18,64000000000.0,32000000000.0,9484998,84800,9571494.0,False,False
102,builder_9,proposer_6,64000000000.0,160000000000.0,92182999,30200,92213803.0,False,True
103,builder_17,proposer_6,64000000000.0,160000000000.0,47500000,215000,47719300.0,True,True
104,builder_11,proposer_12,256000000000.0,32000000000.0,4900001,0,4900001.0,True,True
105,builder_7,proposer_7,256000000000.0,32000000000.0,5649999,0,5649999.0,False,False
106,builder_13,proposer_16,32000000000.0,32000000000.0,5420001,0,5420001.0,True,False
107,builder_2,proposer_13,256000000000.0,32000000000.0,65077006,175200,65266222.0,True,True
108,builder_2,proposer_17,256000000000.0,32000000000.0,48350000,0,48350000.0,True,True
109,builder_19,proposer_7,64000000000.0,32000000000.0,7900000,0,7900000.0,True,False
110,builder_7,proposer_6,256000000000.0,160000000000.0,12820000,19700,12841276.0,False,True
111,builder_14,proposer_9,96000000000.0,160000000000.0,30149999,0,30149999.0,False,False
112,builder_11,proposer_11,256000000000.0,64000000000.0,10560000,283000,10865640.0,True,True
113,builder_3,proposer_9,32000000000.0,160000000000.0,86220002,16400,86236566.0,True,False
114,builder_12,proposer_11,256000000000.0,64000000000.0,43820001,0,43820001.0,True,True
115,builder_8,proposer_2,96000000000.0,160000000000.0,55249997,19700,55270288.0,False,True
116,builder_15,proposer_14,32000000000.0,64000000000.0,27149999,15300,27165452.0,True,True
117,builder_16,proposer_0,32000000000.0,160000000000.0,43309999,0,43309999.0,True,True
118,builder_7,proposer_8,256000000000.0,160000000000.0,30459999,67900,30533331.0,False,False
119,builder_7,proposer_9,256000000000.0,160000000000.0,27309999,0,27309999.0,False,False
120,builder_6,proposer_14,32000000000.0,64000000000.0,35298001,0,35298001.0,True,True
121,builder_2,proposer_14,256000000000.0,64000000000.0,10350000,0,10350000.0,True,True
