block_num,builder_id,proposer_id,builder_stake,proposer_stake,total_gas_fee,total_mev_available,bid_value,builder_reinvestment_factor,proposer_reinvestment_factor
315,builder_6,proposer_7,32000000000.0,32000000000.0,48299999,18600,48318785.0,True,False
316,builder_8,proposer_10,96000000000.0,160000000000.0,32350002,0,32350002.0,False,False
317,builder_18,proposer_19,64000000000.0,320000000000.0,19219999,0,19219999.0,True,False
318,builder_7,proposer_9,256000000000.0,160000000000.0,55399999,34700,55437475.0,False,False
319,builder_0,proposer_6,64000000000.0,160000000000.0,32350000,0,32350000.0,False,True
320,builder_17,proposer_19,64000000000.0,320000000000.0,10320001,0,10320001.0,True,False
321,builder_8,proposer_12,96000000000.0,32000000000.0,44650001,0,44650001.0,False,True
322,builder_17,proposer_19,64000000000.0,320000000000.0,48000001,0,48000001.0,True,False
323,builder_7,proposer_16,256000000000.0,32000000000.0,14419998,510000,14970798.0,False,False
324,builder_4,proposer_13,32000000000.0,32000000000.0,11619998,7840,11627916.4,True,True
325,builder_6,proposer_19,32000000000.0,320000000000.0,11050000,42000,11092420.0,True,False
326,builder_11,proposer_12,256000000000.0,32000000000.0,4650001,0,4650001.0,True,True
