n_builders,delta_s,mean_ratio,ci_lo,ci_hi
10,0.0,1.0017891381899673,0.971859723236942,1.0212472945839421
10,0.05,0.9843738820569274,0.9088162629334271,1.0223264485987296
10,0.1,0.9664495700273373,0.8760110121486077,1.0214777006314213
10,0.15000000000000002,0.9476821391925387,0.8481016596340919,1.019447723784769
10,0.2,0.9283650879499807,0.8255412675455025,1.0184174968992739
10,0.25,0.9086344148267589,0.8043455907719596,1.0164555562124817
10,0.30000000000000004,0.8900736726661662,0.788071449018364,1.0109296792065716
10,0.35000000000000003,0.8757248825131188,0.7712744252692031,1.0075440024794053
10,0.4,0.857590321363472,0.7585892113236941,1.0049033434591061
10,0.45,0.8492835999830429,0.7494388338261015,1.0
10,0.5,0.8364799834230406,0.7361046024194517,1.0
10,0.6,0.8162168140377173,0.7145810434081568,0.9926641717752502
10,0.7,0.7973815295394439,0.7061587026905187,0.952524153799832
10,0.7999999999999999,0.7799055902900521,0.6916359595600895,0.9442933865946604
10,0.8999999999999999,0.7664452772374676,0.6816777428838264,0.9181946050100828
10,1.0,0.7523576324900795,0.673463631247607,0.8990144608170031
10,1.0999999999999999,0.7399804427924537,0.6603674275092409,0.8997063052187324
10,1.2,0.7347899198208215,0.6530511307853857,0.8803911441369686
10,1.2999999999999998,0.7266900403821202,0.6487557713176899,0.8965406929220946
10,1.4,0.7132300491234332,0.6432526011920177,0.8575757817693668
10,1.5,0.7070364678295461,0.6326384677843668,0.8574823681080911
10,1.5999999999999999,0.69977207590431,0.6275273132074394,0.8587479978026299
10,1.6999999999999997,0.6932190615574143,0.6244440878673914,0.8257726410223988
10,1.7999999999999998,0.688212807681503,0.6235167910306054,0.828902581395663
10,1.9,0.6821520781421011,0.6148049174304886,0.8154234622848723
10,2.0,0.6754400240218408,0.6081036488990245,0.8194582465886426
20,0.0,0.99352044026417,0.9655685071225656,1.018805639711887
20,0.05,0.9628403461383244,0.8939858847319037,1.0178709473452772
20,0.1,0.9354557463235419,0.8550646256194825,1.0055617715337328
20,0.15000000000000002,0.9106086466212671,0.8348476765857962,1.0
20,0.2,0.8854386057089698,0.8063915311471674,0.9967049622666021
20,0.25,0.8679699671932403,0.790117825296147,0.9704396353639464
20,0.30000000000000004,0.8511219827596949,0.7713486813899834,0.9653905330906364
20,0.35000000000000003,0.8363773685861151,0.7599709023773873,0.9391837602893892
20,0.4,0.8251028049480371,0.7469908217029216,0.9319987961232608
20,0.45,0.8095514194375047,0.7354230696364377,0.9125287053412062
20,0.5,0.796647915677261,0.7265257299474777,0.8917193434528655
20,0.6,0.7762568211373981,0.7074326412170253,0.8835003072839781
20,0.7,0.7587181680511532,0.6961973567865307,0.857714493967292
20,0.7999999999999999,0.7427222992485119,0.6821641749168882,0.8254158959119625
20,0.8999999999999999,0.7309447848139768,0.6686194065321103,0.8159191393260361
20,1.0,0.7200504069697294,0.6630238651991267,0.8083618250138009
20,1.0999999999999999,0.7075134215765948,0.6494444139927852,0.7829715133393251
20,1.2,0.6998536821889779,0.6474641446279777,0.7882289198947601
20,1.2999999999999998,0.6898216842976135,0.6378142519156925,0.7696809467118239
20,1.4,0.6829402658881238,0.6283538695502382,0.7574282342907217
20,1.5,0.6762369142643401,0.6253563488700299,0.7586656390916522
20,1.5999999999999999,0.6698128052306056,0.6224418254186573,0.7548879941135208
20,1.6999999999999997,0.6633351246708237,0.6178617108353726,0.7392269749833998
20,1.7999999999999998,0.6569301302790971,0.6093699708589596,0.7343463546336916
20,1.9,0.6512571454866475,0.6048741856645561,0.7235206837993731
20,2.0,0.6467595086738983,0.6033811482023753,0.7132567616499931
50,0.0,0.979686371548414,0.9621231157547274,1.0005910306590606
50,0.05,0.9404238672833823,0.8829836040291642,0.997533076928122
50,0.1,0.9086346605718131,0.843576934889205,0.9758514473163002
50,0.15000000000000002,0.8843570221990701,0.8213202545651284,0.9500631859336564
50,0.2,0.8614561179119051,0.8016947411999852,0.9268185677827674
50,0.25,0.844074329036556,0.7813033602086105,0.9161010839207483
50,0.30000000000000004,0.8266266585202413,0.7646407080054624,0.8971884178594137
50,0.35000000000000003,0.8137010836747738,0.7510984357895484,0.8809766199852708
50,0.4,0.7978739495613499,0.734952891255697,0.8687618752861791
50,0.45,0.7839200336474083,0.7239489813622683,0.8466517345751943
50,0.5,0.7753852080826851,0.720677628051844,0.8385058101677236
50,0.6,0.7528415212198107,0.70115809839856,0.8174037116389359
50,0.7,0.7377489071313558,0.6835488825506681,0.8014855911028439
50,0.7999999999999999,0.7241482782091516,0.6741608602018603,0.7810498821445965
50,0.8999999999999999,0.7089117347593051,0.662556534169992,0.7676684688389849
50,1.0,0.6977730357894438,0.6492629369211742,0.7486568539852673
50,1.0999999999999999,0.6889283219689453,0.6437483330686332,0.7432342151946457
50,1.2,0.678660439166807,0.6421823461664801,0.7285081286028353
50,1.2999999999999998,0.6721554129445257,0.6273431140300796,0.7209212128274328
50,1.4,0.6642073782420794,0.6246440764946509,0.7098722764295404
50,1.5,0.6583623837716329,0.6221709174189147,0.7050803187586762
50,1.5999999999999999,0.6517456739159964,0.6204524350573439,0.6945590454742974
50,1.6999999999999997,0.6457513268423977,0.609676962895383,0.6899377468385989
50,1.7999999999999998,0.6395766773394823,0.6031955706233634,0.6839345282529383
50,1.9,0.6364884258305108,0.6030751811354103,0.6773822411441061
50,2.0,0.6320438214895425,0.6021570331752143,0.6711381283512928
