transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created
861,2300000.0,0.0,0,10,,normal,12,12
822,2000000.0,0.0,0,9,,normal,12,12
816,1500000.0,0.0,0,5,,normal,12,12
807,1100000.0,0.0,0,9,,normal,12,12
795,1000000.0,0.0,0,2,,normal,12,12
49,0.0,0.0,0,14,3.0,attack,12,1
50,0.0,0.0,0,14,3.0,attack,12,1
52,0.0,0.0,0,15,3.0,attack,12,1
53,0.0,0.0,0,15,3.0,attack,12,1
897,1600000.0,0.0,0,9,,normal,13,13
906,1600000.0,0.0,0,7,,normal,13,13
936,1500000.0,0.0,0,6,,normal,13,13
870,1400000.0,0.0,0,8,,normal,13,13
900,1300000.0,0.0,0,10,,normal,13,13
55,0.0,0.0,0,11,3.0,attack,13,1
56,0.0,0.0,0,11,3.0,attack,13,1
58,0.0,0.0,0,15,3.0,attack,13,1
59,0.0,0.0,0,15,3.0,attack,13,1
61,0.0,0.0,0,16,3.0,attack,13,1
990,5000000.0,0.0,0,1,,normal,14,14
951,4500000.0,0.0,0,3,,normal,14,14
999,2300000.0,0.0,0,1,,normal,14,14
957,1600000.0,0.0,0,7,,normal,14,14
62,0.0,0.0,0,16,3.0,attack,14,1
64,0.0,0.0,0,18,3.0,attack,14,1
65,0.0,0.0,0,18,3.0,attack,14,1
67,0.0,0.0,0,14,3.0,attack,14,1
68,0.0,0.0,0,14,3.0,attack,14,1
70,0.0,0.0,0,20,3.0,attack,14,1
1014,6100000.0,0.0,0,2,,normal,15,15
1071,6100000.0,0.0,0,1,,normal,15,15
1020,5000000.0,0.0,0,7,,normal,15,15
1047,4500000.0,0.0,0,3,,normal,15,15
1056,2500000.0,0.0,0,5,,normal,15,15
1011,2000000.0,0.0,0,3,,normal,15,15
1023,1000000.0,0.0,0,4,,normal,15,15
1080,1000000.0,0.0,0,7,,normal,15,15
71,0.0,0.0,0,20,3.0,attack,15,1
73,0.0,0.0,0,14,3.0,attack,15,2
1128,6300000.0,0.0,0,7,,normal,16,16
1104,1400000.0,0.0,0,2,,normal,16,16
1086,1300000.0,0.0,0,2,,normal,16,16
1089,1200000.0,0.0,0,7,,normal,16,16
1092,970000.0,0.0,0,3,,normal,16,16
1110,910000.0,0.0,0,4,,normal,16,16
74,0.0,0.0,0,14,3.0,attack,16,2
76,0.0,0.0,0,11,3.0,attack,16,2
77,0.0,0.0,0,11,3.0,attack,16,2
79,0.0,0.0,0,17,3.0,attack,16,2
1182,5000000.0,0.0,0,4,,normal,17,17
1200,4500000.0,0.0,0,9,,normal,17,17
1170,2500000.0,0.0,0,3,,normal,17,17
1212,2400000.0,0.0,0,10,,normal,17,17
1176,1500000.0,0.0,0,3,,normal,17,17
1206,1200000.0,0.0,0,7,,normal,17,17
1209,1100000.0,17700000.0,0,6,,normal,17,17
7206,0.0,0.0,0,17,1209.0,attack,17,17
1161,970000.0,0.0,0,4,,normal,17,17
80,0.0,0.0,0,17,3.0,attack,17,2
1275,5200000.0,0.0,0,6,,normal,18,18
1239,5000000.0,0.0,0,7,,normal,18,18
1260,2600000.0,0.0,0,3,,normal,18,18
1230,1200000.0,0.0,0,7,,normal,18,18
1263,1100000.0,0.0,0,1,,normal,18,18
1248,970000.0,0.0,0,2,,normal,18,18
1251,959000.0,17700000.0,0,10,,normal,18,18
1242,870000.0,0.0,0,7,,normal,18,18
82,0.0,0.0,0,20,3.0,attack,18,2
83,0.0,0.0,0,20,3.0,attack,18,2
1326,17700000.0,17700000.0,0,10,,normal,19,19
1308,4320000.0,17700000.0,0,5,,normal,19,19
1356,4200000.0,0.0,0,10,,normal,19,19
1368,3600000.0,0.0,0,5,,normal,19,19
1323,910000.0,0.0,0,8,,normal,19,19
85,0.0,0.0,0,11,3.0,attack,19,2
86,0.0,0.0,0,11,3.0,attack,19,2
88,0.0,0.0,0,16,3.0,attack,19,2
89,0.0,0.0,0,16,3.0,attack,19,2
91,0.0,0.0,0,13,3.0,attack,19,2
1389,2500000.0,0.0,0,2,,normal,20,20
1416,2400000.0,0.0,0,2,,normal,20,20
1413,2000000.0,0.0,0,8,,normal,20,20
1398,1900000.0,0.0,0,6,,normal,20,20
1371,1600000.0,0.0,0,7,,normal,20,20
1386,1100000.0,17700000.0,0,9,,normal,20,20
1401,1100000.0,0.0,0,8,,normal,20,20
1392,959000.0,17700000.0,0,3,,normal,20,20
92,0.0,0.0,0,13,3.0,attack,20,2
94,0.0,0.0,0,15,3.0,attack,20,2
1503,4320000.0,17700000.0,0,5,,normal,21,21
1506,2600000.0,0.0,0,6,,normal,21,21
1458,2300000.0,0.0,0,5,,normal,21,21
1497,1900000.0,0.0,0,5,,normal,21,21
1449,1100000.0,0.0,0,3,,normal,21,21
95,0.0,0.0,0,15,3.0,attack,21,2
97,0.0,0.0,0,15,3.0,attack,21,2
98,0.0,0.0,0,15,3.0,attack,21,2
100,0.0,0.0,0,13,3.0,attack,21,2
101,0.0,0.0,0,13,3.0,attack,21,2
1571,0.0,0.0,0,17,180.0,attack,22,22
1573,0.0,0.0,0,17,180.0,attack,22,22
1574,0.0,0.0,0,17,180.0,attack,22,22
1576,0.0,0.0,0,16,180.0,attack,22,22
1577,0.0,0.0,0,16,180.0,attack,22,22
1579,0.0,0.0,0,14,180.0,attack,22,22
1580,0.0,0.0,0,14,180.0,attack,22,22
1582,0.0,0.0,0,15,180.0,attack,22,22
1583,0.0,0.0,0,15,180.0,attack,22,22
1524,2400000.0,0.0,0,9,,normal,22,22
1585,0.0,0.0,0,16,180.0,attack,23,23
1586,0.0,0.0,0,16,180.0,attack,23,23
1588,0.0,0.0,0,18,180.0,attack,23,23
1589,0.0,0.0,0,18,180.0,attack,23,23
1591,0.0,0.0,0,19,180.0,attack,23,23
1592,0.0,0.0,0,19,180.0,attack,23,23
1594,0.0,0.0,0,16,180.0,attack,23,23
1595,0.0,0.0,0,16,180.0,attack,23,23
1597,0.0,0.0,0,18,180.0,attack,23,23
1598,0.0,0.0,0,18,180.0,attack,23,23
1600,0.0,0.0,0,20,180.0,attack,24,23
1601,0.0,0.0,0,20,180.0,attack,24,23
1603,0.0,0.0,0,19,180.0,attack,24,23
1604,0.0,0.0,0,19,180.0,attack,24,23
1606,0.0,0.0,0,20,180.0,attack,24,23
1607,0.0,0.0,0,20,180.0,attack,24,23
1609,0.0,0.0,0,16,180.0,attack,24,23
1610,0.0,0.0,0,16,180.0,attack,24,23
1612,0.0,0.0,0,19,180.0,attack,24,23
1613,0.0,0.0,0,19,180.0,attack,24,23
1615,0.0,0.0,0,19,180.0,attack,25,23
1616,0.0,0.0,0,19,180.0,attack,25,23
1618,0.0,0.0,0,20,180.0,attack,25,23
1619,0.0,0.0,0,20,180.0,attack,25,23
1621,0.0,0.0,0,11,180.0,attack,25,23
1622,0.0,0.0,0,11,180.0,attack,25,23
1624,0.0,0.0,0,18,180.0,attack,25,23
1625,0.0,0.0,0,18,180.0,attack,25,23
1627,0.0,0.0,0,15,180.0,attack,25,23
1628,0.0,0.0,0,15,180.0,attack,25,23
1630,0.0,0.0,0,11,180.0,attack,26,23
1631,0.0,0.0,0,11,180.0,attack,26,23
1633,0.0,0.0,0,16,180.0,attack,26,23
1634,0.0,0.0,0,16,180.0,attack,26,23
1636,0.0,0.0,0,11,180.0,attack,26,23
1637,0.0,0.0,0,11,180.0,attack,26,23
1639,0.0,0.0,0,13,180.0,attack,26,23
1640,0.0,0.0,0,13,180.0,attack,26,23
1642,0.0,0.0,0,18,180.0,attack,26,23
1643,0.0,0.0,0,18,180.0,attack,26,23
1645,0.0,0.0,0,19,180.0,attack,27,23
1646,0.0,0.0,0,19,180.0,attack,27,23
1648,0.0,0.0,0,13,180.0,attack,27,23
1649,0.0,0.0,0,13,180.0,attack,27,23
1651,0.0,0.0,0,13,180.0,attack,27,23
1652,0.0,0.0,0,13,180.0,attack,27,23
1654,0.0,0.0,0,15,180.0,attack,27,23
1655,0.0,0.0,0,15,180.0,attack,27,23
1657,0.0,0.0,0,17,180.0,attack,27,24
1658,0.0,0.0,0,17,180.0,attack,27,24
1660,0.0,0.0,0,13,180.0,attack,28,24
1661,0.0,0.0,0,13,180.0,attack,28,24
1663,0.0,0.0,0,12,180.0,attack,28,24
1664,0.0,0.0,0,12,180.0,attack,28,24
1666,0.0,0.0,0,11,180.0,attack,28,24
1667,0.0,0.0,0,11,180.0,attack,28,24
1669,0.0,0.0,0,20,180.0,attack,28,24
1670,0.0,0.0,0,20,180.0,attack,28,24
1672,0.0,0.0,0,11,180.0,attack,28,24
1673,0.0,0.0,0,11,180.0,attack,28,24
1675,0.0,0.0,0,14,180.0,attack,29,24
1676,0.0,0.0,0,14,180.0,attack,29,24
1678,0.0,0.0,0,11,180.0,attack,29,24
1679,0.0,0.0,0,11,180.0,attack,29,24
1681,0.0,0.0,0,20,180.0,attack,29,24
1682,0.0,0.0,0,20,180.0,attack,29,24
1684,0.0,0.0,0,15,180.0,attack,29,24
1685,0.0,0.0,0,15,180.0,attack,29,24
1687,0.0,0.0,0,15,180.0,attack,29,24
1688,0.0,0.0,0,15,180.0,attack,29,24
1690,0.0,0.0,0,17,180.0,attack,30,24
1691,0.0,0.0,0,17,180.0,attack,30,24
1693,0.0,0.0,0,16,180.0,attack,30,24
1694,0.0,0.0,0,16,180.0,attack,30,24
1696,0.0,0.0,0,17,180.0,attack,30,24
1697,0.0,0.0,0,17,180.0,attack,30,24
1699,0.0,0.0,0,13,180.0,attack,30,24
1700,0.0,0.0,0,13,180.0,attack,30,24
1702,0.0,0.0,0,14,180.0,attack,30,24
1703,0.0,0.0,0,14,180.0,attack,30,24
1705,0.0,0.0,0,19,180.0,attack,31,24
