period,block_number,num_transactions,inversion_count,inversion_rate,max_possible_inversions
LUNA_CRASH_MAY_2022,14800787,311,621,0.01288248107042838,48205
LUNA_CRASH_MAY_2022,14800788,242,543,0.018620760604917526,29161
LUNA_CRASH_MAY_2022,14800789,86,145,0.03967168262653899,3655
LUNA_CRASH_MAY_2022,14800790,164,493,0.03688463265000748,13366
LUNA_CRASH_MAY_2022,14800791,44,43,0.045454545454545456,946
LUNA_CRASH_MAY_2022,14800792,173,1664,0.1118429896491464,14878
LUNA_CRASH_MAY_2022,14800793,110,197,0.03286071726438699,5995
LUNA_CRASH_MAY_2022,14800794,182,1868,0.11341145042802502,16471
LUNA_CRASH_MAY_2022,14800795,108,204,0.035306334371754934,5778
LUNA_CRASH_MAY_2022,14800796,130,210,0.025044722719141325,8385
LUNA_CRASH_MAY_2022,14800797,86,305,0.08344733242134063,3655
LUNA_CRASH_MAY_2022,14800798,152,163,0.014203555245730219,11476
LUNA_CRASH_MAY_2022,14800799,7,0,0.0,21
LUNA_CRASH_MAY_2022,14800800,163,153,0.011588275391956374,13203
LUNA_CRASH_MAY_2022,14800801,345,3004,0.05062352544657903,59340
LUNA_CRASH_MAY_2022,14800802,233,33,0.001220956045582359,27028
LUNA_CRASH_MAY_2022,14800803,145,87,0.008333333333333333,10440
LUNA_CRASH_MAY_2022,14800804,83,475,0.1395827211284161,3403
LUNA_CRASH_MAY_2022,14800805,269,1816,0.0503800699106697,36046
LUNA_CRASH_MAY_2022,14800806,11,0,0.0,55
LUNA_CRASH_MAY_2022,14800807,180,441,0.027374301675977653,16110
LUNA_CRASH_MAY_2022,14800808,168,741,0.05282292557741659,14028
LUNA_CRASH_MAY_2022,14800809,239,252,0.008860447944868325,28441
LUNA_CRASH_MAY_2022,14800810,220,1454,0.06035699460356995,24090
LUNA_CRASH_MAY_2022,14800811,286,1122,0.027530364372469637,40755
LUNA_CRASH_MAY_2022,14800812,246,7321,0.24294010287041645,30135
LUNA_CRASH_MAY_2022,14800813,46,173,0.1671497584541063,1035
LUNA_CRASH_MAY_2022,14800814,154,887,0.07529072234954588,11781
LUNA_CRASH_MAY_2022,14800815,79,131,0.04251866277182733,3081
LUNA_CRASH_MAY_2022,14800816,106,63,0.011320754716981131,5565
LUNA_CRASH_MAY_2022,14800817,37,0,0.0,666
LUNA_CRASH_MAY_2022,14800818,143,0,0.0,10153
LUNA_CRASH_MAY_2022,14800819,22,0,0.0,231
LUNA_CRASH_MAY_2022,14800820,414,11207,0.13108982232047817,85491
LUNA_CRASH_MAY_2022,14800821,171,987,0.06790505675954592,14535
