period,gas_fee_gwei
STABLE_PRE_MERGE_2022,4494724.0
STABLE_PRE_MERGE_2022,4480865.0
STABLE_PRE_MERGE_2022,4382349.0
STABLE_PRE_MERGE_2022,4255168.0
STABLE_PRE_MERGE_2022,3993047.0
STABLE_PRE_MERGE_2022,3841950.0
STABLE_PRE_MERGE_2022,3467014.0
STABLE_PRE_MERGE_2022,3428164.0
STABLE_PRE_MERGE_2022,3313902.0
STABLE_PRE_MERGE_2022,2984448.0
STABLE_PRE_MERGE_2022,2984448.0
STABLE_PRE_MERGE_2022,2544168.0
STABLE_PRE_MERGE_2022,2539791.0
STABLE_PRE_MERGE_2022,2469759.0
STABLE_PRE_MERGE_2022,2081536.0
STABLE_PRE_MERGE_2022,1912734.0
STABLE_PRE_MERGE_2022,1867640.0
STABLE_PRE_MERGE_2022,1703190.0
STABLE_PRE_MERGE_2022,1694690.0
STABLE_PRE_MERGE_2022,1690164.0
STABLE_PRE_MERGE_2022,1637671.0
STABLE_PRE_MERGE_2022,1603348.0
STABLE_PRE_MERGE_2022,1439237.0
STABLE_PRE_MERGE_2022,1186927.0
STABLE_PRE_MERGE_2022,1145592.0
STABLE_PRE_MERGE_2022,1093775.0
STABLE_PRE_MERGE_2022,1023616.0
STABLE_PRE_MERGE_2022,935450.0
STABLE_PRE_MERGE_2022,887994.0
STABLE_PRE_MERGE_2022,880279.0
STABLE_PRE_MERGE_2022,816886.0
STABLE_PRE_MERGE_2022,813335.0
STABLE_PRE_MERGE_2022,804768.0
STABLE_PRE_MERGE_2022,771834.0
STABLE_PRE_MERGE_2022,768236.0
STABLE_PRE_MERGE_2022,767896.0
STABLE_PRE_MERGE_2022,763175.0
STABLE_PRE_MERGE_2022,659513.0
STABLE_PRE_MERGE_2022,532146.0
STABLE_PRE_MERGE_2022,515539.0
STABLE_PRE_MERGE_2022,499939.0
STABLE_PRE_MERGE_2022,492331.0
STABLE_PRE_MERGE_2022,465428.0
STABLE_PRE_MERGE_2022,414180.0
STABLE_PRE_MERGE_2022,414180.0
STABLE_PRE_MERGE_2022,409437.0
STABLE_PRE_MERGE_2022,396975.0
STABLE_PRE_MERGE_2022,393775.0
STABLE_PRE_MERGE_2022,392340.0
STABLE_PRE_MERGE_2022,380567.0
STABLE_PRE_MERGE_2022,355443.0
STABLE_PRE_MERGE_2022,19851975.0
STABLE_PRE_MERGE_2022,19812556.0
STABLE_PRE_MERGE_2022,18060000.0
STABLE_PRE_MERGE_2022,15522858.0
STABLE_PRE_MERGE_2022,9868787.0
STABLE_PRE_MERGE_2022,8992419.0
STABLE_PRE_MERGE_2022,6469228.0
STABLE_PRE_MERGE_2022,5431291.0
STABLE_PRE_MERGE_2022,5161717.0
STABLE_PRE_MERGE_2022,4970662.0
STABLE_PRE_MERGE_2022,4624251.0
