period,block_number,gas_fee_gwei
STABLE_PRE_MERGE_2022,15000000,1702805.9474
STABLE_PRE_MERGE_2022,15000000,1702805.9474
STABLE_PRE_MERGE_2022,15000000,1702805.9474
STABLE_PRE_MERGE_2022,15000000,3060000.0
STABLE_PRE_MERGE_2022,15000000,1190000.0
STABLE_PRE_MERGE_2022,15000000,11522889.0
STABLE_PRE_MERGE_2022,15000000,1606347.0
STABLE_PRE_MERGE_2022,15000000,2726562.0
STABLE_PRE_MERGE_2022,15000000,356442.696246
STABLE_PRE_MERGE_2022,15000000,17418079.160662
STABLE_PRE_MERGE_2022,15000000,1399312.071696
STABLE_PRE_MERGE_2022,15000000,820198.242600648
STABLE_PRE_MERGE_2022,15000000,1977456.95466368
STABLE_PRE_MERGE_2022,15000000,820198.242600648
STABLE_PRE_MERGE_2022,15000000,769179.453414876
STABLE_PRE_MERGE_2022,15000000,1958485.227310564
STABLE_PRE_MERGE_2022,15000000,1573887.172364604
STABLE_PRE_MERGE_2022,15000000,772727.283025248
STABLE_PRE_MERGE_2022,15000000,768813.010919908
STABLE_PRE_MERGE_2022,15000000,897301.074837324
STABLE_PRE_MERGE_2022,15000000,768613.13319538
STABLE_PRE_MERGE_2022,15000000,768313.316608588
STABLE_PRE_MERGE_2022,15000000,15926806.754133493
STABLE_PRE_MERGE_2022,15000000,826011.353089004
STABLE_PRE_MERGE_2022,15000000,768796.354442864
STABLE_PRE_MERGE_2022,15000000,2203052.279747616
STABLE_PRE_MERGE_2022,15000000,767813.622297268
STABLE_PRE_MERGE_2022,15000000,771827.833264872
STABLE_PRE_MERGE_2022,15000000,767580.431618652
STABLE_PRE_MERGE_2022,15000000,857242.247546504
STABLE_PRE_MERGE_2022,15000000,768979.575690348
STABLE_PRE_MERGE_2022,15000000,742145.991172464
STABLE_PRE_MERGE_2022,15000000,981233.06266204
STABLE_PRE_MERGE_2022,15000000,767896.904682488
STABLE_PRE_MERGE_2022,15000000,2833066.867459872
STABLE_PRE_MERGE_2022,15000000,3116027.099483344
STABLE_PRE_MERGE_2022,15000000,776458.333883104
STABLE_PRE_MERGE_2022,15000000,980833.307212984
STABLE_PRE_MERGE_2022,15000000,4621822.593692076
STABLE_PRE_MERGE_2022,15000000,767713.683435004
STABLE_PRE_MERGE_2022,15000000,719459.869438536
STABLE_PRE_MERGE_2022,15000000,768463.224901984
STABLE_PRE_MERGE_2022,15000000,1011697.759175516
STABLE_PRE_MERGE_2022,15000000,1577801.444469944
STABLE_PRE_MERGE_2022,15000000,599883.02073966
STABLE_PRE_MERGE_2022,15000000,775642.166507948
STABLE_PRE_MERGE_2022,15000000,2482814.46817864
STABLE_PRE_MERGE_2022,15000000,1129475.70835364
STABLE_PRE_MERGE_2022,15000000,913257.979845476
STABLE_PRE_MERGE_2022,15000000,1082671.00786
