period,miner,block_count
USDC_DEPEG_MARCH_2023,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,31
USDC_DEPEG_MARCH_2023,0x5F927395213ee6b95dE97bDdCb1b2B1C0F16844F,16
USDC_DEPEG_MARCH_2023,0x388C818CA8B9251b393131C08a736A67ccB19297,15
USDC_DEPEG_MARCH_2023,0x4675C7e5BaAFBFFbca748158bEcBA61ef3b0a263,6
USDC_DEPEG_MARCH_2023,0x199D5ED7F45F4eE35960cF22EAde2076e95B253F,3
USDC_DEPEG_MARCH_2023,0xCE0BaBc8398144Aa98D9210d595E3A9714910748,3
USDC_DEPEG_MARCH_2023,0xF2f5C73fa04406b1995e397B55c24aB1f3eA726C,2
USDC_DEPEG_MARCH_2023,0xbd3Afb0bB76683eCb4225F9DBc91f998713C3b01,2
USDC_DEPEG_MARCH_2023,0xA8C62111e4652b07110A0FC81816303c42632f64,2
USDC_DEPEG_MARCH_2023,0xBE3972D8cB690D5222DE0c8c6659643De37A8667,1
USDC_DEPEG_MARCH_2023,0x2B78035514401eD1592Eb691b8673a93Edf97470,1
USDC_DEPEG_MARCH_2023,0x3FE8DEcbEFfd3092f8c973Ab66F2CCeE916FeBE3,1
USDC_DEPEG_MARCH_2023,0xfFEE087852cb4898e6c3532E776e68BC68b1143B,1
USDC_DEPEG_MARCH_2023,0xC3DC5292caF0C3350c1Be8E5f8c36E10A6B12a6b,1
USDC_DEPEG_MARCH_2023,0xC17E602AC1C8f4aD9E4B2DFAA3442E393893ae17,1
USDC_DEPEG_MARCH_2023,0xE455036E2F3a26Df7014b7DbF6cedBBf81433478,1
USDC_DEPEG_MARCH_2023,0x9B984D5a03980D8dc0a24506c968465424c81DbE,1
USDC_DEPEG_MARCH_2023,0x0077732907bFC6208933Cfd2a51aFB8f33cA5958,1
USDC_DEPEG_MARCH_2023,0x44E2fDc679E6Bee01E93eF4a3AB1BCCE012abC7C,1
USDC_DEPEG_MARCH_2023,0xFeebabE6b0418eC13b30aAdF129F5DcDd4f70CeA,1
USDC_DEPEG_MARCH_2023,0x00178Eb7e94C647143Cb6eAD6aa6258796D9Ba3F,1
USDC_DEPEG_MARCH_2023,0xaF6314Fbd508c89C715fF334fCecce6B4B54cBF7,1
USDC_DEPEG_MARCH_2023,0x08C33b6CC319cFF37f2429cEBdcC98Ad37fEcbaf,1
USDC_DEPEG_MARCH_2023,0xAAB27b150451726EC7738aa1d0A94505c8729bd1,1
USDC_DEPEG_MARCH_2023,0x70A69fA317107dCf6Fc3e8c06d4fBFC49f2481Ca,1
USDC_DEPEG_MARCH_2023,0xc83dad6e38BF7F2d79f2a51dd3C4bE3f530965D6,1
USDC_DEPEG_MARCH_2023,0x6b333B20fBae3c5c0969dd02176e30802e2fbBdB,1
USDC_DEPEG_MARCH_2023,0x42f0Ab4851cEfb90E1c246067f7AE857577e608d,1
USDC_DEPEG_MARCH_2023,0xAbD6c51De173f356D8B845b9b72d904dff00d746,1
USDC_DEPEG_MARCH_2023,0xc3d07A32b57Fd277939E7c83f83fF47e3BE5Cf62,1
USDC_DEPEG_MARCH_2023,0x9F3565e0390E666F105a80270C0ac5d21B496e87,1
USDC_DEPEG_MARCH_2023,0xeB7a98f6ED9C4820D959F7c352eC9D38Da471085,1
USDC_DEPEG_MARCH_2023,0x4c992eC2D310aD988ed4b6874f6C3Ca129358cFa,1
USDC_DEPEG_MARCH_2023,0xf34d539a4Ffd0aE9f475a955A23679ee6299aebD,1
USDC_DEPEG_MARCH_2023,0x27F3006aba76cD9284F611abC2799A01d2B6eC9A,1
