period,block_number,mean_gas_fee_gwei,median_gas_fee_gwei,total_gas_fees_gwei,num_transactions
USDC_DEPEG_MARCH_2023,16900017,17594163.965657376,2063177.87955,2234458823.638487,127
USDC_DEPEG_MARCH_2023,16900018,7197575.025033547,3475656.466715741,1058043528.6799314,147
USDC_DEPEG_MARCH_2023,16900019,6711448.637879035,2681962.75953403,885911220.2000327,132
USDC_DEPEG_MARCH_2023,16900020,6679408.68158921,2785391.433945,1202293562.6860578,180
USDC_DEPEG_MARCH_2023,16900021,12661514.581156889,3766389.54358926,1595350837.225768,126
USDC_DEPEG_MARCH_2023,16900022,7076074.294565016,3380716.3006120995,1018954698.4173623,144
USDC_DEPEG_MARCH_2023,16900023,5553849.78510434,2762862.63928444,827523617.9805467,149
USDC_DEPEG_MARCH_2023,16900024,12024452.318041597,2885171.24632464,2236548131.155737,186
USDC_DEPEG_MARCH_2023,16900025,6488594.618689101,3539606.099074812,1174435625.9827273,181
USDC_DEPEG_MARCH_2023,16900026,7037318.170983681,3778413.5810389817,774104998.808205,110
USDC_DEPEG_MARCH_2023,16900027,9797816.648628859,2754148.260791907,1371694330.8080401,140
USDC_DEPEG_MARCH_2023,16900028,8402110.278492546,2706576.46173,1167893328.7104638,139
USDC_DEPEG_MARCH_2023,16900029,5680139.057155028,2625942.5640000002,636175574.4013631,112
USDC_DEPEG_MARCH_2023,16900030,9743092.76432844,2633606.653982155,1490693192.9422514,153
USDC_DEPEG_MARCH_2023,16900031,8410031.59442321,3050705.0,1488575592.2129083,177
USDC_DEPEG_MARCH_2023,16900032,6487454.473873748,3022237.11362,752544718.9693549,116
USDC_DEPEG_MARCH_2023,16900033,14466776.990062997,2681355.43071,2010882001.6187565,139
