block_id,total_gas,total_mev_captured,validator_type,validator_id
1,58692000,35100,attack,2957
2,35731000,320600,normal,3000
3,50590000,14200,attack,2965
4,15313000,283000,normal,2970
5,14774000,0,normal,2982
6,6540000,0,normal,2998
7,16970000,0,normal,2967
8,8251000,15100,normal,2991
9,10892000,0,attack,2964
10,6223000,0,normal,2995
11,16810000,562000,normal,2970
12,8500000,0,normal,2999
13,12029000,0,normal,2988
14,76140000,0,attack,2956
15,14031000,121000,normal,2986
16,52727000,3130,normal,2984
17,42013000,7190000,attack,2962
18,12770000,151400,normal,2981
19,18377000,779000,attack,2963
20,12820000,0,normal,2989
21,33336000,75000,attack,2963
22,4170000,27430,normal,2977
23,48670000,146000,normal,2966
24,43300000,0,normal,2969
25,21851000,15300,normal,2978
26,6574000,296000,attack,2954
27,6942000,14200,attack,2958
28,13138000,46500,attack,2955
29,8185000,0,attack,2954
30,18330000,575740,normal,2982
31,12120000,0,normal,2989
32,90030000,52140,attack,2959
33,6480000,68100,normal,3000
34,7255000,23500,normal,2974
35,40269000,0,attack,2954
36,26872000,0,normal,2969
37,14154000,108000,normal,2989
38,24447000,13900,normal,2984
39,10410000,0,normal,2974
40,21546000,660100,attack,2960
41,5564000,5180,attack,2960
42,54487000,0,attack,2954
43,31611000,0,attack,2956
44,8662000,17000,attack,2961
45,34262000,306000,normal,2979
46,67656000,4689000,normal,2994
47,11764000,133300,attack,2953
48,16670000,0,normal,2978
49,119958000,510000,normal,2981
50,32700000,111800,attack,2961
