block_id,total_gas,total_mev_captured,block_bid,builder_type,builder_id
1,1712980324,588800,1105259001.695498,attack,3425
2,2107001458,627200,1643169804.604657,attack,3414
3,2107002634,627200,1976618887.8424413,attack,3415
4,2107003810,627200,2064618120.0,attack,3422
5,2107004986,627200,2064619272.0,attack,3410
6,2107006162,627200,2064620424.0,attack,3421
7,2107007338,627200,2064621576.0,attack,3409
8,2107008514,627200,2064622728.0,attack,3404
9,2107009690,627200,2064623880.0,attack,3413
10,2107010866,627200,2064625032.0,attack,3403
11,2107012042,627200,2064626184.0,attack,3415
12,2107013218,627200,2064627336.0,attack,3412
13,2107014394,627200,2064628488.0,attack,3422
14,2107015570,627200,2064629640.0,attack,3402
15,2107016746,627200,2064630792.0,attack,3421
16,2107017922,627200,2064631944.0,attack,3409
17,2107019098,627200,2064633096.0,attack,3424
18,2107020274,627200,2064634248.0,attack,3407
19,2064021000,614400,2064635400.0,normal,3443
20,2064022152,614400,2064636552.0,normal,3439
21,2064023304,614400,2064637704.0,normal,3436
22,2107024978,627200,2064638856.0,attack,3409
23,2064025608,614400,2064640008.0,normal,3447
24,2064026760,614400,2064641160.0,normal,3432
25,2064027912,614400,2064642312.0,normal,3438
26,2107029682,627200,2064643464.0,attack,3420
27,2064030216,614400,2064644616.0,normal,3440
28,2107032034,627200,2064645768.0,attack,3422
29,2107033210,627200,2064646920.0,attack,3421
30,2107034386,627200,2064648072.0,attack,3404
31,2107035562,627200,2064649224.0,attack,3414
32,2064035976,614400,2064650376.0,normal,3438
33,2064037128,614400,2064651528.0,normal,3436
34,2064038280,614400,2064652680.0,normal,3439
35,2107040266,627200,2064653832.0,attack,3401
36,2107041442,627200,2064654984.0,attack,3407
37,2064041736,614400,2064656136.0,normal,3444
38,2107043794,627200,2064657288.0,attack,3409
39,2064044040,614400,2064658440.0,normal,3450
40,2064045192,614400,2064659592.0,normal,3432
41,2107047322,627200,2064660744.0,attack,3425
42,2107048498,627200,2064661896.0,attack,3406
43,2107049674,627200,2064663048.0,attack,3410
44,2064049800,614400,2064664200.0,normal,3427
45,2107052026,627200,2064665352.0,attack,3404
46,2064052104,614400,2064666504.0,normal,3439
47,2064053256,614400,2064667656.0,normal,3436
48,2064054408,614400,2064668808.0,normal,3446
49,2064055560,614400,2064669960.0,normal,3432
50,2107057906,627200,2064671112.0,attack,3425
