Users,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
29,12422203510,51005364857,20867476559,3699122688,33453881071,32567778806,17574276165,51008931437,23871718641,32087686831,16116124992,-8065814470,6202768852,36930062489,11683599815,20977250719,13033128049,41436890122,29217237146,35432526364,56507039836
30,8624673923,298170968,41941237494,17887134748,51469270912,41904647054,16248654414,18612571075,45642095896,21700647051,16455944489,41328286356,45545628830,-6199934463,11391232062,6252043176,10311390100,14896889175,21402670658,30371679752,36868812075
31,8758538500,19682646909,18504156358,46921691226,50603338024,15878456933,9454004544,4225321504,27137556421,50564431492,17853536622,36224032781,42163433658,38452497305,35295293012,11015743528,24044106499,-832917924,13810000287,54487870314,47921451328
32,25359534309,13977662494,14176508481,6114807622,27239434220,40763999182,24106926791,31429543467,30366650409,62344188175,34662634166,-2874359516,1398542537,-1559804716,26801347927,20289466984,12647606232,21720167180,16825991066,10248340029,16538208247
33,62199592848,42179517933,13774439647,14961125230,18699106889,17082570035,-6694150859,17001115148,27555218221,38148556413,46573338064,-191599521,7631327108,36565714242,-7955230753,28112783979,37906206496,32879933115,16347568457,-6303747692,6731450458
34,56256171248,32735779938,19372330070,7955347707,14748560059,12360097946,11363649552,3183445903,23029523585,19703124807,10581597222,34599135564,19393819229,-24252777669,-9905154361,13756180143,42935248580,12840460626,19288145447,26114002719,13175557283
35,34039473111,11593336183,17035924100,18417753328,27973663107,32119492158,8082802915,13234212885,27385664875,41178521071,16988734206,54999713269,8997695973,2094177766,24433802416,28928070872,16659824614,51319851649,23259559400,38004550777,23718971115
36,35390247569,9833928673,30468143147,40840381962,29464199446,-13195708379,2994639873,12699686434,-13700247608,35867865350,13924694560,27144096530,36804410121,22272143586,30191964314,-7222521581,14289048031,-16172542323,44777604341,36872815757,40467385366
37,56791848308,11571437867,50051519650,13903815188,41045356726,6150652133,15457776040,36796987964,25756615049,24040170574,22884823172,-723421091,42515358907,21540367186,41000790714,17869677439,59556674807,32535723620,37052502316,49180964481,11468779100
38,56837076813,39664687467,50181511634,34339557704,32973323498,41664790631,9381878649,12598343728,17242685963,46645167797,55586617022,52191152503,55320454431,20978822527,28496281469,20671601059,53700769943,36938415751,35887139642,36612717732,46553320425
39,33885983295,41078242053,45577401727,26125262434,50911978797,22161947112,43179583913,53106222337,38729996826,29669761775,39728984718,52430299981,4810505736,16978206735,37616496930,5817960692,11871814890,24320016795,22531889506,29482379827,36381004231
40,82053025451,40042325031,24625456705,17348502301,29612961960,42461168318,10999773865,24638647221,-8224970063,49825989396,41415636075,21660925519,75635635606,14755127366,16154187121,33005129759,26158292494,53028339946,44723720775,58177976151,55276034960
41,45845038417,52466275298,40882166488,41285886090,19396765244,-4958358788,34330171710,60099844980,24630646099,13172090956,9349192028,21888122282,28196669086,22811228940,40900920419,20499843811,52738256727,8966020232,27866899472,30993438253,32142085470
42,54701849627,9447305485,40762455680,43538488929,40126771695,35447001238,37566791864,20758410181,9226498984,17847301777,24672842897,22319521657,16330855284,31800242771,59079027665,21351816761,-11708553946,47909869955,44302247354,24246005033,18209769299
43,41105224988,21306017284,25553835259,29678104653,21971048001,29175371783,11121450671,16040916138,27296881587,9789928305,40555357909,33332632922,61920925620,1044682281,-15309672899,12039877961,-18848614779,-23997029840,8427356734,40907800205,7741875211
44,22295140367,39862999020,22989863377,18349739351,16874529633,150220642,47873975605,27468709055,55925312510,24934586294,23059907332,12225478025,36558307258,-13582753024,27488481447,-5098723113,46360091781,54707954968,37453362581,20300710038,43323156449
45,44938241305,43015297268,15403007204,25508578170,37548802184,8981714441,14355730525,10815529633,40270848610,17349860421,34923659440,770114020,73945121030,14620357405,39073533860,40428795750,-3215614663,53544860959,39923411570,15945020778,-2584501971
46,14749373419,-15794802320,11578336245,49741642144,13175621685,-164404245,55865820927,32817676785,3739649991,59883075004,39529255653,8897244204,61240220543,89513139367,12902284894,4351930749,11004710048,16323708899,21939426981,-15746578938,18871407983
47,26148348198,18839897073,34650043670,7308203733,37330644662,1997908153,21075753060,-2011044273,26567784333,37511785360,49026121177,13935338200,-4641166954,-2982959841,12081131781,21773219739,17703598100,4678357461,41918981908,42754555513,-23596741626
48,28114522093,37799757808,-14587926334,3893519764,37184055370,-31660101220,-47486680031,10392625458,-13363757869,-7776277015,-3401376203,-8328231899,-2954074492,-9053662833,18313989505,2939037985,2950418050,17280468340,-18008626152,-1307515792,-13586655674
49,13275460512,-17130236697,2165094623,-17918182627,-26280735633,-7396605846,-11978704134,-35627241005,-6219186717,-5757835308,-17944292176,-8796458293,-17283793449,-19699213809,-21395916594,-48042181480,-22246198412,-14638191517,9075715676,-2255004535,-20157429947
50,-44263433724,-14843905734,-44153588051,16835778378,13745577448,21577839915,-38847874359,-7909856324,-38009113631,3165529441,-25637931695,-32179602148,23353945638,1163057024,30458997303,1507904354,6964283193,-3350310649,-9284159824,22521491624,28601878443
