Users,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
29,107886872626,145157452985,115524798472,102106312556,126108804724,132541217270,113840580585,151351397190,124239580854,127909454315,115808839679,95134717539,103631879627,128049349010,117928824836,115619507628,108718492562,137612307301,121993292845,129437345251,143904322134
30,98791455703,101738791218,134803132142,116786912268,140800089394,132600266264,113298639495,116057495131,140940192515,111978244482,113446988152,131130497650,137588071910,89267292757,108428503022,97187064888,101941849119,108058846328,113254854209,122099355711,133815218553
31,93612308549,115494064331,109356880360,129655772129,135516200449,107623708726,105080385926,99943657820,121244974317,139378060174,114007688333,131890353529,143147057580,127393930653,126993635943,111649423520,120963483294,102147585984,103608264678,150748534920,146805931816
32,120907674612,110489017010,106786173727,105528290767,124386935677,126920700259,119904723882,127677589258,124953485824,163108862980,129299080940,90789600420,103779429632,99249703926,127507272339,113919528118,107469690276,114591725304,119106211657,112582481215,120179147561
33,149481082349,139870959595,112213827042,107565264314,120074905308,113656185918,93873418825,113837143433,125691459848,138553976471,140880591863,112586512578,107946012655,131115405088,94471092403,129299594721,139149683244,132499867542,116226469902,103683817579,109372864919
34,143255905930,122528100939,106899868858,92347913118,114976890800,117240119313,106748757574,110785626360,131641217036,128531965635,110509307438,130753253622,116646344586,82092412359,96837133377,121274058192,137962954202,123240445752,112523065109,129462577456,110230415080
35,147568329468,121622932407,127003035141,121894053602,127979413401,135912757296,110291892431,120623080137,125669718593,142691175941,115817656758,154541641002,121778918393,110396199170,128894552135,119078471776,115972738928,144924433282,119619069969,130947768121,122517607030
36,137348591540,114718302909,132727236573,147251451306,128133803772,79429488734,100334361034,103699355815,81535709981,130063865411,112157403737,123453564289,140156957687,121485544284,123175433993,100238863580,114995574309,91079946899,145723556360,132485770425,135978639754
37,146140863296,101974557699,133405594712,106484020289,139504277961,91368787775,110839685468,128797914169,116278029964,118558096375,111471570799,89141672042,145860353660,112661523689,137843633526,111869563799,152234665731,132785513870,127100735379,150643690459,105840273270
38,156707004355,131220292499,141500952943,123720566456,132871532150,130070881973,107330337071,98077811918,114677795321,129932644053,149920262511,142297799310,136484290539,111653394202,118519724708,100671222269,136272084736,122988665393,116761735881,121612566398,127317293642
39,118021643245,120954034327,131065537452,114004341257,140161124945,115725175365,136268186044,139021778909,121156330985,116197388302,124427820445,143654939806,87689449673,106632161301,127092068534,87423015527,96702995177,104636528313,108077712475,117124891698,121621172902
40,151032210838,126909615807,116378963697,103204078778,117470109750,126443806847,107846868100,110742826812,85948749710,134411182821,131628259435,113679076472,164526712565,114825391881,107235883234,124287716695,114931816620,145086951498,134598771998,144887057140,138950744905
41,120673347021,144669015005,140943550103,128726123436,98300940328,97350213292,128043957586,150476370996,122538897952,97196911273,97298130166,120262141590,117939214176,104531386254,134340734690,119968906298,136342972207,103835419762,114942830553,117685844070,124677508754
42,136104176768,97135588636,124423136682,121115086665,125165942534,131151445021,126850905131,113528964219,101595502993,105705102610,120005206701,112941113858,114100601825,126460295719,154077434637,126080547205,90463910250,135369198147,119068622870,119526383400,111056465128
43,103009166729,107385730539,117110985448,115466885157,106005737188,120725962280,104913196452,106935261022,125921549644,104372796211,132536450847,119891982169,153479775790,104500331493,78411618476,110681991338,79455397394,78949133020,99985157215,129148849026,103236856373
44,109585418512,130846390392,102432054840,113087261466,105622892215,98921365987,134297317103,112317121802,141603906487,120714352662,114166512912,100512148747,126486871989,77818539399,113116760575,81051804586,136879079052,139604820383,135197305643,107865102337,137133137570
45,124921850828,111545820260,98582462876,121427293094,125692721624,108056644457,108716063178,103544017687,126432351474,112074334718,130613185717,98384697067,162145684741,105095117462,128678778144,128264125958,86903848628,147497660095,134071050049,126392585250,100478956782
46,96225779716,68594070073,90684711581,137264477679,108388000070,89675173267,151576654262,122248432667,90710794510,139723019900,126742028230,102168696067,152518338412,169614452289,99579773217,99732098309,102164586770,110191117978,121071925633,87818620994,110586437626
47,126238331825,106726897497,114296383128,92958526991,131928629703,102122300071,119469010080,110367330147,120140889303,130534173901,139005430789,116205896986,91049852578,93826160436,110294244568,109848374323,120128686190,102732770779,142696551486,126611626101,76037039124
48,133728789859,153194869494,97324727094,109941793372,139791817622,79143239606,68270289384,110378389981,85627471435,85029850661,100179434538,100927900871,96345877127,89132773261,126306346157,101185649038,104374378131,131315604745,87416749108,97462612868,96024050739
49,140322738207,102202759747,109413884615,91942817789,89828853385,115384013953,111375408433,88051870890,91506974140,105128744682,89483499842,109731488270,101256799743,95208721361,88499054348,62083420368,79845785535,90456850674,117490897050,105662290159,85207885524
50,99113930316,111799826650,76242859799,127858221353,121626727259,122446128556,80184706477,110771128452,82993436511,96433362361,75146726472,71958060578,119759387092,84099319220,129141026908,105247540755,110974365575,99313742899,99282777082,118552059433,121552331293
