Users,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
29,95464669116,94152088128,94657321913,98407189868,92654923653,99973438464,96266304420,100342465753,100367862213,95821767484,99692714687,103200532009,97429110775,91119286521,106245225021,94642256909,95685364513,96175417179,92776055699,94004818887,87397282298
30,90166781780,101440620250,92861894648,98899777520,89330818482,90695619210,97049985081,97444924056,95298096619,90277597431,96991043663,89802211294,92042443080,95467227220,97037270960,90935021712,91630459019,93161957153,91852183551,91727675959,96946406478
31,84853770049,95811417422,90852724002,82734080903,84912862425,91745251793,95626381382,95718336316,94107417896,88813628682,96154151711,95666320748,100983623922,88941433348,91698342931,100633679992,96919376795,102980503908,89798264391,96260664606,98884480488
32,95548140303,96511354516,92609665246,99413483145,97147501457,86156701077,95797797091,96248045791,94586835415,100764674805,94636446774,93663959936,102380887095,100809508642,100705924412,93630061134,94822084044,92871558124,102280220591,102334141186,103640939314
33,87281489501,97691441662,98439387395,92604139084,101375798419,96573615883,100567569684,96836028285,98136241627,100405420058,94307253799,112778112099,100314685547,94549690846,102426323156,101186810742,101243476748,99619934427,99878901445,109987565271,102641414461
34,86999734682,89792321001,87527538788,84392565411,100228330741,104880021367,95385108022,107602180457,108611693451,108828840828,99927710216,96154118058,97252525357,106345190028,106742287738,107517878049,95027705622,110399985126,93234919662,103348574737,97054857797
35,113528856357,110029596224,109967111041,103476300274,100005750294,103793265138,102209089516,107388867252,98284053718,101512654870,98828922552,99541927733,112781222420,108302021404,104460749719,90150400904,99312914314,93604581633,96359510569,92943217344,98798635915
36,101958343971,104884374236,102259093426,106411069344,98669604326,92625197113,97339721161,90999669381,95235957589,94196000061,98232709177,96309467759,103352547566,99213400698,92983469679,107461385161,100706526278,107252489222,100945952019,95612954668,95511254388
37,89349014988,90403119832,83354075062,92580205101,98458921235,85218135642,95381909428,92000926205,90521414915,94517925801,88586747627,89865093133,103344994753,91121156503,96842842812,93999886360,92677990924,100249790250,90048233063,101462725978,94371494170
38,99869927542,91555605032,91319441309,89381008752,99898208652,88406091342,97948458422,85479468190,97435109358,83287476256,94333645489,90106646807,81163836108,90674571675,90023443239,79999621210,82571314793,86050249642,80874596239,84999848666,80763973217
39,84135659950,79875792274,85488135725,87879078823,89249146148,93563228253,93088602131,85915556572,82426334159,86527626527,84698835727,91224639825,82878943937,89653954566,89475571604,81605054835,84831180287,80316511518,85545822969,87642511871,85240168671
40,68979185387,86867290776,91753506992,85855576477,87857147790,83982638529,96847094235,86104179591,94173719773,84585193425,90212623360,92018150953,88891076959,100070264515,91081696113,91282586936,88773524126,92058611552,89875051223,86709080989,83674709945
41,74828308604,92202739707,100061383615,87440237346,78904175084,102308572080,93713785876,90376526016,97908251853,84024820317,87948938138,98374019308,89742545090,81720157314,93439814271,99469062487,83604715480,94869399530,87075931081,86692405817,92535423284
42,81402327141,87688283151,83660681002,77576597736,85039170839,95704443783,89284113267,92770554038,92369004009,87857800833,95332363804,90621592201,97769746541,94660052948,94998406972,104728730444,102172464196,87459328192,74766375516,95280378367,92846695829
43,61903941741,86079713255,91557150189,85788780504,84034689187,91550590497,93791745781,90894344884,98624668057,94582867906,91981092938,86559349247,91558850170,103455649212,93721291375,98642113377,98304012173,102946162860,91557800481,88241048821,95494981162
44,87290278145,90983391372,79442191463,94737522115,88748362582,98771145345,86423341498,84848412747,85678593977,95779766368,91106605580,88286670722,89928564731,91401292423,85628279128,86150527699,90518987271,84896865415,97743943062,87564392299,93809981121
45,79983609523,68530522992,83179455672,95918714924,88143919440,99074930016,94360332653,92728488054,86161502864,94724474297,95689526277,97614583047,88200563711,90474760057,89605244284,87835330208,90119463291,93952799136,94147638479,110447564472,103063458753
46,81476406297,84388872393,79106375336,87522835535,95212378385,89839577512,95710833335,89430755882,86971144519,79839944896,87212772577,93271451863,91278117869,80101312922,86677488323,95380167560,91159876722,93867409079,99132498652,103565199932,91715029643
47,100089983627,87887000424,79646339458,85650323258,94597985041,100124391918,98393257020,112378374420,93573104970,93022388541,89979309612,102270558786,95691019532,96809120277,98213112787,88075154584,102425088090,98054413318,100777569578,83857070588,99633780750
48,105614267766,115395111686,111912653428,106048273608,102607762252,110803340826,115756969415,99985764523,98991229304,92806127676,103580810741,109256132770,99299951619,98186436094,107992356652,98246611053,101423960081,114035136405,105425375260,98770128660,109610706413
49,127047277695,119332996444,107248789992,109861000416,116109589018,122780619799,123354112567,123679111895,97726160857,110886579990,107427792018,118527946563,118540593192,114907935170,109894970942,110125601848,102091983947,105095042191,108415181374,107917294694,105365315471
50,143377364040,126643732384,120396447850,111022442975,107881149811,100868288641,119032580836,118680984776,121002550142,93267832920,100784658167,104137662726,96405441454,82936262196,98682029605,103739636401,104010082382,102664053548,108566936906,96030567809,92950452850
