block_num,validator_id,validator_stake,total_gas_fee,total_mev_available,block_reward,validator_reinvestment_factor,validator_validator_count
103,validator_7,480000000000,5930000,17996000,23926000,True,15
104,validator_19,32000000000,55530000,35600,55565600,False,1
105,validator_8,320000000000,15182000,7368500,22550500,False,10
106,validator_3,160000000000,93037000,2628980,95665980,True,5
107,validator_9,64000000000,60605000,540640,61145640,True,2
108,validator_11,320000000000,545000,49100,594100,True,10
109,validator_18,32000000000,4500000,0,4500000,True,1
110,validator_9,64000000000,45370000,173120,45543120,True,2
111,validator_17,32000000000,11920000,0,11920000,False,1
112,validator_19,32000000000,17740000,814980,18554980,False,1
113,validator_5,32000000000,9999000,15700,10014700,False,1
114,validator_11,320000000000,11300000,67900,11367900,True,10
115,validator_17,32000000000,180095000,18142100,198237100,False,1
116,validator_4,64000000000,4320000,0,4320000,False,2
117,validator_7,480000000000,10937000,350000,11287000,True,15
118,validator_3,160000000000,9203000,4721200,13924200,True,5
119,validator_14,480000000000,10560000,16400,10576400,True,15
120,validator_2,160000000000,44370000,360700,44730700,True,5
121,validator_12,480000000000,98490000,1007140,99497140,True,15
122,validator_3,160000000000,3930000,34700,3964700,True,5
123,validator_17,32000000000,910000,0,910000,False,1
124,validator_14,480000000000,98000,0,98000,True,15
125,validator_10,320000000000,3250000,0,3250000,True,10
126,validator_11,320000000000,45092000,1149000,46241000,True,10
127,validator_4,64000000000,2970000,154300,3124300,False,2
128,validator_6,160000000000,5594000,865540,6459540,True,5
129,validator_8,320000000000,16294000,0,16294000,False,10
130,validator_0,160000000000,120000,46500,166500,True,5
131,validator_7,480000000000,32651000,0,32651000,True,15
132,validator_12,480000000000,860000,67900,927900,True,15
133,validator_12,480000000000,4020000,128000,4148000,True,15
134,validator_10,320000000000,345000,15100,360100,True,10
135,validator_2,160000000000,32370000,0,32370000,True,5
136,validator_11,320000000000,9010000,811500,9821500,True,10
137,validator_3,160000000000,6643000,12300,6655300,True,5
138,validator_8,320000000000,4100000,47700,4147700,False,10
139,validator_18,32000000000,1650000,342500,1992500,True,1
140,validator_5,32000000000,632000,172300,804300,False,1
141,validator_1,64000000000,7980000,7265000,15245000,True,2
142,validator_10,320000000000,68919000,1666090,70585090,True,10
143,validator_8,320000000000,16020000,29200,16049200,False,10
144,validator_17,32000000000,2000000,0,2000000,False,1
145,validator_18,32000000000,28625000,290700,28915700,True,1
146,validator_6,160000000000,5610000,156300,5766300,True,5
147,validator_9,64000000000,13920000,418600,14338600,True,2
148,validator_16,32000000000,19260000,75000,19335000,True,1
149,validator_7,480000000000,4910000,154100,5064100,True,15
150,validator_11,320000000000,46190000,335400,46525400,True,10
151,validator_11,320000000000,7060000,0,7060000,True,10
152,validator_4,64000000000,7130000,998400,8128400,False,2
153,validator_15,160000000000,11498000,43600,11541600,True,5
154,validator_18,32000000000,1697000,0,1697000,True,1
155,validator_11,320000000000,1530000,33100,1563100,True,10
156,validator_13,32000000000,7445000,21800,7466800,False,1
157,validator_11,320000000000,2320000,13800,2333800,True,10
158,validator_13,32000000000,18213000,838300,19051300,False,1
159,validator_15,160000000000,50563000,91920,50654920,True,5
160,validator_3,160000000000,15230000,640500,15870500,True,5
161,validator_8,320000000000,770000,0,770000,False,10
162,validator_7,480000000000,14290000,99000,14389000,True,15
163,validator_10,320000000000,37399000,43000,37442000,True,10
164,validator_12,480000000000,36197000,600900,36797900,True,15
165,validator_14,480000000000,2550000,0,2550000,True,15
166,validator_11,320000000000,3150000,195000,3345000,True,10
167,validator_7,480000000000,20161000,816700,20977700,True,15
168,validator_12,480000000000,100000,5640,105640,True,15
169,validator_11,320000000000,3232000,425100,3657100,True,10
170,validator_7,480000000000,4551000,13900,4564900,True,15
171,validator_10,320000000000,35083000,11200,35094200,True,10
172,validator_2,160000000000,10320000,451200,10771200,True,5
173,validator_0,160000000000,1475000,36800,1511800,True,5
174,validator_2,160000000000,1920000,43600,1963600,True,5
175,validator_12,480000000000,32160000,64600,32224600,True,15
176,validator_7,480000000000,8010000,0,8010000,True,15
177,validator_12,480000000000,45690000,320640,46010640,True,15
178,validator_9,64000000000,17430000,23500,17453500,True,2
179,validator_14,480000000000,1330000,0,1330000,True,15
180,validator_6,160000000000,11658000,374700,12032700,True,5
181,validator_19,32000000000,5000000,121000,5121000,False,1
182,validator_6,160000000000,9090000,320700,9410700,True,5
183,validator_11,320000000000,6214000,34700,6248700,True,10
184,validator_10,320000000000,5867000,959000,6826000,True,10
185,validator_7,480000000000,7489000,498900,7987900,True,15
186,validator_0,160000000000,32663000,0,32663000,True,5
187,validator_12,480000000000,35342000,97900,35439900,True,15
188,validator_8,320000000000,4600000,128000,4728000,False,10
189,validator_6,160000000000,10807000,118700,10925700,True,5
190,validator_10,320000000000,39218000,832500,40050500,True,10
191,validator_4,64000000000,6503000,0,6503000,False,2
192,validator_9,64000000000,23959000,365100,24324100,True,2
193,validator_15,160000000000,20057000,0,20057000,True,5
194,validator_18,32000000000,640000,215000,855000,True,1
195,validator_7,480000000000,4742000,1255500,5997500,True,15
196,validator_14,480000000000,28293000,0,28293000,True,15
197,validator_14,480000000000,23352000,132700,23484700,True,15
198,validator_19,32000000000,15920000,196500,16116500,False,1
199,validator_3,160000000000,39610000,30200,39640200,True,5
200,validator_2,160000000000,2110000,30200,2140200,True,5
201,validator_12,480000000000,1670000,0,1670000,True,15
202,validator_7,480000000000,17677000,801500,18478500,True,15
203,validator_12,480000000000,1970000,73100,2043100,True,15
204,validator_4,64000000000,43000000,128000,43128000,False,2
205,validator_12,480000000000,10040000,6390,10046390,True,15
206,validator_0,160000000000,5000000,4320000,9320000,True,5
207,validator_19,32000000000,70000,39400,109400,False,1
208,validator_13,32000000000,54474000,133900,54607900,False,1
209,validator_7,480000000000,3998000,4341800,8339800,True,15
210,validator_8,320000000000,1468000,146000,1614000,False,10
211,validator_19,32000000000,1553000,13900,1566900,False,1
212,validator_17,32000000000,2287000,0,2287000,False,1
213,validator_12,480000000000,630000,12300,642300,True,15
214,validator_11,320000000000,98000,0,98000,True,10
215,validator_4,64000000000,1700000,0,1700000,False,2
216,validator_3,160000000000,6378000,399800,6777800,True,5
217,validator_1,64000000000,18400000,175600,18575600,True,2
218,validator_6,160000000000,37426000,322000,37748000,True,5
219,validator_15,160000000000,2500000,0,2500000,True,5
220,validator_8,320000000000,2387000,769000,3156000,False,10
221,validator_0,160000000000,23863000,5180,23868180,True,5
222,validator_9,64000000000,11030000,545000,11575000,True,2
223,validator_9,64000000000,29030000,49100,29079100,True,2
224,validator_12,480000000000,1340000,322000,1662000,True,15
225,validator_8,320000000000,8410000,193500,8603500,False,10
226,validator_16,32000000000,29290000,139000,29429000,True,1
227,validator_7,480000000000,8244000,36800,8280800,True,15
228,validator_17,32000000000,14347000,975000,15322000,False,1
229,validator_0,160000000000,45235000,24700,45259700,True,5
230,validator_11,320000000000,1083000,15100,1098100,True,10
231,validator_4,64000000000,64810000,1251840,66061840,False,2
232,validator_12,480000000000,31370000,769900,32139900,True,15
233,validator_19,32000000000,43000000,0,43000000,False,1
234,validator_8,320000000000,11020000,0,11020000,False,10
235,validator_4,64000000000,2170000,5180,2175180,False,2
236,validator_5,32000000000,420000,410000,830000,False,1
237,validator_12,480000000000,2400000,0,2400000,True,15
238,validator_12,480000000000,1000000,0,1000000,True,15
239,validator_9,64000000000,75100000,0,75100000,True,2
240,validator_11,320000000000,7461000,0,7461000,True,10
241,validator_19,32000000000,127913000,190200,128103200,False,1
242,validator_15,160000000000,1082000,0,1082000,True,5
243,validator_0,160000000000,51390000,19024000,70414000,True,5
244,validator_18,32000000000,3965000,171620,4136620,True,1
245,validator_3,160000000000,234000,769000,1003000,True,5
246,validator_5,32000000000,150000,0,150000,False,1
247,validator_18,32000000000,6017000,0,6017000,True,1
248,validator_2,160000000000,7659000,118100,7777100,True,5
249,validator_14,480000000000,183000,0,183000,True,15
250,validator_9,64000000000,28250000,818100,29068100,True,2
