block_id,total_gas,total_mev_captured,block_bid,builder_type,builder_id
1,9963000,57280,23810360,attack,2393
2,11924000,0,66123680,attack,2393
3,10478000,49100,122462780,attack,2378
4,17884000,964640,208520320,attack,2372
5,11958000,17940,304640620,attack,2371
6,10584000,46500,442165780,attack,2374
7,51888000,0,662518480,attack,2393
8,12765000,72700,794714180,attack,2394
9,53327000,411200,1047085280,attack,2389
10,4738000,303600,1302533080,attack,2379
11,39806000,0,1578543480,attack,2387
12,15190000,7345700,1822519180,attack,2353
13,64711000,29900,2372796980,attack,2378
14,3963000,64600,3451994880,attack,2370
15,12440000,56600,4188976280,attack,2378
16,8473000,0,5287807080,attack,2370
17,15448000,26500,6082720980,attack,2394
18,14171000,17700000,6986258280,attack,2351
19,44280000,0,8070064880,attack,2358
20,11834000,146000,8667592080,attack,2358
21,18290000,304800,8993920480,attack,2364
22,33989000,214300,9576727780,attack,2378
23,9775000,1449800,10381033280,attack,2370
24,31492000,30200,11248614680,attack,2360
25,4613000,0,12797216680,attack,2381
26,58897000,11200,13754795880,attack,2388
27,24870000,33300,14924960180,attack,2384
28,18587000,392800,16060577480,attack,2366
29,43593000,39400,17453427680,attack,2365
30,15852000,57400,18325960280,attack,2385
31,38050000,76840,19573718520,attack,2355
32,16498000,12800,21230956880,attack,2395
33,11169000,576000,22410103480,attack,2354
34,40200000,0,23646670880,attack,2376
35,11348000,270900,24963630580,normal,2398
36,23263000,225800,26581698080,attack,2375
37,38759000,296000,28361690280,attack,2392
38,63130000,105900,29951440380,attack,2352
39,10160000,4830000,31254306880,attack,2385
40,39840000,0,32654469280,normal,2399
41,3956000,0,34662239680,attack,2383
42,100198000,295300,35799804180,attack,2352
43,46990000,5180,37598903660,attack,2359
44,51060000,139000,39358476680,attack,2363
45,23903000,556500,41259934780,attack,2374
46,52850000,67500,43113961980,attack,2386
47,16292000,618100,44218181780,attack,2367
48,12624000,0,46386321680,attack,2385
49,12770000,369000,48008549080,attack,2368
50,35684000,0,49677006480,attack,2388
